N	2gram	Bakhtin_KF_1	PoTuStor
113	но как	5	2
114	конечном счете	1	2
115	нет и	3	2
116	с этим	1	2
117	в этот	1	2
118	что это	3	2
119	но ведь	5	2
120	т.е не	2	2
121	он не	6	2
122	момента в	1	2
123	и по	1	2
124	то же	5	2
125	по своему	3	2
126	связанных с	1	2
127	и мы	2	2
128	было бы	8	2
129	в жизни	2	2
130	кажется что	2	2
131	всю жизнь	1	2
132	как и	5	2
133	в своей	10	2
134	все и	1	2
135	рождение и	1	2
136	находится на	1	2
137	войти в	2	2
138	пробиться в	1	2
139	не менее	3	2
140	его целом	10	2
141	никогда не	5	2
142	таким путем	1	2
143	сводится к	2	2
144	здесь же	1	2
145	в каком	4	2
146	на границе	1	2
147	и всех	1	2
148	т.е в	1	2
149	не будет	2	2
150	как не	1	2
151	на основе	7	2
152	и этим	3	2
153	как с	1	2
154	для этого	2	2
155	с ним	5	2
156	о том	3	2
157	другими словами	1	2
158	и содержание	5	2
159	для нас	4	2
160	что и	7	2
161	во всей	4	2
162	может иметь	2	2
163	один из	2	2
164	мы видим	1	2
165	что он	2	2
166	и действительно	6	2
167	и так	1	2
168	поэтому и	1	2
169	всех его	2	2
170	со всеми	2	2
171	не можем	1	2
172	если мы	1	2
173	в душе	1	2
174	и других	2	2
175	цели и	1	2
176	для меня	20	2
177	к ним	4	2
178	момент в	7	2
179	и т.п	1	2
180	оно не	2	2
181	себя и	2	2
182	что не	3	2
183	его все	1	2
184	остается и	1	2
185	что мы	1	2
186	в историю	1	2
187	в мир	1	2
188	к следующему	1	2
189	но это	6	2
190	и таким	1	2
191	к другим	1	2
192	и для	9	2
193	не существует	1	2
194	моей жизни	4	2
195	сознания и	3	2
196	но отнюдь	1	2
197	ни было	4	2
198	не есть	20	2
199	все остальные	1	2
200	не знает	5	2
201	ее в	1	2
202	к этому	2	2
203	они не	1	2
204	даже более	1	1
205	говоря о	1	1
206	в движение	1	1
207	мы здесь	2	1
208	все остальное	2	1
209	и то	2	1
210	он может	2	1
211	это и	2	1
212	пробиться к	1	1
213	что эти	1	1
214	не имеют	1	1
215	его не	1	1
216	со всех	1	1
217	т.е только	1	1
218	мы имеем	5	1
219	и входит	1	1
220	что между	1	1
221	действительного и	1	1
222	и момент	4	1
223	мир не	1	1
224	вопрос о	2	1
225	выходит из	1	1
226	так чтобы	1	1
227	а для	2	1
228	я не	6	1
229	как я	1	1
230	биологический и	1	1
231	конечно и	1	1
232	зависимости от	1	1
233	всех сторон	1	1
234	в ней	3	1
235	и ценность	2	1
236	могущие быть	1	1
237	не был	1	1
238	столь же	1	1
239	бы то	2	1
240	этим не	1	1
241	где же	1	1
242	но не	12	1
243	же на	1	1
244	абстрактный момент	2	1
245	ее самой	1	1
246	него все	1	1
247	менее всего	6	1
248	и теряет	1	1
249	только путем	1	1
250	же с	1	1
251	светом в	1	1
252	все же	5	1
253	хотя и	1	1
254	когда он	1	1
255	из сознания	1	1
256	не являются	1	1
257	его к	2	1
258	от этого	2	1
259	к чему	3	1
260	уже не	7	1
261	та же	2	1
262	под ним	2	1
263	ни один	1	1
264	предметов и	1	1
265	и связанных	1	1
266	в нашем	1	1
267	изнутри ее	3	1
268	жизнь как	6	1
269	имеем в	2	1
270	всей его	2	1
271	человек не	2	1
272	на его	1	1
273	теории и	3	1
274	всюду мы	1	1
275	что она	1	1
276	не следует	1	1
277	главным образом	1	1
278	по самому	1	1
279	их а	1	1
280	время и	5	1
281	было с	1	1
282	а просто	1	1
283	с нашим	1	1
284	образом и	1	1
285	отношений между	1	1
286	него т.е	1	1
287	в корне	2	1
288	жизни рождение	1	1
289	и единство	3	1
290	из него	3	1
291	акт ее	1	1
292	как момент	13	1
293	с чем	1	1
294	то ни	2	1
295	а то	1	1
296	что мир	1	1
297	из предшествующего	1	1
298	в мире	6	1
299	конечно в	2	1
300	той же	1	1
301	все сплошь	1	1
302	на все	1	1
303	где оно	1	1
304	лишь в	8	1
305	в единую	1	1
306	входит в	3	1
307	это было	2	1
308	может стать	1	1
309	на почве	1	1
310	форму и	1	1
311	весь мир	2	1
312	и имеют	1	1
313	были в	1	1
314	он действительно	1	1
315	с тем	2	1
316	одна и	1	1
317	несмотря на	1	1
318	отвлеченно взятая	1	1
319	все моменты	1	1
320	жизни но	3	1
321	мир в	11	1
322	и того	2	1
323	смысл и	6	1
324	одного и	1	1
325	лучше всего	1	1
326	человека конечно	1	1
327	от своего	1	1
328	что есть	2	1
329	и культуры	1	1
330	теоретического познания	6	1
331	и лежат	1	1
332	него что	1	1
333	со своего	5	1
334	к предмету	1	1
335	свой смысл	1	1
336	что я	5	1
337	значение для	1	1
338	к такой	1	1
339	но эта	5	1
340	не будем	1	1
341	исключительно на	1	1
342	включая сюда	2	1
343	творчества и	1	1
344	в философии	1	1
345	жизни является	2	1
346	поступка и	7	1
347	есть еще	1	1
348	общего не	2	1
349	этот мир	2	1
350	человека но	1	1
351	освободиться от	1	1
352	на один	1	1
353	можно ли	1	1
354	в смысле	6	1
355	и отсюда	2	1
356	тогда когда	3	1
357	дело в	2	1
358	одна из	1	1
359	шопенгауэр и	1	1
360	при нашем	1	1
361	того чтобы	2	1
362	для всего	1	1
363	только не	1	1
364	вытекает из	2	1
365	разобранный нами	1	1
366	не имеет	5	1
367	и эстетический	2	1
368	ничего не	3	1
369	факт моего	1	1
370	разрыва между	1	1
371	во всем	7	1
372	мире и	1	1
373	к этим	1	1
374	в сознании	2	1
375	в виду	3	1
376	следует что	1	1
377	уже и	1	1
378	и делает	2	1
379	от того	3	1
380	у меня	1	1
381	деятельности и	2	1
382	в духе	1	1
383	и такие	1	1
384	отличается от	1	1
385	же самое	1	1
386	должны быть	1	1
387	к тому	1	1
388	ориентируется в	1	1
389	бы он	2	1
390	той или	3	1
391	это содержание	1	1
392	все попытки	4	1
393	т.е вся	1	1
394	социальные и	1	1
395	день и	1	1
396	она не	1	1
397	ничего общего	2	1
398	бы по	1	1
399	как таковым	1	1
400	своего развития	1	1
401	ни одно	5	1
402	только при	1	1
403	характер и	1	1
404	в себя	7	1
405	культуры и	5	1
406	отвлечься от	1	1
407	приводит к	1	1
408	что может	1	1
409	в другом	3	1
410	времени и	4	1
411	его жизни	3	1
412	отсюда и	3	1
413	мог бы	1	1
414	логическому и	1	1
415	это только	2	1
416	философии жизни	2	1
417	даны в	2	1
418	если бы	8	1
419	остановимся на	1	1
420	мы живем	1	1
421	связанная с	1	1
422	моменты или	1	1
423	и начало	1	1
424	о нем	4	1
425	и здесь	7	1
426	и т.д	2	1
427	но к	1	1
428	и та	2	1
429	на волю	2	1
430	любви к	1	1
431	других людей	1	1
432	события его	1	1
433	на пользу	1	1
434	говорить об	1	1
435	этот момент	6	1
436	но нет	2	1
437	заемным светом	1	1
438	единую ткань	1	1
439	не более	1	1
440	и содержания	1	1
441	и можно	1	1
442	нем и	3	1
443	каких бы	1	1
444	человека как	1	1
445	имеет места	1	1
446	вся жизнь	1	1
447	для самого	1	1
448	и мир	2	1
449	действительно великолепное	1	1
450	это приводит	1	1
451	к нему	12	1
452	ли будет	1	1
453	что только	2	1
454	что конечно	1	1
455	тот же	1	1
456	дело с	2	1
457	человека все	1	1
458	каждый момент	1	1
459	сознание в	1	1
460	бы ни	1	1
461	философии но	2	1
462	и жизни	4	1
463	делает его	1	1
464	в качестве	2	1
465	себя в	8	1
466	целом это	1	1
467	определения и	1	1
468	же и	1	1
469	события и	1	1
470	нами и	1	1
471	всем его	3	1
472	в конкретной	2	1
473	а это	2	1
474	смысла в	2	1
475	не дает	3	1
476	растворяется в	1	1
477	его и	2	1
478	ведь это	1	1
479	все ценности	2	1
480	ним и	3	1
481	вовсе не	7	1
482	ее не	1	1
483	как его	4	1
484	как раз	1	1
485	это какой-то	1	1
486	себе свою	1	1
487	для того	3	1
488	во власти	1	1
489	со всем	5	1
490	со стороны	7	1
491	или иной	2	1
492	моменты и	3	1
493	этом пути	1	1
494	на ее	1	1
495	здесь в	1	1
496	в каких	1	1
497	в свою	3	1
498	на чем	1	1
499	а с	2	1
500	лишь моментом	2	1
501	месте и	1	1
502	зависит от	1	1
503	а не	17	1
504	своем месте	2	1
505	с которым	1	1
506	жизнь в	1	1
507	не он	1	1
508	именно оно	1	1
509	трансцендентальный метод	1	1
510	оно ни	1	1
511	в момент	3	1
512	бы оно	2	1
513	связь с	1	1
514	утверждение что	1	1
515	жизнь человека	1	1
516	в человеке	1	1
517	в данном	2	1
518	и оценок	1	1
519	он будет	1	1
520	сознания т.е	1	1
521	быть только	8	1
522	только себя	1	1
523	и психологический	1	1
524	культурного творчества	1	1
525	том смысле	1	1
526	быть не	2	1
527	событие жизни	1	1
528	изнутри самой	1	1
529	о его	1	1
530	действительно бывшем	1	1
531	это уже	2	1
532	бездна между	1	1
533	при таком	1	1
534	она может	1	1
535	не подлежит	1	1
536	да мы	1	1
537	мы только	1	1
538	по принципу	1	1
539	считаем нужным	1	1
540	это может	1	1
541	в эту	1	1
542	еще более	2	1
543	и ни	3	1
544	теряет свою	1	1
545	мы должны	1	1
546	только что	1	1
547	я в	1	1
548	же в	1	1
549	но всегда	2	1
550	по поводу	1	1
551	и желания	1	1
552	жизни в	5	1
553	нет ничего	1	1
554	с ней	1	1
555	а во	1	1
556	все люди	1	1
557	по которой	1	1
558	ко всему	5	1
559	абстрактные моменты	1	1
560	на своем	3	1
561	т.е как	1	1
562	в своих	3	1
563	и эта	2	1
564	это в	1	1
