N	2gram	Vinokur_St_1	Russkaja
155	лучшем случае	1	3
156	или в	1	3
157	о котором	2	3
158	конце концов	1	3
159	из этого	1	3
160	речь идет	4	2
161	и есть	1	2
162	должна быть	3	2
163	видеть в	1	2
164	на себя	1	2
165	но даже	1	2
166	в ней	3	2
167	в таком	3	2
168	время в	1	2
169	вполне и	1	2
170	именно на	1	2
171	по отношению	3	2
172	не просто	1	2
173	друг от	1	2
174	для русской	1	2
175	с этим	3	2
176	последнее время	1	2
177	целый ряд	2	2
178	но в	10	2
179	а во-вторых	1	2
180	все эти	5	2
181	другом случае	1	2
182	во многих	3	2
183	и те	2	2
184	дела не	1	2
185	и вот	1	2
186	на совершенно	2	2
187	так часто	1	2
188	чтобы в	1	2
189	факт что	1	2
190	того или	4	2
191	в глазах	1	2
192	по себе	1	2
193	и тем	3	2
194	ведь в	1	2
195	на основании	1	2
196	ему по	1	2
197	и тогда	2	2
198	нисколько не	2	2
199	в этих	2	2
200	во время	3	2
201	будет в	1	2
202	что такое	1	2
203	в котором	5	2
204	место в	1	2
205	это разумеется	1	2
206	и более	2	2
207	их в	2	2
208	том и	1	2
209	том же	1	2
210	тому что	3	2
211	она не	2	2
212	каждого отдельного	1	2
213	в таких	1	2
214	что с	2	2
215	для нас	7	2
216	у него	2	2
217	больше чем	2	2
218	и является	1	2
219	на которой	2	2
220	как будто	4	2
221	в области	14	2
222	всю свою	1	2
223	отличается от	1	2
224	для себя	3	2
225	и о	1	2
226	от друга	1	2
227	за то	3	2
228	ясно что	10	2
229	это только	1	2
230	разумеется что	1	2
231	даже не	4	2
232	некоторых из	1	2
233	настоящее время	1	2
234	и что	4	2
235	были бы	1	2
236	работа по	1	2
237	к нему	2	2
238	это в	4	2
239	за последнее	1	2
240	отметить что	2	2
241	быть и	2	2
242	что только	1	2
243	время когда	1	2
244	этот вопрос	4	2
245	совершенно не	5	2
246	проявляется в	1	2
247	бы ни	1	2
248	по этому	3	2
249	так что	6	2
250	уже не	1	2
251	в начале	3	2
252	является не	4	2
253	его и	1	2
254	не так	1	2
255	представить себе	1	2
256	ни в	3	2
257	чтобы она	1	2
258	не о	1	2
259	только с	2	2
260	при отсутствии	1	2
261	в других	2	2
262	даже и	2	2
263	и даже	5	2
264	а с	3	2
265	естественно что	1	2
266	в некоторых	1	2
267	а не	16	2
268	на эту	4	2
269	себя на	1	2
270	в частности	4	2
271	так же	5	2
272	в меру	1	2
273	тот факт	1	2
274	в течение	1	2
275	или иного	4	2
276	отношения к	2	2
277	но это	6	2
278	этом и	1	2
279	но для	2	2
280	если не	2	2
281	и от	1	2
282	не подлежит	1	2
283	в результате	3	2
284	в настоящее	1	2
285	не должен	1	2
286	отношении к	1	2
287	тем самым	2	2
288	свою задачу	1	2
289	точно так	1	2
290	не должны	1	1
291	должен быть	3	1
292	того же	3	1
293	но тогда	1	1
294	тех же	1	1
295	это и	4	1
296	идет о	2	1
297	на деле	1	1
298	показать что	1	1
299	не хочет	2	1
300	бы против	1	1
301	что эти	1	1
302	исходит из	1	1
303	от которых	1	1
304	этому пути	1	1
305	в зависимости	1	1
306	и за	3	1
307	также и	9	1
308	их и	1	1
309	мы не	2	1
310	же как	3	1
311	дела от	1	1
312	на эти	7	1
313	не была	2	1
314	в каждый	1	1
315	в сущности	2	1
316	в деле	3	1
317	этого прежде	1	1
318	быть уверен	1	1
319	один общий	1	1
320	без всякого	2	1
321	что оба	1	1
322	когда речь	2	1
323	он был	3	1
324	на них	1	1
325	столь же	4	1
326	что его	1	1
327	при жизни	1	1
328	к этому	1	1
329	отказ от	1	1
330	но как	1	1
331	а только	1	1
332	русского языка	2	1
333	должны были	1	1
334	очевидно что	1	1
335	в гармонии	1	1
336	было а	1	1
337	том чем	1	1
338	из таких	1	1
339	в истории	3	1
340	что во	2	1
341	в одной	1	1
342	каждая из	1	1
343	что касается	3	1
344	перед нами	1	1
345	что по	1	1
346	не являются	3	1
347	протестом против	1	1
348	от этого	2	1
349	есть самое	1	1
350	котором она	1	1
351	не быть	1	1
352	и конечно	1	1
353	еще на	1	1
354	в которой	4	1
355	ни один	2	1
356	ставить в	1	1
357	бы не	2	1
358	что так	3	1
359	но ведь	8	1
360	им в	1	1
361	иначе и	1	1
362	если он	1	1
363	но на	2	1
364	вообще не	2	1
365	с существующими	1	1
366	не могла	2	1
367	сейчас не	1	1
368	тем не	2	1
369	время и	1	1
370	от которого	1	1
371	о которой	3	1
372	же это	3	1
373	этого вопроса	2	1
374	которые существовали	1	1
375	никому не	1	1
376	но дело	1	1
377	так например	7	1
378	но все	4	1
379	такого же	1	1
380	значительной степени	1	1
381	в одну	1	1
382	таким каким	1	1
383	для всей	1	1
384	могла бы	1	1
385	тем же	3	1
386	эпохи не	3	1
387	об этом	3	1
388	всего необходимо	1	1
389	не трудно	3	1
390	а по	1	1
391	причем все	2	1
392	то есть	2	1
393	в данной	2	1
394	на каком	1	1
395	входит в	1	1
396	заключается в	4	1
397	те или	1	1
398	его личности	1	1
399	чтобы он	1	1
400	это не	8	1
401	нечего и	1	1
402	то все	1	1
403	она стала	1	1
404	этого слова	2	1
405	это положение	1	1
406	и следовало	1	1
407	не всегда	2	1
408	всегда и	1	1
409	нет и	1	1
410	проблемы для	1	1
411	еще одну	1	1
412	на одну	1	1
413	принадлежит в	1	1
414	иначе говоря	1	1
415	такой же	5	1
416	в один	1	1
417	перед собой	2	1
418	нетрудно было	1	1
419	недавнего времени	2	1
420	что значит	1	1
421	бы на	1	1
422	от своего	1	1
423	что такая	1	1
424	нас не	1	1
425	в такой	2	1
426	и без	3	1
427	что о	3	1
428	не столько	1	1
429	представление о	4	1
430	оказывается что	1	1
431	в которых	5	1
432	мы теперь	1	1
433	результате этого	1	1
434	для которых	2	1
435	по крайней	2	1
436	и эти	1	1
437	на другую	1	1
438	видеть что	1	1
439	вовсе не	19	1
440	даже в	3	1
441	является вполне	2	1
442	же мы	1	1
443	если и	1	1
444	всех их	1	1
445	решения этого	1	1
446	не менее	5	1
447	что эта	2	1
448	из нас	1	1
449	россии никогда	1	1
450	и другое	1	1
451	хотелось бы	1	1
452	дело в	6	1
453	и старая	1	1
454	на него	2	1
455	не по	3	1
456	в основе	3	1
457	он еще	1	1
458	все обстоит	1	1
459	образом в	1	1
460	говорить что	1	1
461	но только	1	1
462	эти ошибки	1	1
463	казалось бы	1	1
464	в разных	1	1
465	это то	1	1
466	с одним	1	1
467	таким путем	1	1
468	явление в	1	1
469	бы все	3	1
470	более что	2	1
471	существуют в	1	1
472	было не	2	1
473	этом отношении	7	1
474	что на	2	1
475	действительно является	1	1
476	стороны и	1	1
477	в духе	1	1
478	нет ни	2	1
479	есть только	2	1
480	могут быть	5	1
481	разницей что	1	1
482	должны быть	3	1
483	что при	2	1
484	действительно можно	1	1
485	в применении	3	1
486	не дала	1	1
487	и это	2	1
488	как мы	1	1
489	но при	1	1
490	однако ни	2	1
491	на нем	1	1
492	и говорить	1	1
493	в ее	4	1
494	только при	1	1
495	не могло	1	1
496	языка и	4	1
497	мысль о	1	1
498	только то	1	1
499	с самого	1	1
500	являются лишь	1	1
501	то нужно	1	1
502	и когда	1	1
503	что у	4	1
504	так и	9	1
505	его жизни	3	1
506	больше в	1	1
507	мог бы	1	1
508	господствующей в	1	1
509	наука и	1	1
510	мы в	1	1
511	в эпоху	2	1
512	вот это	1	1
513	другом месте	2	1
514	этой статьи	2	1
515	язык и	1	1
516	и просто	1	1
517	можно сказать	1	1
518	там в	1	1
519	с другой	9	1
520	на точку	2	1
521	должно было	2	1
522	а во	3	1
523	крайней мере	2	1
524	состоящая в	1	1
525	является результатом	1	1
526	самостоятельно и	1	1
527	по своей	2	1
528	а если	2	1
529	сомнению что	1	1
530	и дело	1	1
531	зрения в	2	1
532	положение в	1	1
533	это стремление	1	1
534	же и	4	1
535	в сторону	2	1
536	сомнений в	1	1
537	и у	2	1
538	если мы	1	1
539	вопроса о	3	1
540	же у	1	1
541	а то	2	1
542	чем должен	1	1
543	в праве	1	1
544	и обратно	1	1
545	и других	1	1
546	он имеет	1	1
547	и их	2	1
548	могло бы	2	1
549	конкретно представить	1	1
550	всякого давления	1	1
551	в прошлом	1	1
552	не для	2	1
553	опять оказывается	1	1
554	но которая	1	1
555	к ним	1	1
556	случае не	2	1
557	случаев это	1	1
558	связано с	1	1
559	трудно видеть	1	1
560	то у	1	1
561	превращается в	2	1
562	само собой	1	1
563	бы это	2	1
564	в очень	3	1
565	с общим	1	1
566	из двух	3	1
567	видно из	1	1
568	без того	1	1
569	в свои	1	1
570	себе представить	1	1
571	на ее	1	1
572	ведь на	1	1
573	к которому	4	1
574	собой разумеется	1	1
575	на чем	1	1
576	еще и	2	1
577	что не	3	1
578	а главное	1	1
579	представляется в	1	1
580	а на	3	1
581	на этот	3	1
582	здесь дело	2	1
583	которых мы	1	1
584	до конца	1	1
585	не верит	1	1
586	не на	1	1
587	однако и	2	1
588	в свете	1	1
589	ясного и	1	1
590	и заняться	2	1
591	именно так	1	1
592	ближе к	1	1
593	в одно	1	1
594	особенно когда	1	1
595	в руках	1	1
596	следовало бы	2	1
597	усомниться в	1	1
598	как это	4	1
599	многих случаях	2	1
600	чем то	1	1
601	которые являются	1	1
602	и довольно	1	1
603	той и	1	1
604	верить что	1	1
605	смысле этого	2	1
606	применении к	3	1
607	это его	1	1
608	быть не	1	1
609	материал для	3	1
610	и большинство	2	1
611	с этой	3	1
612	и некоторые	1	1
613	является для	1	1
614	и таким	1	1
615	между прочим	2	1
616	числе и	2	1
617	такую картину	1	1
618	не является	3	1
619	на все	1	1
620	которых он	1	1
621	при таком	2	1
622	бы найти	1	1
623	к данной	1	1
624	которая в	1	1
625	тот кто	1	1
626	в отдельных	1	1
627	у некоторых	1	1
628	бы в	1	1
629	тем более	4	1
630	случае и	1	1
631	в истинности	2	1
632	и все	2	1
633	можно спорить	1	1
634	люди которые	3	1
635	хотя в	2	1
636	уверен в	1	1
637	с ней	1	1
638	же будет	1	1
639	была бы	5	1
640	к его	1	1
641	отношению к	3	1
642	такой вид	1	1
643	что ни	2	1
644	для большинства	1	1
645	давления со	1	1
646	ни на	2	1
647	можно назвать	2	1
648	том числе	2	1
649	они не	1	1
