N	2gram	Berdyaev_O_1	StatiiOP
181	все в	4	2
182	а потому	1	2
183	отметить что	1	2
184	и можно	1	2
185	нет такой	1	2
186	говорит в	1	2
187	к нему	3	2
188	по своей	1	2
189	со всеми	1	2
190	уже в	2	2
191	одно из	2	2
192	у него	22	2
193	в других	2	2
194	даже и	2	2
195	делает в	1	2
196	кто знает	1	2
197	что во	1	2
198	и потому	2	2
199	в иных	1	2
200	этого слова	1	2
201	в свое	1	2
202	лет назад	1	2
203	и тогда	1	2
204	в этих	3	2
205	в своих	3	2
206	чтобы не	1	1
207	и есть	3	1
208	чего не	1	1
209	видеть в	1	1
210	его не	2	1
211	им самим	1	1
212	вот о	1	1
213	на нем	1	1
214	и на	2	1
215	часто случается	1	1
216	бы еще	1	1
217	с его	4	1
218	могут и	1	1
219	потому это	1	1
220	в одной	1	1
221	для русской	1	1
222	на человека	1	1
223	хотя и	2	1
224	и к	2	1
225	не очень	2	1
226	вокруг этой	1	1
227	существует лишь	1	1
228	за это	1	1
229	он в	2	1
230	не оставляет	1	1
231	с их	1	1
232	и до	1	1
233	и кто	1	1
234	а вовсе	1	1
235	больше всего	1	1
236	от которого	1	1
237	в корне	1	1
238	и вот	3	1
239	так часто	1	1
240	ни был	1	1
241	находятся и	1	1
242	том случае	1	1
243	где оно	1	1
244	это было	3	1
245	в глазах	1	1
246	она стала	1	1
247	ней нужно	1	1
248	которым он	1	1
249	только одно	3	1
250	в них	1	1
251	с тем	2	1
252	всю жизнь	1	1
253	всегда и	1	1
254	со всей	1	1
255	которую он	2	1
256	оказывается что	1	1
257	одном из	1	1
258	это бы	1	1
259	который всегда	1	1
260	что было	1	1
261	быть не	1	1
262	заглянуть в	1	1
263	по себе	2	1
264	всего его	1	1
265	нет никакого	1	1
266	из писателей	1	1
267	в русской	3	1
268	одна из	1	1
269	что их	1	1
270	в науке	1	1
271	в процессе	1	1
272	к великим	1	1
273	он еще	1	1
274	в разных	1	1
275	того как	1	1
276	только и	4	1
277	и лишь	1	1
278	и после	1	1
279	не потому	1	1
280	но там	1	1
281	не могут	3	1
282	великих и	1	1
283	отличается от	1	1
284	и о	2	1
285	в виду	1	1
286	не могу	1	1
287	с каким	1	1
288	курсив мой	4	1
289	россии в	2	1
290	мысль о	2	1
291	было сделать	1	1
292	и этим	2	1
293	том-то и	1	1
294	темы о	1	1
295	и когда	1	1
296	имею в	1	1
297	что ведь	2	1
298	почему же	1	1
299	но у	1	1
300	несколько в	1	1
301	никогда и	2	1
302	о нем	1	1
303	кого не	1	1
304	люди с	1	1
305	но к	1	1
306	в глаза	1	1
307	после того	1	1
308	с того	1	1
309	все его	1	1
310	это была	1	1
311	каждом из	1	1
312	но нет	1	1
313	нуждается в	1	1
314	я отвечаю	1	1
315	в форме	1	1
316	которой в	1	1
317	в том-то	1	1
318	же можно	2	1
319	сразу же	2	1
320	что только	1	1
321	и дело	1	1
322	те которые	2	1
323	ii в	1	1
324	который в	1	1
325	бы ни	1	1
326	и из	2	1
327	не имеют	1	1
328	уже не	1	1
329	из бесконечного	1	1
330	я имею	1	1
331	еще одну	1	1
332	и других	1	1
333	его и	1	1
334	был бы	1	1
335	не так	1	1
336	ведь это	2	1
337	в одном	1	1
338	и никогда	2	1
339	от того	1	1
340	вот оказывается	1	1
341	и против	2	1
342	с той	1	1
343	но о	1	1
344	притом не	1	1
345	до конца	7	1
346	и своим	1	1
347	чем на	3	1
348	о чем	1	1
349	только несколько	1	1
350	него не	2	1
351	ближе к	1	1
352	в одно	1	1
353	и ему	1	1
354	это за	3	1
355	и там	2	1
356	в это	1	1
357	него в	5	1
358	как например	1	1
359	один только	1	1
360	их во	1	1
361	нужно отметить	1	1
362	и страх	1	1
363	один человек	1	1
364	указать на	1	1
365	и от	3	1
366	именно чтобы	1	1
367	но остается	1	1
368	еще страшнее	1	1
369	в голову	1	1
370	всего что	1	1
371	влагает в	1	1
372	но еще	1	1
373	бы в	1	1
374	потребность в	2	1
375	отношении к	1	1
376	и начинается	1	1
377	не быть	1	1
378	состоит из	1	1
379	от всех	1	1
380	к его	1	1
381	что слишком	1	1
382	он лишь	3	1
383	к этому	2	1
