N	2gram	Medvedev_U_1	Hudozhes
207	но также	1	1
208	обращение к	1	1
209	не делает	1	1
210	вообще во	1	1
211	в виду	1	1
212	и служит	1	1
213	же не	2	1
214	данном случае	1	1
215	для читателя	1	1
216	вообще по	1	1
217	смысла слов	1	1
218	художником и	1	1
219	оно все	1	1
220	было и	1	1
221	ценность в	1	1
222	даже не	1	1
223	сводится к	2	1
224	и т.д	3	1
225	путь и	1	1
226	героя не	1	1
227	все его	1	1
228	с другой	4	1
229	нас в	2	1
230	все в	1	1
231	переходит в	1	1
232	и только	5	1
233	и существенным	1	1
234	но тут	1	1
235	тот же	1	1
236	верно и	1	1
237	с одной	1	1
238	литературы в	1	1
239	более или	1	1
240	и у	2	1
241	его и	2	1
242	но для	1	1
243	одно из	1	1
244	двух первых	1	1
245	пафос его	1	1
246	сюда же	1	1
247	что для	1	1
248	одной стороны	1	1
249	бы послужить	1	1
250	нашему мнению	3	1
251	автор видит	1	1
252	историческая поэтика	1	1
253	ссылка на	1	1
254	что мы	2	1
255	из которых	1	1
256	о чем	2	1
257	в данном	1	1
258	он будет	1	1
259	пишет в	1	1
260	и всей	1	1
261	друг с	1	1
262	быть не	1	1
263	данное время	1	1
264	но это	2	1
265	и слово	1	1
266	при таком	2	1
267	формы и	2	1
268	себя на	1	1
269	не впадая	1	1
270	в данное	1	1
271	тем более	1	1
272	конце концов	2	1
273	еще ничего	2	1
274	сказать что	1	1
275	в свое	1	1
276	время не	1	1
277	и эта	1	1
278	все что	1	1
