N	2gram	Savitsky_E_1	VrazhdaK
234	быть может	1	1
235	и вообще	1	1
236	на востоке	1	1
237	а поскольку	2	1
238	может в	1	1
239	во всяком	3	1
240	приближается к	3	1
241	второй половине	2	1
242	в будущее	2	1
243	его жизни	1	1
244	нас в	1	1
245	затем в	1	1
246	к нему	2	1
247	во всех	6	1
248	от них	3	1
249	во всей	2	1
250	в другой	2	1
251	и можно	2	1
252	возникает вопрос	1	1
253	вслед за	6	1
254	также в	2	1
255	к которому	1	1
256	более всего	1	1
257	имеется в	1	1
258	этом смысле	3	1
259	один из	1	1
260	но с	2	1
261	за исключением	1	1
262	ли он	1	1
263	во всем	1	1
264	начало в	2	1
265	в качестве	14	1
266	мы бы	1	1
267	и творческого	1	1
268	этот раз	1	1
269	что для	1	1
270	несомненно в	1	1
271	говорит о	3	1
272	в известной	3	1
273	мы находим	1	1
274	в одном	2	1
275	считать что	1	1
276	от того	1	1
277	перед ними	1	1
278	с другой	7	1
279	именно в	4	1
280	что тот	1	1
281	европы и	22	1
282	прежде всего	9	1
283	выше и	1	1
284	в соответствии	1	1
285	россию в	2	1
286	на этот	2	1
287	нашему мнению	2	1
288	в ту	1	1
289	свою пользу	1	1
290	что из	1	1
291	нет ничего	1	1
292	в частности	5	1
293	время с	1	1
294	за тем	2	1
295	или по	2	1
296	что за	1	1
297	не дают	2	1
298	того что	7	1
299	в остальном	3	1
300	прототипов в	1	1
301	в свое	1	1
302	известном смысле	3	1
303	между прочим	7	1
304	и общим	1	1
305	ближе к	1	1
306	более того	1	1
307	дошла до	2	1
308	и от	3	1
309	но на	3	1
310	это можно	1	1
311	и другими	1	1
312	о котором	1	1
313	хотя и	2	1
314	ее и	1	1
315	бы в	2	1
316	еще более	2	1
317	в обоих	1	1
318	отношении к	15	1
319	быть и	1	1
320	другой стороны	2	1
321	сам в	1	1
322	жизни и	2	1
323	к этой	1	1
324	который не	1	1
325	как на	3	1
326	в таком	3	1
327	все что	1	1
