N	2gram	Tiupa_Disk_2	NovoeSre
275	мира с	2	1
276	сам этот	1	1
277	в это	1	1
278	в той	2	1
279	будто бы	1	1
280	рода в	1	1
281	оба они	1	1
282	человека не	1	1
283	в сущности	1	1
284	и имеет	1	1
285	в необходимость	1	1
286	того и	2	1
287	которая в	2	1
288	а к	2	1
289	но также	1	1
290	особого рода	1	1
291	или иная	1	1
292	к ней	1	1
293	своей природе	1	1
294	как того	1	1
295	и его	3	1
296	а также	8	1
297	и роста	1	1
298	или не	1	1
299	образ человека	2	1
300	в области	2	1
301	в период	4	1
302	та или	1	1
303	ему не	1	1
304	бытия как	1	1
305	того же	2	1
306	жизни а	3	1
307	и повести	1	1
308	в которой	1	1
309	числе и	1	1
310	во всяком	1	1
311	в переходе	1	1
312	оно не	1	1
313	который не	2	1
314	как на	3	1
315	том числе	1	1
