N	2gram	Nazirov_Tr_1	SlovoVZh
275	того чтобы	1	1
276	это мы	1	1
277	в результате	1	1
278	же время	6	1
279	это часто	1	1
280	от него	1	1
281	по своей	1	1
282	связи с	1	1
283	не нужен	1	1
284	обстоит дело	1	1
285	без слов	1	1
286	это уже	2	1
287	входят в	1	1
288	как будто	3	1
289	гораздо больше	1	1
290	жизни в	1	1
291	в области	1	1
292	ситуации и	1	1
293	свое значение	1	1
294	в стиле	1	1
295	виду не	1	1
296	самой своей	1	1
297	же взгляда	1	1
298	именно такую	1	1
299	я и	1	1
300	в окончательном	1	1
301	что оно	1	1
302	и эта	1	1
303	в таком	2	1
304	во всяком	1	1
305	к тому	2	1
