N	2gram	Berdyaev_V_1	Hudozhes
227	только себя	1	1
228	к миру	1	1
229	с тобой	2	1
230	их в	3	1
231	на земле	7	1
232	так часто	1	1
233	известном смысле	1	1
234	старые и	1	1
235	него в	1	1
236	людей и	2	1
237	но все	1	1
238	тут не	1	1
239	слова не	1	1
240	то ни	1	1
241	мечту о	1	1
242	а его	1	1
243	то есть	1	1
244	которого не	1	1
245	и тем	1	1
246	о личности	1	1
247	любви в	1	1
248	можешь и	2	1
249	она и	1	1
250	не всегда	1	1
251	для чего	1	1
252	жизни но	1	1
253	теперь у	1	1
254	таким же	1	1
255	человек и	1	1
256	привязанность к	1	1
257	наших дней	1	1
258	личность о	1	1
259	а потом	1	1
260	и уж	1	1
261	с негодованием	1	1
262	абсолютная истина	1	1
263	не могли	2	1
264	в конце	3	1
265	в словах	1	1
266	любовь к	3	1
267	личного и	2	1
268	освободиться от	1	1
269	раз и	1	1
270	в атмосфере	1	1
271	с радостью	1	1
272	и другое	1	1
273	и остается	1	1
274	тайна и	1	1
275	было не	1	1
276	людей от	1	1
277	конкретные формы	1	1
278	и над	2	1
279	был в	1	1
280	найти в	1	1
281	и всегда	1	1
282	смыслу жизни	1	1
283	как она	1	1
284	и любовь	1	1
285	но теперь	2	1
286	всего в	2	1
287	его с	1	1
288	не существует	1	1
289	над людьми	1	1
290	ни стало	1	1
291	этой тайны	1	1
292	в себя	2	1
293	и человеческого	1	1
294	на нее	1	1
295	бытие не	1	1
296	людей есть	2	1
297	ее окончательно	1	1
298	жизни о	1	1
299	это только	1	1
300	что от	2	1
301	мы в	1	1
302	является в	2	1
303	еще так	1	1
304	сама она	1	1
305	смысле и	1	1
306	в разных	1	1
307	никогда и	1	1
308	чтобы заставить	1	1
309	как сам	1	1
310	но мы	2	1
311	и что	3	1
312	после того	1	1
313	и который	1	1
314	других людей	1	1
315	все в	1	1
316	этого бытия	1	1
317	его личности	1	1
318	тайной и	1	1
319	в третьем	1	1
320	счастье и	3	1
321	того что	5	1
322	не можешь	1	1
323	но с	1	1
324	жизнь свою	1	1
325	было что	1	1
326	духе так	1	1
327	и потому	7	1
328	только польза	1	1
329	но как	1	1
330	важный для	1	1
331	имеет своим	1	1
332	и теперь	2	1
333	о свободе	2	1
334	не знающего	1	1
335	уже в	1	1
336	нет у	4	1
337	за ним	3	1
338	превращаются в	2	1
339	когда прошло	2	1
340	над ними	2	1
341	искать в	1	1
342	или даже	1	1
343	я в	1	1
344	не для	1	1
345	так как	9	1
346	и никогда	2	1
347	людей не	2	1
348	на том	2	1
349	бы это	1	1
350	ней и	1	1
351	смысла жизни	4	1
352	этом пути	1	1
353	что человек	1	1
354	это все	2	1
355	бытия в	1	1
356	люди что	1	1
357	и люди	2	1
358	что бы	1	1
359	к личности	4	1
360	церкви и	1	1
361	на которых	1	1
362	с которым	1	1
363	заботы и	2	1
364	человека не	1	1
365	более глубокое	1	1
366	десятками тысяч	1	1
367	своей личности	1	1
368	стороны в	1	1
369	какая же	1	1
370	человека к	1	1
371	всех людей	3	1
372	теперь когда	1	1
373	к жизни	1	1
374	в тот	1	1
375	поскольку он	1	1
376	думать о	1	1
377	присутствует в	1	1
378	человек с	1	1
379	жизни во	1	1
380	и смерти	1	1
381	с этой	1	1
382	лет назад	1	1
383	но это	3	1
384	никогда еще	2	1
385	на тайне	1	1
386	в бога	2	1
387	мира и	1	1
388	что нет	1	1
389	это постепенно	1	1
390	ее и	2	1
391	всего что	1	1
392	бы в	1	1
393	которым можно	2	1
394	первый раз	3	1
395	человека есть	1	1
396	другой стороны	1	1
397	зачем же	2	1
398	в искусстве	1	1
399	не ученики	1	1
400	в своих	1	1
401	нет что	1	1
402	это в	1	1
403	к этому	1	1
404	во власть	1	1
405	и вновь	1	1
