N	2gram	Medvedev_F_1	UchenyiS
366	в совокупности	1	1
367	время не	1	1
368	словесных произведений	1	1
369	на эстетику	1	1
370	но он	1	1
371	но что	1	1
372	у него	1	1
373	о сущности	1	1
374	поэтики в	1	1
375	ее в	1	1
376	и эстетики	1	1
377	о необходимости	1	1
378	принципа в	1	1
379	и эта	1	1
380	это в	1	1
381	а это	1	1
382	что при	1	1
383	о литературе	6	1
384	к этому	1	1
385	что в	4	1
