N	2gram	Nazirov_Tv_1	Freidism
109	уже не	3	4
110	в котором	6	4
111	мы находим	2	4
112	как раз	1	4
113	себя и	1	4
114	в данном	2	4
115	в мир	2	4
116	и о	1	4
117	в более	1	4
118	в этих	2	4
119	этот вопрос	1	4
120	в таком	1	4
121	человека и	4	3
122	и есть	1	3
123	подхода к	3	3
124	на себя	1	3
125	он был	1	3
126	такие же	1	3
127	конечном счете	4	3
128	как в	8	3
129	и как	4	3
130	этой теории	1	3
131	учение о	1	3
132	в себе	2	3
133	и те	1	3
134	о которой	1	3
135	и вот	1	3
136	и по	3	3
137	что все	3	3
138	было бы	1	3
139	мы имеем	1	3
140	такой же	2	3
141	именно и	1	3
142	мысли и	4	3
143	тому что	1	3
144	этой области	1	3
145	самого начала	3	3
146	одна из	2	3
147	на него	1	3
148	к себе	1	3
149	не могут	1	3
150	бы он	1	3
151	она не	1	3
152	с ее	3	3
153	свою очередь	1	3
154	только то	1	3
155	приводит к	2	3
156	что может	1	3
157	главе мы	1	3
158	и что	1	3
159	бы то	1	3
160	и содержание	1	3
161	в конечном	4	3
162	со всеми	3	3
163	человека с	2	3
164	человека к	1	3
165	себя в	1	3
166	у него	7	3
167	в них	1	3
168	на этот	1	3
169	вместе с	2	3
170	по своему	1	3
171	слова и	1	3
172	сейчас же	1	3
173	и от	4	3
174	но это	5	3
175	это как	3	3
176	когда он	2	3
177	не знает	2	3
178	от всех	1	3
179	жизни и	3	3
180	ни на	3	3
181	ее в	3	3
182	в искусстве	1	3
183	чтобы не	1	2
184	это и	3	2
185	в первом	2	2
186	когда человек	2	2
187	и до	1	2
188	не совсем	1	2
189	того же	2	2
190	откуда же	1	2
191	между собой	1	2
192	в ее	1	2
193	отличие от	2	2
194	же с	2	2
195	что как	2	2
196	в своем	4	2
197	сознания в	1	2
198	в этот	1	2
199	что это	1	2
200	своей теории	1	2
201	человек не	1	2
202	с чувством	1	2
203	что она	2	2
204	из этой	1	2
205	но все	1	2
206	на всю	1	2
207	же касается	1	2
208	в глубине	1	2
209	на этой	1	2
210	при помощи	2	2
211	это было	1	2
212	это не	4	2
213	и смерти	1	2
214	всю жизнь	1	2
215	и уже	1	2
216	жизни но	1	2
217	приходит в	1	2
218	том что	11	2
219	но если	3	2
220	во второй	2	2
221	психики как	1	2
222	в их	3	2
223	в отличие	2	2
224	сих пор	1	2
225	динамики в	1	2
226	как это	1	2
227	в отношении	1	2
228	в таких	1	2
229	что с	1	2
230	дело не	3	2
231	и притом	2	2
232	к этим	1	2
233	в процессе	1	2
234	в нас	1	2
235	для всего	1	2
236	только не	1	2
237	не лучше	1	2
238	тем не	2	2
239	только с	1	2
240	за ними	1	2
241	в области	1	2
242	в момент	4	2
243	отличается от	1	2
244	что оно	1	2
245	и снова	1	2
246	оно не	1	2
247	в виду	2	2
248	роль в	1	2
249	в глаза	2	2
250	это вовсе	1	2
251	стремление к	2	2
252	воли и	3	2
253	о нем	1	2
254	до сих	1	2
255	нуждается в	1	2
256	что и	2	2
257	во всей	2	2
258	что бы	1	2
259	всего этого	1	2
260	человека как	2	2
261	в него	2	2
262	себя с	1	2
263	сновидения и	1	2
264	каждого человека	1	2
265	в какой	1	2
266	даже если	1	2
267	очень много	1	2
268	с одной	1	2
269	для всех	1	2
270	гармонии и	1	2
271	и у	2	2
272	уже в	3	2
273	только на	2	2
274	ни было	1	2
275	в нашей	2	2
276	человека этот	1	2
277	из них	2	2
278	его и	1	2
279	в конце	1	2
280	заметить что	1	2
281	и даже	3	2
282	влияние на	2	2
283	с другой	3	2
284	человека в	6	2
285	чем он	1	2
286	а с	1	2
287	до конца	2	2
288	одной стороны	1	2
289	это прежде	1	2
290	зависит от	2	2
291	а не	5	2
292	так же	3	2
293	самого себя	1	2
294	и всей	1	2
295	не заметил	1	2
296	к объекту	1	2
297	в основном	4	2
298	человеческого поведения	1	2
299	только для	1	2
300	полную свободу	1	2
301	всех людей	1	2
302	же самое	1	2
303	это уже	5	2
304	всего они	1	2
305	и часто	1	2
306	не существует	3	2
307	конце концов	1	2
308	все они	1	2
309	да и	1	2
310	связанный с	1	2
311	к его	1	2
312	и другие	3	2
313	в своих	5	2
314	к этому	2	2
315	во сне	1	2
316	ту же	3	1
317	и т	3	1
318	одним из	4	1
319	же как	1	1
320	в движение	1	1
321	и через	1	1
322	должно стать	1	1
323	за то	2	1
324	но тем	1	1
325	не признает	1	1
326	нам кажется	1	1
327	человеческой души	2	1
328	кажется что	1	1
329	в мыслях	1	1
330	не имеют	4	1
331	в реальности	1	1
332	оно было	1	1
333	намек на	2	1
334	и этот	1	1
335	их и	1	1
336	в несколько	1	1
337	а как	2	1
338	сильное впечатление	1	1
339	на тех	1	1
340	я как	1	1
341	впечатление от	1	1
342	одной только	1	1
343	но она	2	1
344	о возможности	1	1
345	но даже	1	1
346	то это	1	1
347	в целом	4	1
348	что можно	1	1
349	не способен	1	1
350	жизни это	1	1
351	проявляется в	1	1
352	и самого	1	1
353	вывод что	1	1
354	собой в	2	1
355	что по	1	1
356	не был	3	1
357	время в	3	1
358	точно такие	1	1
359	что его	2	1
360	одним словом	1	1
361	внутренний протест	1	1
362	друг на	1	1
363	при исследовании	1	1
364	в качестве	2	1
365	в настоящем	2	1
366	к сожалению	1	1
367	в истории	1	1
368	как говорит	1	1
369	человеческой личности	3	1
370	первый взгляд	1	1
371	вспомним что	1	1
372	счете и	1	1
373	это был	1	1
374	как уже	1	1
375	сторона в	1	1
376	его к	1	1
377	человеком в	1	1
378	за собой	1	1
379	но эта	1	1
380	представлял себе	1	1
381	лежит на	1	1
382	та же	4	1
383	бы и	1	1
384	под ним	1	1
385	время это	1	1
386	образом и	1	1
387	говорили что	1	1
388	он в	1	1
389	можно не	2	1
390	жизни так	1	1
391	тут и	3	1
392	многое в	1	1
393	деле этот	1	1
394	по преимуществу	2	1
395	это тот	1	1
396	протест против	2	1
397	в интересах	1	1
398	говорят о	1	1
399	имеем в	1	1
400	затем с	1	1
401	как он	1	1
402	если он	1	1
403	и обстоятельств	1	1
404	все тот	1	1
405	он ни	3	1
406	т д	1	1
407	все другие	1	1
408	же это	1	1
409	идеи и	1	1
410	страдания и	2	1
411	религиозного учения	1	1
412	его можно	1	1
413	в ужас	1	1
414	картины и	1	1
415	все с	1	1
416	в нее	1	1
417	в основу	1	1
418	ее по	2	1
419	а затем	2	1
420	им как	1	1
421	поэтому мы	1	1
422	из всех	4	1
423	ли это?	1	1
424	в строго	1	1
425	форму и	1	1
426	свою противоположность	2	1
427	должен был	1	1
428	и тем	2	1
429	он приходит	1	1
430	в беседе	2	1
431	во многом	7	1
432	для них	1	1
433	он предпочитает	1	1
434	о которых	1	1
435	далеко не	3	1
436	их взаимоотношения	1	1
437	в моменты	1	1
438	на друга	1	1
439	он и	1	1
440	друга в	1	1
441	чем в	1	1
442	можно считать	1	1
443	и было	1	1
444	в один	2	1
445	не мог	2	1
446	на первый	1	1
447	и сосредоточивает	1	1
448	художественного творчества	1	1
449	и тут	1	1
450	со своего	1	1
451	еще с	1	1
452	не к	1	1
453	себе а	1	1
454	миф о	1	1
455	жизни с	2	1
456	они совсем	1	1
457	на первой	1	1
458	душу и	1	1
459	в одном	1	1
460	живут в	1	1
461	по крайней	2	1
462	однако в	2	1
463	представляется ему	1	1
464	это является	1	1
465	между людьми	2	1
466	так ли	2	1
467	в сознательной	1	1
468	человека но	3	1
469	и должно	1	1
470	отметить что	1	1
471	психики это	1	1
472	не по	3	1
473	это состояние	1	1
474	него было	1	1
475	все без	1	1
476	из других	2	1
477	это мы	1	1
478	человека во	1	1
479	человека от	1	1
480	дело в	3	1
481	трагедии в	1	1
482	человек как	3	1
483	и приводит	1	1
484	того в	1	1
485	к ней	2	1
486	он хочет	1	1
487	и чувства	1	1
488	развития своего	1	1
489	хочет быть	1	1
490	что на	1	1
491	ли это	1	1
492	и со	1	1
493	и далее	2	1
494	и здесь	1	1
495	которую не	1	1
496	нет ни	2	1
497	в направлении	2	1
498	выход из	1	1
499	своих поступков	1	1
500	беседе с	1	1
501	мы все	1	1
502	является одним	2	1
503	уже на	1	1
504	отказаться от	2	1
505	если же	1	1
506	о том	6	1
507	человека имеет	1	1
508	и это	1	1
509	он ищет	1	1
510	социальное происхождение	1	1
511	приходит к	3	1
512	до них	1	1
513	меня в	1	1
514	но при	1	1
515	ни слова	1	1
516	как по	1	1
517	мысль о	2	1
518	действия и	1	1
519	через три	1	1
520	в дальнейшем	3	1
521	основе этой	1	1
522	он заявил	1	1
523	и когда	2	1
524	и сам	1	1
525	в мире	4	1
526	времени и	4	1
527	в социальном	1	1
528	на месте	1	1
529	можно только	1	1
530	и счастлив	1	1
531	жизнь и	1	1
532	в эпоху	1	1
533	означает что	1	1
534	все его	1	1
535	вот это	1	1
536	связанное с	1	1
537	на все	1	1
538	то есть	12	1
539	это я	1	1
540	внимание на	1	1
541	и та	2	1
542	говорит об	2	1
543	утверждает что	1	1
544	в сфере	1	1
545	этой почве	1	1
546	но когда	1	1
547	там же	3	1
548	в которую	1	1
549	русской литературы	2	1
550	от них	1	1
551	сторон жизни	1	1
552	человек был	1	1
553	что человек	3	1
554	крайней мере	2	1
555	нем и	1	1
556	все время	1	1
557	каких бы	2	1
558	у которого	1	1
559	в лице	2	1
560	к которому	1	1
561	бросается в	1	1
562	глубине души	1	1
563	чувство вины	2	1
564	в двух	2	1
565	и резкое	1	1
566	своих прежних	1	1
567	не боится	1	1
568	страх перед	2	1
569	связанным с	1	1
570	который в	3	1
571	всех его	1	1
572	то и	1	1
573	также и	1	1
574	в виде	3	1
575	которых можно	1	1
576	а это	1	1
577	от других	2	1
578	обычно бывает	1	1
579	по выражению	1	1
580	и других	3	1
581	к своим	1	1
582	одно из	1	1
583	не так	3	1
584	выводит из	1	1
585	причина его	1	1
586	индивидуальном сознании	1	1
587	золотого века	1	1
588	отдельного человека	2	1
589	как будто	5	1
590	тем что	1	1
591	но за	1	1
592	даже и	1	1
593	же деле	1	1
594	связан с	3	1
595	представление о	3	1
596	по смыслу	1	1
597	достоинства и	1	1
598	именно в	2	1
599	совершенно точно	1	1
600	мы никогда	1	1
601	с той	1	1
602	с большим	1	1
603	на чем	1	1
604	их для	1	1
605	своего собственного	2	1
606	в ребенке	1	1
607	к человеку	3	1
608	превращается в	1	1
609	самом же	1	1
610	похожие на	1	1
611	вот в	2	1
612	а на	1	1
613	на которых	1	1
614	у других	1	1
615	так называемой	1	1
616	отнюдь не	5	1
617	и пытаясь	1	1
618	можно допустить	1	1
619	жизнь в	1	1
620	разобраться в	1	1
621	человека границы	1	1
622	он вернулся	1	1
623	им свою	1	1
624	ненависть к	1	1
625	знаменитой повести	1	1
626	ко всему	1	1
627	даже с	1	1
628	в первой	2	1
629	и мотивы	1	1
630	материал для	1	1
631	особенно к	1	1
632	с особым	2	1
633	в какую	1	1
634	это выражение	1	1
635	является как	1	1
636	в смысле	1	1
637	в недрах	1	1
638	мира в	2	1
639	в книге	3	1
640	и борьба	1	1
641	и тесно	1	1
642	но на	1	1
643	этот принцип	1	1
644	человека для	1	1
645	в область	1	1
646	он по	1	1
647	которая в	1	1
648	гораздо шире	1	1
649	и крайне	1	1
650	ее и	2	1
651	но эти	1	1
652	целый ряд	1	1
653	еще более	2	1
654	тем более	1	1
655	динамика и	1	1
656	я в	1	1
657	же в	1	1
658	в том	7	1
659	утверждал что	3	1
660	природа человека	1	1
661	отношении к	1	1
662	некоторых сторон	1	1
663	не обладает	1	1
664	сила в	1	1
665	может и	1	1
666	это все	1	1
667	на смену	2	1
668	весь мир	1	1
669	равно как	1	1
670	их с	1	1
671	имеет место	1	1
672	жизни а	1	1
673	я это	1	1
674	религии и	1	1
675	исключительное значение	1	1
676	учения о	1	1
677	это та	1	1
678	а может	1	1
679	значение в	1	1
680	гораздо более	2	1
