N	2gram	Vinokur_Ku_2	VrazhdaK
122	отношение к	1	2
123	к ним	1	2
124	как раз	3	2
125	с которым	1	2
126	не может	9	2
127	вместе с	5	2
128	в него	1	2
129	в ноябре	1	2
130	в это	1	2
131	но это	3	2
132	что я	4	2
133	же в	3	2
134	а в	3	2
135	в период	1	2
136	в свою	2	2
137	это в	2	2
138	широкое распространение	2	1
139	с утверждением	1	1
140	вряд ли	4	1
141	можно говорить	2	1
142	также и	5	1
143	того же	3	1
144	это и	3	1
145	идет о	1	1
146	и есть	2	1
147	что слово	3	1
148	не хочет	2	1
149	по преимуществу	2	1
150	свое место	2	1
151	едва ли	1	1
152	в их	2	1
153	по его	1	1
154	из всех	1	1
155	той же	2	1
156	о помощи	1	1
157	совпадает с	1	1
158	говорить о	4	1
159	выразилось в	1	1
160	один пример	1	1
161	это время	1	1
162	на них	1	1
163	крестьян и	1	1
164	мне все	1	1
165	по своему	1	1
166	а следовательно	2	1
167	как правило	1	1
168	но не	6	1
169	же на	1	1
170	не все	3	1
171	есть по	1	1
172	не хотел	1	1
173	говорилось выше	1	1
174	что они	2	1
175	к сожалению	1	1
176	и я	1	1
177	независимо от	1	1
178	как в	3	1
179	с этим	3	1
180	дает нам	2	1
181	как к	1	1
182	что как	1	1
183	два дня	1	1
184	ясно почему	1	1
185	себе не	2	1
186	каким-то образом	1	1
187	то в	1	1
188	в самом	12	1
189	что это	7	1
190	мы получаем	1	1
191	в целом	1	1
192	не был	1	1
193	за это	1	1
194	что же	5	1
195	выражение в	3	1
196	еще один	1	1
197	тому же	1	1
198	во многих	1	1
199	но ведь	1	1
200	превращен в	1	1
201	не могла	1	1
202	да и	6	1
203	от которого	1	1
204	одному из	1	1
205	всех этих	3	1
206	же это	1	1
207	ведь не	1	1
208	в силу	7	1
209	этот процесс	1	1
210	к книге	1	1
211	которым не	1	1
212	однако в	1	1
213	эры и	1	1
214	это конечно	2	1
215	не будет	1	1
216	этой традиции	1	1
217	заключается в	2	1
218	было бы	15	1
219	действительно были	1	1
220	соответствии с	2	1
221	этого не	3	1
222	не всегда	2	1
223	во внимание	1	1
224	он и	2	1
225	такой же	1	1
226	ни другой	1	1
227	но я	1	1
228	в этих	1	1
229	и их	1	1
230	можно найти	1	1
231	в №	1	1
232	что о	1	1
233	всяком случае	5	1
234	учиться у	3	1
235	этому же	1	1
236	вторая часть	1	1
237	далее в	1	1
238	своего рода	4	1
239	и уж	1	1
240	в поэме	1	1
241	тем не	6	1
242	по крайней	6	1
243	через несколько	1	1
244	с такими	1	1
245	что этот	1	1
246	а вот	1	1
247	константин леонтьев	1	1
248	пишущий эти	1	1
249	тем самым	2	1
250	что эта	2	1
251	это дает	2	1
252	не имеет	4	1
253	первая часть	1	1
254	в процессе	3	1
255	также что	2	1
256	следовательно и	2	1
257	без преувеличения	1	1
258	ничего не	4	1
259	того как	2	1
260	иными словами	8	1
261	б в	1	1
262	ему и	1	1
263	это слово	4	1
264	потому что	25	1
265	хочет быть	1	1
266	этом отношении	3	1
267	в каком	4	1
268	ли это	2	1
269	не знали	1	1
270	такие же	1	1
271	среди них	1	1
272	тем это	1	1
273	только от	1	1
274	что поэзия	1	1
275	могут быть	4	1
276	ли не	2	1
277	отличается от	3	1
278	за что	1	1
279	не есть	1	1
280	уже на	1	1
281	ничего общего	1	1
282	не забудем	1	1
283	с ее	1	1
284	свою очередь	2	1
285	в ее	1	1
286	то время	1	1
287	роль в	2	1
288	способности к	1	1
289	так и	4	1
290	не с	1	1
291	ясно что	5	1
292	именно этот	2	1
293	быть может	1	1
294	и вообще	2	1
295	внимание к	1	1
296	отличие между	1	1
297	во всяком	5	1
298	можно объяснить	1	1
299	это влияние	1	1
300	до сих	1	1
301	не стоит	1	1
302	как эта	1	1
303	нас в	1	1
304	вопросу о	3	1
305	партии и	2	1
306	к нему	2	1
307	к источнику	1	1
308	от них	1	1
309	этот блестящий	1	1
310	говорить об	1	1
311	я думаю	1	1
312	в форме	3	1
313	крайней мере	6	1
314	можно проследить	1	1
315	вслед за	1	1
316	партия в	1	1
317	в свете	1	1
318	тех пор	2	1
319	этом смысле	5	1
320	бы больше	1	1
321	один из	5	1
322	но с	1	1
323	что только	1	1
324	в предисловии	1	1
325	во всем	1	1
326	то он	1	1
327	он уже	2	1
328	и раньше	1	1
329	в качестве	8	1
330	своем дневнике	1	1
331	внимание в	1	1
332	указания на	2	1
333	а это	2	1
334	что для	2	1
335	забудем что	1	1
336	мы находим	1	1
337	в одном	1	1
338	ее не	1	1
339	и никогда	1	1
340	не выдумано	1	1
341	не просто	2	1
342	от того	4	1
343	в особенности	4	1
344	связан с	1	1
345	нужно было	1	1
346	так не	1	1
347	с другой	8	1
348	именно в	3	1
349	все равно	2	1
350	прежде всего	8	1
351	в соответствии	3	1
352	в стиле	1	1
353	на этот	2	1
354	до конца	3	1
355	человек в	1	1
356	с помощью	7	1
357	в частности	2	1
358	с первого	2	1
359	за тем	1	1
360	д в	1	1
361	и гораздо	1	1
362	другого известного	1	1
363	из которых	3	1
364	п и	2	1
365	что первая	1	1
366	предположить что	1	1
367	что за	2	1
368	не дают	1	1
369	надеюсь что	1	1
370	несравненно более	1	1
371	с тех	1	1
372	того что	3	1
373	эти строки	1	1
374	в свое	2	1
375	еще раз	1	1
376	известном смысле	1	1
377	сих пор	1	1
378	между прочим	2	1
379	у вас	1	1
380	но для	3	1
381	ни тот	1	1
382	к вопросу	3	1
383	более того	1	1
384	и от	2	1
385	о котором	2	1
386	это как	1	1
387	хотя и	4	1
388	и перед	1	1
389	бы в	1	1
390	в литературной	1	1
391	конце концов	3	1
392	но зато	2	1
393	позволяет нам	1	1
394	только что	1	1
395	но вот	2	1
396	нам не	2	1
397	о своем	1	1
398	быть и	1	1
399	только как	2	1
400	другой стороны	7	1
401	следует искать	1	1
402	тот ни	1	1
403	только о	2	1
404	к этой	3	1
405	который не	1	1
406	как на	1	1
407	точно так	3	1
408	они не	1	1
