N	2gram	Berdyaev_M_2	Russkaja
345	человека на	2	1
346	этого слова	1	1
347	но вся	1	1
348	она и	1	1
349	все равно	3	1
350	природы человек	1	1
351	не всегда	2	1
352	для чего	3	1
353	нет и	1	1
354	принадлежит в	1	1
355	интеллигенция в	1	1
356	не сам	1	1
357	в царстве	4	1
358	перед собой	1	1
359	христианская любовь	1	1
360	переносится в	1	1
361	бы на	1	1
362	привело к	1	1
363	от своего	1	1
364	другим и	2	1
365	нас не	2	1
366	в такой	3	1
367	и без	1	1
368	нас может	1	1
369	внутренняя связь	1	1
370	и народ	1	1
371	прийти к	1	1
372	он принимает	1	1
373	в которых	1	1
374	он весь	1	1
375	стало быть	1	1
376	нельзя было	2	1
377	культура может	1	1
378	ко всему	1	1
379	все три	1	1
380	ему как	2	1
381	с необычайной	1	1
382	народа это	1	1
383	до известной	1	1
384	из нас	1	1
385	и всегда	3	1
386	для каждого	1	1
387	у кого	1	1
388	не по	1	1
389	и форм	1	1
390	в основе	2	1
391	отличное от	1	1
392	та или	1	1
393	он с	1	1
394	в какую-то	1	1
395	результаты этого	1	1
396	в разных	2	1
397	и весь	1	1
398	природы в	2	1
399	к ней	2	1
400	не церковь	1	1
401	и теперь	1	1
402	хочет быть	1	1
403	русского человека	7	1
404	было не	2	1
405	этом отношении	1	1
406	личности к	2	1
407	что на	1	1
408	него на	1	1
409	в духе	5	1
410	нет ни	2	1
411	чтобы сделать	1	1
412	человека в	14	1
413	должны быть	4	1
414	общественное мнение	1	1
415	все свое	1	1
416	с особенной	1	1
417	быть назван	2	1
418	и это	5	1
419	но по	1	1
420	отвергает и	1	1
421	как не	1	1
422	людей в	2	1
423	всего этого	1	1
424	и единственный	1	1
425	в ее	1	1
426	и подобию	1	1
427	мысль о	2	1
428	у разных	1	1
429	роль в	1	1
430	принадлежать к	1	1
431	бы всем	1	1
432	что у	4	1
433	так и	4	1
434	те же	5	1
435	и религии	1	1
436	мог бы	1	1
437	личности на	1	1
438	ничего подобного	3	1
439	по сравнению	1	1
440	быть может	2	1
441	в эпоху	1	1
442	культура есть	1	1
443	вот это	1	1
444	иное как	3	1
445	с другой	1	1
446	переходит в	8	1
447	и хочет	1	1
448	народ как	1	1
449	целиком в	1	1
450	самоутверждения человеческого	1	1
451	они останутся	1	1
452	интеллигенции и	1	1
453	у всех	2	1
454	в русском	4	1
455	такой человек	2	1
456	происходит в	1	1
457	он есть	1	1
458	но иван	1	1
459	по своей	3	1
460	один из	5	1
461	он верит	1	1
462	с себя	1	1
463	каждого человека	3	1
464	ведет нас	1	1
465	обречена на	1	1
466	а после	1	1
467	границей и	1	1
468	земного шара	1	1
469	как проявление	1	1
470	же и	2	1
471	к какому	1	1
472	и у	1	1
473	вопроса о	4	1
474	своей природы	2	1
475	есть проблема	1	1
476	слишком далеко	1	1
477	социализм и	1	1
478	и других	2	1
479	он принадлежит	1	1
480	если все	1	1
481	в прошлом	1	1
482	не для	3	1
483	от тех	1	1
484	бытия и	1	1
485	связано с	3	1
486	русского общества	1	1
487	отдельного человека	1	1
488	почему не	2	1
489	к ближнему	3	1
490	превращается в	2	1
491	в любви	8	1
492	это свое	1	1
493	бы это	1	1
494	к католичеству	1	1
495	это будет	1	1
496	всемирной революции	1	1
497	народ для	1	1
498	в свои	1	1
499	себе представить	1	1
500	может ли	1	1
501	хоть и	1	1
502	каждый человек	1	1
503	русской жизни	1	1
504	к которому	3	1
505	и прежде	1	1
506	этом есть	1	1
507	души и	2	1
508	что не	2	1
509	это –	22	1
510	европы и	1	1
511	бы друг	4	1
512	европы но	1	1
513	а за	2	1
514	до конца	4	1
515	власти и	1	1
516	человеческой жизни	2	1
517	с которым	3	1
518	для человека	3	1
519	не допускает	1	1
520	решения вопроса	3	1
521	мире то	1	1
522	навязать свое	1	1
523	народа на	2	1
524	мире есть	1	1
525	всем народам	1	1
526	связь с	1	1
527	свою судьбу	1	1
528	в самой	1	1
529	человека к	8	1
530	гармонии и	5	1
531	в европе	1	1
532	с людьми	1	1
533	по своему	1	1
534	свободные от	1	1
535	смысле этого	1	1
536	эту мысль	1	1
537	в тот	1	1
538	понял что	2	1
539	ближнему и	1	1
540	совести и	2	1
541	в церкви	2	1
542	с этой	1	1
543	богу и	2	1
544	россия есть	1	1
545	ничего кроме	2	1
546	нем самом	1	1
547	тогда все	2	1
548	на все	3	1
549	которых он	1	1
550	идея на	1	1
551	что кроме	1	1
552	своей собственной	1	1
553	человек и	2	1
554	тот кто	5	1
555	любви и	3	1
556	ее и	2	1
557	но когда	2	1
558	бы в	2	1
559	его жизнь	1	1
560	и все	5	1
561	люди которые	1	1
562	соединяется с	2	1
563	личности и	2	1
564	от всякого	1	1
565	к самому	2	1
566	а о	1	1
567	в свою	4	1
568	в какие	1	1
569	стать на	1	1
570	с ней	1	1
571	была бы	1	1
572	человечества от	1	1
573	русские люди	1	1
574	на вершинах	1	1
575	отношению к	2	1
576	духом и	1	1
577	что ни	1	1
578	есть то	1	1
579	собственной природы	1	1
580	ни на	1	1
581	бог есть	2	1
582	и соединение	1	1
583	многие из	1	1
584	они не	4	1
