N	2gram	Propp_Russ_1	VLabPisa
274	в форме	1	1
275	исходя из	1	1
276	поэзии и	1	1
277	для нас	6	1
278	их к	2	1
279	и наконец	1	1
280	к их	1	1
281	что некоторые	1	1
282	данном случае	1	1
283	вопрос о	1	1
284	входит в	4	1
285	не полностью	1	1
286	данные о	1	1
287	обычно не	2	1
288	это на	1	1
289	с по	1	1
290	о котором	1	1
291	к пониманию	1	1
292	или не	1	1
293	значение и	2	1
294	так не	1	1
295	основании этих	1	1
296	то время	1	1
297	в более	2	1
298	и многие	2	1
299	по мере	1	1
300	о своих	1	1
301	это время	2	1
302	это как	1	1
303	для них	3	1
304	на этот	3	1
305	после того	2	1
306	должна быть	1	1
307	только на	3	1
308	кроме того	1	1
309	а иванов	1	1
310	на этом	3	1
311	и детей	1	1
312	русских народных	1	1
313	и все	1	1
314	в несколько	1	1
315	есть в	1	1
316	на то	1	1
317	в виде	6	1
318	другой в	1	1
319	как можно	2	1
320	наконец в	1	1
321	с ним	2	1
322	в какой	2	1
323	в любой	1	1
324	и так	1	1
325	белом и	1	1
326	далее следует	1	1
327	характер этого	2	1
328	и во	1	1
329	его и	2	1
330	но вместе	1	1
331	самом деле	1	1
332	и другие	13	1
333	связанными с	1	1
334	все для	1	1
335	очень много	1	1
336	всего этого	1	1
337	дело не	1	1
338	и без	1	1
339	взгляд на	1	1
340	каждого из	1	1
341	по в	1	1
342	от него	1	1
343	относятся к	2	1
344	которая должна	1	1
345	а только	1	1
346	сомнения в	1	1
347	в м	1	1
348	не дает	1	1
349	ответ на	1	1
350	связь этого	1	1
351	и наоборот	1	1
352	их на	4	1
353	которой он	1	1
354	жизнь в	1	1
355	собой не	1	1
356	сливается в	1	1
357	труд имеет	1	1
358	если не	1	1
359	мало чем	1	1
360	есть и	1	1
361	однако эта	1	1
362	они показывают	1	1
363	были у	1	1
364	дело так	1	1
365	же но	1	1
366	них следует	1	1
367	так называемым	1	1
368	как видно	1	1
369	таком случае	1	1
370	с которого	1	1
371	в свете	2	1
372	тем это	1	1
373	же не	2	1
374	этому вопросу	2	1
375	ярких формах	1	1
376	не меняют	1	1
377	с м	1	1
378	между собой	2	1
379	имеется следующая	1	1
380	какого-то особого	1	1
381	не имели	1	1
382	свою очередь	2	1
383	вплоть до	4	1
384	потому что	10	1
385	это имеет	2	1
386	свидетельствует о	1	1
387	иметь в	1	1
388	смысла в	1	1
389	в заключение	1	1
390	то есть	3	1
391	уже указывалось	3	1
392	в начале	1	1
393	как не	2	1
394	в таком	1	1
395	случае он	1	1
396	видим что	1	1
397	для такого	1	1
398	дело и	1	1
399	связанных с	1	1
400	этому же	2	1
401	что их	1	1
402	в той	1	1
403	такое толкование	2	1
404	к ней	2	1
405	в архиве	1	1
406	и характер	1	1
407	жизнь и	1	1
408	в этих	3	1
409	к изучению	1	1
410	оно в	1	1
411	имеет ничего	1	1
412	борьбу и	1	1
413	что этот	4	1
414	что есть	1	1
415	и сам	1	1
416	характер так	1	1
417	не имеет	6	1
418	или вообще	1	1
419	как в	5	1
420	противном случае	1	1
421	чаще всего	3	1
422	в дальнейшем	2	1
423	описывает этот	1	1
424	меньшей мере	1	1
425	говорят о	1	1
426	можно установить	1	1
427	а н	18	1
428	что если	1	1
429	и других	7	1
430	на почве	1	1
431	можно говорить	2	1
432	и служит	1	1
433	общего с	1	1
434	что у	2	1
435	как особую	1	1
436	становится ясной	1	1
437	года в	2	1
438	говоря о	1	1
439	прямо и	1	1
440	только у	2	1
441	именно эти	1	1
442	только с	1	1
443	связаны с	3	1
444	его значение	1	1
445	в противном	1	1
446	не все	1	1
447	можно назвать	1	1
448	ни в	1	1
449	следующую схему	1	1
450	уже в	1	1
451	находится в	2	1
452	как будто	5	1
453	и поэтому	2	1
454	их совершенно	1	1
455	е тот	1	1
456	прав в	1	1
457	что до	1	1
458	тому же	1	1
459	известно о	1	1
460	пишет что	1	1
461	нет того	1	1
462	а и	5	1
463	он был	2	1
464	ф м	1	1
465	в истории	1	1
466	тем что	4	1
467	который у	1	1
468	работы на	2	1
469	подобного рода	1	1
470	ничего общего	2	1
471	причем каждый	1	1
472	судя по	2	1
473	писал о	1	1
474	представить себе	1	1
475	по меньшей	1	1
476	не могло	1	1
477	уже не	6	1
478	заметить что	1	1
479	и дети	1	1
480	в основе	1	1
481	по своему	1	1
482	однако и	1	1
483	что эти	1	1
484	в русском	4	1
485	для этого	2	1
486	говорят об	1	1
487	внимание на	1	1
488	и та	1	1
489	а к	1	1
490	его следующим	1	1
491	согласиться с	1	1
492	года на	2	1
493	от декабря	1	1
494	или с	1	1
495	того как	5	1
496	о начале	1	1
497	приходит к	1	1
498	обратил внимание	1	1
499	увидим ниже	3	1
500	пишет для	1	1
501	только тогда	1	1
502	но ни	2	1
503	себя и	2	1
504	и менее	1	1
505	не отличается	1	1
506	и что	4	1
507	выражено было	1	1
508	обе эти	1	1
509	в определенные	1	1
510	что часто	1	1
511	похожи на	1	1
512	нас особенно	1	1
513	на некоторые	1	1
514	ряда других	1	1
515	самые разнообразные	1	1
516	форму в	1	1
517	не как	1	1
518	несмотря на	3	1
519	обращение к	1	1
520	быть включены	1	1
521	не случайно	2	1
522	в каждой	1	1
523	общеизвестно что	1	1
524	развитии может	1	1
525	сообщает что	4	1
526	в три	1	1
527	быть и	2	1
528	слова с	1	1
529	описывает его	1	1
530	отсюда как	1	1
531	или наоборот	1	1
532	но что	2	1
533	не нашли	1	1
534	только для	2	1
535	в духе	1	1
536	не был	1	1
537	а также	3	1
538	рассказывает об	1	1
539	и эти	1	1
540	так называемое	1	1
541	а иногда	4	1
542	заимствован из	1	1
543	мы видим	2	1
544	целый ряд	1	1
545	которые не	3	1
546	или как	1	1
547	от октября	1	1
548	который в	1	1
549	он должен	1	1
550	связано с	1	1
551	на себя	2	1
552	как полного	1	1
553	форм и	1	1
554	совершенно очевидно	1	1
555	бросается в	1	1
556	и это	1	1
557	в глаза	1	1
558	со своими	1	1
559	никакого особого	1	1
560	и самый	1	1
561	часто в	1	1
562	себе и	1	1
563	существу в	1	1
564	иоанн златоуст	1	1
565	них способность	1	1
566	что во	1	1
567	сообщает в	1	1
568	еще в	4	1
569	обстоятельства могут	1	1
570	так называемой	3	1
571	полагая что	3	1
572	полностью в	1	1
573	е в	8	1
574	к числу	1	1
575	за это	1	1
576	в роли	1	1
577	что этим	1	1
578	но это	4	1
579	в данном	1	1
580	в свою	3	1
581	и богатством	1	1
