N	2gram	Medvedev_U_1	Dialekti
131	что было	1	2
132	что с	1	2
133	того как	1	2
134	никогда не	1	2
135	она должна	1	2
136	не могут	2	2
137	не значит	1	2
138	именно этот	1	2
139	для этого	3	2
140	даже не	1	2
141	никогда и	1	2
142	о нем	1	2
143	ее в	1	2
144	в пользу	1	2
145	и только	5	2
146	объекта в	1	2
147	и так	1	2
148	в качестве	1	2
149	конечно не	4	2
150	то и	1	2
151	тем что	2	2
152	есть слово	1	2
153	не было	1	2
154	понимая под	1	2
155	или иначе	1	2
156	другой стороны	3	2
157	его как	1	2
158	об ее	1	2
159	в частности	3	2
160	ни от	2	2
161	что же	1	2
162	поскольку он	1	2
163	быть не	1	2
164	художественное произведение	5	2
165	где бы	1	2
166	и слово	1	2
167	но для	1	2
168	при таком	2	2
169	такое понимание	1	2
170	невозможна без	1	2
171	тут мы	1	2
172	а как	2	2
173	еще ничего	2	2
174	что этот	1	2
175	равно как	1	2
176	природе и	1	2
177	в свое	1	2
178	самое что	1	2
179	все что	1	2
180	а между	2	1
181	же как	1	1
182	и через	2	1
183	он может	1	1
184	и исторические	1	1
185	этот и	1	1
186	научного анализа	1	1
187	и индивидуального	1	1
188	их и	2	1
189	а где	1	1
190	имеет свою	1	1
191	очень часто	1	1
192	и спорить	1	1
193	и этого	1	1
194	первый план	1	1
195	где же	1	1
196	не то	1	1
197	очевидно что	3	1
198	само же	1	1
199	случайной и	1	1
200	тот же	1	1
201	самим же	1	1
202	не приходится	2	1
203	имеем в	1	1
204	как принцип	2	1
205	но прежде	1	1
206	он не	1	1
207	о которой	1	1
208	путаницу и	1	1
209	всех этих	2	1
210	в первую	1	1
211	для в	1	1
212	или иных	2	1
213	же не	2	1
214	если нет	1	1
215	связанные с	1	1
216	что никакого	1	1
217	есть конечно	1	1
218	а его	2	1
219	входит в	1	1
220	или просто	1	1
221	данном случае	1	1
222	еще одно	1	1
223	будет не	1	1
224	нас самих	1	1
225	почти не	1	1
226	в которых	1	1
227	но он	1	1
228	друг другу	1	1
229	их в	1	1
230	тому чтобы	1	1
231	общего и	1	1
232	и вся	1	1
233	принципов и	1	1
234	на эстетику	1	1
235	в процессе	1	1
236	оно по	1	1
237	основного принципа	1	1
238	это то	1	1
239	это уже	2	1
240	только одним	1	1
241	что нельзя	1	1
242	этого и	1	1
243	всего что	1	1
244	взятого в	1	1
245	и свое	1	1
246	вообще во	1	1
247	только при	1	1
248	бы равносильно	1	1
249	в пределах	1	1
250	будет конечно	1	1
251	почему в	1	1
252	этих функций	1	1
253	о котором	1	1
254	говорить не	1	1
255	с одной	1	1
256	все его	1	1
257	время не	1	1
258	все в	1	1
259	что только	1	1
260	которое мы	1	1
261	было и	1	1
262	без этого	1	1
263	не входит	1	1
264	и у	2	1
265	его и	2	1
266	одно из	1	1
267	наука о	1	1
268	в конце	2	1
269	не для	1	1
270	именно как	2	1
271	с другой	4	1
272	фактов и	2	1
273	и прежде	1	1
274	только к	3	1
275	что для	1	1
276	превращается в	2	1
277	заданность и	1	1
278	до конца	1	1
279	своем месте	1	1
280	него не	1	1
281	бы это	1	1
282	чем то	1	1
283	он будет	1	1
284	в той	1	1
285	думается что	2	1
286	по существу	2	1
287	ней не	1	1
288	этом случае	1	1
289	религии и	1	1
290	и явно	1	1
291	и искусства	1	1
292	объекта и	1	1
293	много но	1	1
294	так или	1	1
295	в известном	1	1
296	в точном	1	1
297	но также	1	1
298	на первый	2	1
299	то о	1	1
300	конце концов	2	1
301	стороны в	1	1
302	все они	2	1
303	находятся в	1	1
304	гораздо больше	1	1
305	не самые	1	1
306	ни истории	1	1
307	что под	1	1
308	есть наука	1	1
309	на своем	1	1
310	как на	1	1
