N	2gram	Medvedev_V_1	Sovremen
239	в данной	1	1
240	он не	2	1
241	отдельных элементов	2	1
242	конечно нет	1	1
243	его и	1	1
244	машины в	1	1
245	и еще	1	1
246	себе в	1	1
247	и их	3	1
248	вот к	1	1
249	по существу	3	1
250	сами по	1	1
251	необходимо для	1	1
252	вовсе не	3	1
253	от различных	2	1
254	для них	1	1
255	ему принадлежит	1	1
256	но что	1	1
257	не случайно	1	1
258	много и	1	1
259	бы все	1	1
260	сказать еще	1	1
261	заключает в	1	1
262	всеми этими	1	1
263	поскольку она	1	1
264	по его	2	1
265	это значит	1	1
266	а затем	2	1
267	нет нужды	1	1
268	из приведенных	3	1
269	и может	2	1
270	в другом	2	1
271	том случае	1	1
272	одной стороны	2	1
273	и речи	1	1
274	объективная действительность	2	1
275	до сих	1	1
276	с другой	11	1
277	как у	2	1
278	при которой	1	1
279	именно в	2	1
280	этом смысле	1	1
281	что один	1	1
282	процесс его	1	1
283	в новое	1	1
284	в ином	1	1
285	к области	1	1
286	ни в	1	1
287	каждый актер	1	1
288	роли и	1	1
289	не было	7	1
290	хотим сказать	1	1
291	и составляет	1	1
292	этого не	1	1
293	необходимость в	2	1
294	несмотря на	1	1
295	как целого	3	1
296	на эту	1	1
297	для их	1	1
298	должно быть	2	1
299	обратимся к	1	1
300	понятия и	1	1
301	их на	1	1
302	в связи	3	1
303	том что	8	1
304	нет никаких	2	1
305	при определенных	1	1
306	том как	3	1
307	и при	5	1
308	работы в	1	1
309	то своеобразное	1	1
310	многих его	1	1
311	так же	3	1
312	и особенно	1	1
313	почти не	1	1
314	мы говорим	1	1
315	иного типа	1	1
316	и благодаря	1	1
317	его мнению	1	1
318	выражение таким	1	1
319	и значит	2	1
320	от его	2	1
321	в данном	1	1
322	в течение	2	1
323	является только	1	1
324	и той	1	1
325	время нет	1	1
326	процесса и	1	1
327	которые в	2	1
328	по крайней	2	1
329	образом на	1	1
330	именно к	1	1
331	так называемое	1	1
332	зрения и	1	1
333	по себе	2	1
334	в своем	8	1
335	только о	2	1
336	еще раз	1	1
337	как например	2	1
338	благодаря этому	1	1
339	роли каждого	1	1
340	сих пор	1	1
341	с ним	1	1
342	поэтому что	1	1
343	что эта	1	1
344	она не	3	1
345	быть при	1	1
346	но для	2	1
347	которых он	1	1
348	мысли в	1	1
349	не имеет	1	1
350	например у	2	1
351	случае он	1	1
352	в процессе	16	1
353	не является	5	1
354	которых она	1	1
355	но только	1	1
356	и от	3	1
357	только не	2	1
358	никогда не	4	1
359	или в	3	1
360	это как	1	1
361	на язык	2	1
362	хотя и	2	1
363	жизни не	1	1
364	это то	1	1
365	не представляет	1	1
366	же процесс	2	1
367	видим что	1	1
368	его значения	1	1
369	все они	2	1
370	и его	6	1
371	конечно нельзя	1	1
372	связи с	4	1
373	наконец все	1	1
374	же в	6	1
375	но это	1	1
376	этой области	3	1
377	она продолжается	1	1
378	и из	1	1
379	ли это	2	1
380	а о	2	1
381	между ними	3	1
382	это делает	3	1
383	природы не	1	1
384	сказать что	5	1
385	не быть	2	1
386	его таким	1	1
387	но этим	1	1
388	и для	2	1
389	очень часто	1	1
390	равно как	4	1
391	в духе	1	1
392	человека в	2	1
393	в то	6	1
394	единства в	1	1
395	есть то	1	1
396	отметить что	2	1
397	в заключение	1	1
398	в какой	1	1
399	той или	1	1
400	в своих	2	1
401	остается подвести	1	1
402	и свою	1	1
403	на это	2	1
404	опыта и	3	1
405	которая не	2	1
406	они не	2	1
407	ничего общего	1	1
