N	2gram	Losev_Vesc_1	Tragedij
231	а это	4	1
232	– со	1	1
233	но уже	3	1
234	со своими	1	1
235	когда я	5	1
236	и вне	2	1
237	говорится о	2	1
238	же я	1	1
239	но если	8	1
240	в своей	5	1
241	я опять	1	1
242	почти не	1	1
243	в котором	3	1
244	от силы	1	1
245	и цель	1	1
246	знает и	2	1
247	уместно вспомнить	1	1
248	не столько	1	1
249	представление о	1	1
250	есть смысл	2	1
251	стало быть	1	1
252	нее самой	1	1
253	и вот	2	1
254	страха и	1	1
255	но он	2	1
256	тем не	3	1
257	с такими	1	1
258	что имя	23	1
259	iii и	1	1
260	по себе	13	1
261	тому что	2	1
262	особым образом	1	1
263	не менее	3	1
264	действительности от	2	1
265	что эта	1	1
266	она не	4	1
267	но только	3	1
268	он с	1	1
269	только не	2	1
270	это мы	1	1
271	и всегда	1	1
272	в самой	2	1
273	или как	2	1
274	и притом	3	1
275	к ней	2	1
276	по своей	2	1
277	для нас	2	1
278	что на	2	1
279	ли это	7	1
280	он вполне	1	1
281	мы встречаем	1	1
282	к себе	4	1
283	могут быть	1	1
284	уже было	1	1
285	сознательно и	2	1
286	на улицу	1	1
287	сходство с	1	1
288	что оно	8	1
289	его с	1	1
290	не есть	49	1
291	как некое	1	1
292	утверждать что	1	1
293	мы опять-таки	1	1
294	в применении	1	1
295	как мы	4	1
296	вещами и	2	1
297	и о	3	1
298	того чтобы	3	1
299	и образ	3	1
300	не хочу	1	1
301	себе ее	1	1
302	всего этого	1	1
303	говорили что	1	1
304	природе своей	1	1
305	с собой	2	1
306	можно было	2	1
307	по природе	1	1
308	отождествляется с	1	1
309	порожден и	1	1
310	по сравнению	7	1
311	она тоже	1	1
312	быть может	1	1
313	только за	1	1
314	но может	1	1
315	себя а	1	1
316	вот почему	3	1
317	на вопрос	1	1
318	но мы	1	1
319	и который	1	1
320	а также	1	1
321	чтобы не	1	1
322	мы понимаем	1	1
323	нет это	2	1
324	теперь уже	1	1
325	нуждается в	1	1
326	я вижу	2	1
327	к личности	1	1
328	все время	1	1
329	и она	1	1
330	навсегда и	2	1
331	и пусть	1	1
332	того что	8	1
333	его собственная	1	1
334	мы видим	2	1
335	понимание этого	1	1
336	с ними	3	1
337	и развить	1	1
338	только в	14	1
339	во всем	1	1
340	как нечто	2	1
341	от самых	1	1
342	с одной	3	1
343	и хочу	2	1
344	есть в	1	1
345	так можно	1	1
346	только на	3	1
347	не знать	2	1
348	свидетельствует о	3	1
349	и чисто	1	1
350	но самое	2	1
351	в общем	1	1
352	на столе	2	1
353	него нет	1	1
354	одно из	1	1
355	и их	7	1
356	всяком случае	2	1
357	могло бы	1	1
358	слова в	2	1
359	чтобы она	2	1
360	и должна	1	1
361	ее не	2	1
362	ту сторону	1	1
363	вещи с	11	1
364	и мой	1	1
365	ведь уже	1	1
366	в особенности	1	1
367	даже не	7	1
368	и эту	1	1
369	именно в	1	1
370	что не	5	1
371	социальной жизни	1	1
372	обратиться к	1	1
373	естественно что	1	1
374	не было	1	1
375	– в	5	1
376	на этот	1	1
377	от злости	1	1
378	а не	19	1
379	с которым	1	1
380	именно так	1	1
381	его как	1	1
382	не быть	3	1
383	а вы	2	1
384	не я	2	1
385	в и	2	1
386	я хочу	5	1
387	вместе с	1	1
388	и потому	5	1
389	как сейчас	1	1
390	самой действительности	3	1
391	в духе	1	1
392	совершенно в	1	1
393	не из	2	1
394	может так	1	1
395	в моей	1	1
396	мы опять	1	1
397	сравнению с	6	1
398	наряду с	1	1
399	в той	3	1
400	применении к	2	1
401	оно начинает	1	1
402	от природы	1	1
403	и общий	1	1
404	с этой	4	1
405	и от	3	1
406	это выражение	2	1
407	не является	1	1
408	самое главное	2	1
409	об отношении	1	1
410	в результате	3	1
411	тот кто	1	1
412	в двух	1	1
413	о нем	1	1
414	это может	2	1
415	из себя	3	1
416	бы в	5	1
417	и совершенно	1	1
418	но у	1	1
419	конце концов	2	1
420	хотя бы	6	1
421	только что	2	1
422	я в	2	1
423	к ее	2	1
424	еще ничего	1	1
425	жизни в	1	1
426	нужно для	3	1
427	совершенно не	5	1
428	но этот	1	1
429	т е	55	1
430	есть и	4	1
431	может ли	2	1
432	но еще	3	1
433	и эта	3	1
434	это в	1	1
435	это понятие	1	1
436	своих прежних	1	1
437	во всяком	3	1
