N	2gram	Bakhtin_sl_2	RusskieA
194	до конца	17	2
195	не на	1	2
196	а не	14	2
197	и непосредственно	2	2
198	его как	2	2
199	большинстве случаев	5	2
200	в частности	1	2
201	и потому	7	2
202	там где	6	2
203	быть и	3	2
204	только для	1	2
205	между собой	1	2
206	и для	5	2
207	тем и	1	2
208	на новый	1	2
209	или в	2	2
210	интерес к	1	2
211	относящиеся к	1	2
212	обычно не	1	2
213	в отдельности	1	2
214	в своих	1	2
215	ту же	3	1
216	исключена возможность	1	1
217	также и	2	1
218	зависимости от	4	1
219	из самых	1	1
220	по преимуществу	1	1
221	и ее	1	1
222	оно было	2	1
223	должна быть	3	1
224	собственном смысле	3	1
225	с таким	2	1
226	и за	1	1
227	и могут	1	1
228	мы уже	2	1
229	не приходится	3	1
230	изложения и	1	1
231	время от	1	1
232	сливается в	1	1
233	говорить о	3	1
234	фигурируют в	1	1
235	не знают	1	1
236	того же	1	1
237	в отличие	12	1
238	на них	2	1
239	не был	2	1
240	наиболее сильно	1	1
241	всего этого	1	1
242	в чем	3	1
243	с его	7	1
244	этих случаях	2	1
245	а следовательно	1	1
246	необходимо еще	2	1
247	оно в	1	1
248	целом ряде	1	1
249	не все	2	1
250	по отношению	4	1
251	отличие от	13	1
252	формы мышления	1	1
253	и свои	2	1
254	и должны	1	1
255	в истории	11	1
256	материал на	1	1
257	его на	1	1
258	сочетается с	1	1
259	в различные	2	1
260	к новому	3	1
261	однако не	1	1
262	перед нами	3	1
263	целый ряд	1	1
264	и наконец	5	1
265	бытовые формы	1	1
266	увидим что	1	1
267	поэтому и	4	1
268	основных направлений	1	1
269	говорят о	1	1
270	отнести за	1	1
271	в себе	2	1
272	на то	1	1
273	материал из	2	1
274	очень велико	2	1
275	он не	2	1
276	в немецкой	1	1
277	русском языке	1	1
278	интересами и	1	1
279	влиянием в	1	1
280	он просто	1	1
281	и характер	1	1
282	значение в	2	1
283	те же	2	1
284	влиять на	1	1
285	и определить	1	1
286	его в	4	1
287	на почве	4	1
288	но их	1	1
289	должен был	1	1
290	и тем	1	1
291	не соответствует	1	1
292	ни в	4	1
293	в этой	1	1
294	на основании	1	1
295	не всегда	2	1
296	мы видели	2	1
297	в среднем	1	1
298	языках в	1	1
299	значение как	2	1
300	смысл и	2	1
301	одного и	1	1
302	и при	2	1
303	никак не	1	1
304	не здесь	1	1
305	немецкой науке	2	1
306	и без	1	1
307	место в	1	1
308	не столько	3	1
309	от времени	1	1
310	но эта	2	1
311	ясна как	1	1
312	точку зрения	3	1
313	которые в	2	1
314	как поэтический	1	1
315	форму в	1	1
316	и время	1	1
317	в то	4	1
318	не о	1	1
319	дело не	1	1
320	тогда когда	2	1
321	дело в	2	1
322	ее с	1	1
323	в основе	4	1
324	примет и	1	1
325	иметь в	1	1
326	самых распространенных	1	1
327	значение этого	1	1
328	следовательно и	1	1
329	носят ли	1	1
330	слова как	2	1
331	или как	4	1
332	степени их	1	1
333	прежде чем	1	1
334	и его	33	1
335	весь этот	1	1
336	этом отношении	3	1
337	в духе	1	1
338	и всех	1	1
339	содержанием и	1	1
340	слова с	4	1
341	понимать его	1	1
342	если же	1	1
343	смысле в	1	1
344	и это	1	1
345	и о	1	1
346	в виду	1	1
347	которые как	1	1
348	в собственном	3	1
349	слова а	1	1
350	на том	1	1
351	если они	1	1
352	и сам	1	1
353	и этого	1	1
354	этим в	1	1
355	и всюду	1	1
356	во второй	1	1
357	и определяется	1	1
358	и дней	1	1
359	быту и	1	1
360	но здесь	4	1
361	необходимо иметь	1	1
362	дальнейшего развития	1	1
363	их но	1	1
364	что часто	1	1
365	поэтический образ	1	1
366	не исключена	1	1
367	характерным но	1	1
368	но мы	2	1
369	можно сказать	1	1
370	нас в	1	1
371	нашем быту	1	1
372	к нему	3	1
373	говорить об	1	1
374	стоит и	1	1
375	во всей	1	1
376	в форме	2	1
377	сомнения в	1	1
378	наконец в	4	1
379	и следовательно	1	1
380	требует изучения	1	1
381	совсем не	1	1
382	что он	2	1
383	и действительно	1	1
384	до нас	1	1
385	это слово	1	1
386	точка зрения	2	1
387	уже в	2	1
388	до появления	1	1
389	же в	1	1
390	это значение	1	1
391	него нет	3	1
392	был почти	1	1
393	всяком случае	2	1
394	нуждается в	2	1
395	т п	33	1
396	с этими	1	1
397	может служить	1	1
398	дело и	1	1
399	случае не	1	1
400	не могут	5	1
401	не до	1	1
402	формах в	2	1
403	влияние на	2	1
404	как у	1	1
405	с той	1	1
406	мы еще	1	1
407	этой роли	1	1
408	что не	1	1
409	говорит о	1	1
410	в изобилии	1	1
411	связано с	3	1
412	которых мы	2	1
413	и самый	1	1
414	однако и	1	1
415	с которым	2	1
416	точек зрения	3	1
417	или с	1	1
418	в одно	2	1
419	и служит	1	1
420	в эпосе	4	1
421	представления о	1	1
422	представить себе	1	1
423	в иных	1	1
424	с общей	1	1
425	но такое	1	1
426	в пределах	13	1
427	в данном	2	1
428	который мы	1	1
429	в той	4	1
430	ко всему	1	1
431	поэтому они	1	1
432	как только	1	1
433	слово для	3	1
434	кроме того	2	1
435	это как	1	1
436	ближе к	1	1
437	не является	1	1
438	только одна	1	1
439	всем этим	2	1
440	в двух	1	1
441	от него	5	1
442	и все	5	1
443	или нет	1	1
444	из своего	1	1
445	важное значение	1	1
446	только с	2	1
447	и различные	2	1
448	но оно	2	1
449	слово в	11	1
450	не знает	2	1
451	сказать что	3	1
452	только как	1	1
453	отношению к	4	1
454	оно не	8	1
455	только о	2	1
456	и две	1	1
457	от слова	1	1
458	ли они	1	1
459	жизни и	6	1
460	в таком	4	1
461	также не	1	1
462	они не	2	1
463	во всяком	3	1
464	все что	2	1
