N	2gram	Kanaev_Sov_1	Formalny
289	с готовыми	1	1
290	только одна	6	1
291	совсем не	1	1
292	всего мы	1	1
293	своего предмета	2	1
294	всей совокупности	1	1
295	что же	5	1
296	к этому	1	1
297	этого не	1	1
298	между собой	3	1
299	но только	1	1
300	человеком человек	1	1
301	этом смысле	1	1
302	один и	1	1
303	их еще	1	1
304	совершенно не	2	1
305	еще мало	2	1
306	на этой	3	1
307	перечисленные нами	1	1
308	знаем что	2	1
309	в другом	1	1
310	видим что	1	1
311	здесь нет	1	1
312	элементы и	1	1
313	кто же	1	1
314	мы постараемся	1	1
315	в первый	1	1
316	во внутреннем	1	1
317	еще более	2	1
318	элементов а	1	1
319	и само	1	1
320	хотя и	1	1
321	такой же	2	1
322	поэтому мы	3	1
323	может не	3	1
324	из которых	2	1
325	элемента в	1	1
326	не могут	2	1
327	них своя	1	1
328	или в	1	1
329	в отличие	2	1
330	по преимуществу	1	1
331	не имеет	1	1
332	между двумя	1	1
333	ведь если	1	1
334	уже чисто	1	1
335	на которой	1	1
336	для этих	1	1
337	ведь в	1	1
338	мы с	2	1
339	из этих	2	1
340	но самый	1	1
341	отличие от	2	1
342	та же	1	1
343	что при	2	1
344	можно говорить	1	1
345	потому совершенно	1	1
346	только одно	1	1
347	времени не	1	1
348	мы получаем	3	1
349	то она	1	1
350	нужна для	1	1
351	или другой	1	1
352	законов и	1	1
353	только одну	2	1
354	цель и	1	1
355	как он	3	1
356	между всеми	2	1
357	она и	1	1
358	как нет	1	1
359	но уже	1	1
360	живой жизни	1	1
361	а на	2	1
362	в отдельных	1	1
363	сказать что	1	1
364	так в	1	1
365	вся эта	1	1
366	два основных	1	1
367	приводит и	1	1
368	нечего делать	1	1
369	стать в	1	1
370	одно направление	1	1
371	в первом	3	1
372	в объяснении	1	1
373	тем не	2	1
374	в и	2	1
375	которых она	1	1
376	той же	2	1
377	как одной	1	1
378	прошлого века	1	1
379	xix века	1	1
380	эту сторону	1	1
381	нужно сказать	1	1
382	все элементы	1	1
383	из одного	2	1
384	а о	1	1
385	не стать	1	1
386	эти три	1	1
387	мы уже	1	1
388	более недопустимо	1	1
389	науке и	1	1
390	возникновения и	1	1
391	у него	2	1
392	в постановке	1	1
393	могут быть	2	1
394	мы знаем	2	1
395	наука не	1	1
396	и для	1	1
397	и навсегда	1	1
398	и ни	1	1
399	было совершенно	1	1
400	мы видим	2	1
401	деталях и	1	1
402	первый период	2	1
403	развития поэтому	1	1
404	в данной	1	1
405	положение в	1	1
406	организма в	1	1
407	должен был	1	1
408	начало нового	1	1
409	на этом	2	1
410	такую же	1	1
411	роль в	2	1
412	структур но	1	1
413	без остатка	1	1
414	несмотря на	1	1
415	вопрос и	1	1
416	для каждого	1	1
417	самого начала	3	1
418	но отнюдь	1	1
419	с самого	3	1
420	мы всегда	1	1
421	в такой	1	1
422	и всегда	1	1
423	но что	1	1
424	происходит это	1	1
425	правда не	1	1
426	в духе	1	1
427	соответствующих им	1	1
428	значит что	1	1
429	и вся	1	1
430	как у	1	1
431	не подлежит	3	1
432	что дело	1	1
433	и методологической	1	1
434	опирается на	1	1
435	и есть	2	1
436	и наш	1	1
437	должны искать	1	1
438	он может	3	1
439	может стать	1	1
440	нами в	1	1
441	одного из	1	1
442	конкретную методику	1	1
443	и речи	1	1
444	по мнению	2	1
445	остановимся здесь	1	1
446	о принципиальной	2	1
447	не является	1	1
448	это уже	1	1
449	и научного	1	1
450	или иной	2	1
451	новое время	1	1
452	из них	4	1
453	так как	4	1
454	меняется в	1	1
455	осуществляется только	1	1
456	от его	1	1
457	жизни как	1	1
458	и тогда	1	1
459	совокупности условий	4	1
460	этот метод	1	1
461	и эта	1	1
462	к одному	1	1
463	свою собственную	2	1
464	и снова	1	1
465	и по	2	1
466	с необходимостью	3	1
467	специальных вопросов	2	1
468	во многом	1	1
469	при которой	1	1
470	в данном	1	1
471	процессе развития	1	1
