N	2gram	Nazirov_Vr_1	RusskieA
145	у него	5	2
146	до того	1	2
147	не знали	1	2
148	могут быть	1	2
149	сходство с	1	2
150	ничего общего	1	2
151	свою очередь	1	2
152	в в	2	2
153	что у	3	2
154	и другими	1	2
155	с ним	4	2
156	можно объяснить	1	2
157	сходство между	1	2
158	в его	3	2
159	в свете	1	2
160	в разные	1	2
161	полагали что	1	2
162	его и	2	2
163	тут же	1	2
164	не было	5	2
165	в особенности	1	2
166	такое же	1	2
167	воспоминания о	1	2
168	только по	1	2
169	до конца	1	2
170	в частности	1	2
171	предположить что	1	2
172	считал что	3	2
173	довольно много	2	2
174	быть и	1	2
175	между прочим	1	2
176	к вопросу	1	2
177	год в	1	2
178	года в	7	2
179	а п	1	2
180	обычно не	1	2
181	в своих	4	2
182	он черпал	1	1
183	также и	1	1
184	же как	2	1
185	подтверждается тем	1	1
186	крестьян и	1	1
187	по преимуществу	1	1
188	могли иметь	1	1
189	и ее	2	1
190	этих строк	1	1
191	по его	1	1
192	из всех	1	1
193	б и	2	1
194	в русских	2	1
195	на место	2	1
196	вторая часть	1	1
197	говорить о	1	1
198	ему в	1	1
199	был еще	1	1
200	того же	1	1
201	и он	2	1
202	и был	1	1
203	него он	1	1
204	на них	1	1
205	не был	1	1
206	в чем	3	1
207	с его	3	1
208	а следовательно	1	1
209	в петербурге	1	1
210	на основе	2	1
211	и ненависти	1	1
212	после смерти	2	1
213	не все	1	1
214	ответ на	2	1
215	он пишет	2	1
216	искал в	1	1
217	в истории	4	1
218	же с	1	1
219	его на	2	1
220	и дети	2	1
221	некоторое время	1	1
222	целый ряд	4	1
223	и наконец	1	1
224	июня в	2	1
225	за это	1	1
226	в себе	2	1
227	тому же	1	1
228	превращен в	1	1
229	на то	3	1
230	он не	3	1
231	в начале	6	1
232	ее своей	1	1
233	в названных	1	1
234	называя его	1	1
235	о котором	1	1
236	его в	3	1
237	к своим	1	1
238	типичен для	1	1
239	в этой	2	1
240	не всегда	1	1
241	он и	1	1
242	в развитии	1	1
243	года и	1	1
244	одного и	1	1
245	год а	1	1
246	записи в	1	1
247	как указывает	1	1
248	место в	2	1
249	что я	2	1
250	одном из	1	1
251	ряда других	1	1
252	ее для	1	1
253	не могли	1	1
254	с такими	1	1
255	связь этого	1	1
256	на первое	1	1
257	что есть	3	1
258	всех их	1	1
259	этот вывод	1	1
260	привела к	1	1
261	в то	5	1
262	русский народ	1	1
263	было не	1	1
264	года он	3	1
265	каждый из	1	1
266	следовательно и	1	1
267	все свои	1	1
268	того в	1	1
269	и его	3	1
270	прямо в	1	1
271	этом отношении	1	1
272	ему не	1	1
273	такие же	1	1
274	тем это	1	1
275	в духе	1	1
276	в среде	2	1
277	же только	1	1
278	и это	2	1
279	из их	1	1
280	и о	3	1
281	н ф	1	1
282	у себя	1	1
283	в виду	4	1
284	только при	1	1
285	россии в	2	1
286	идет не	1	1
287	то время	1	1
288	и сам	1	1
289	было в	1	1
290	уже на	1	1
291	вошел в	1	1
292	во второй	1	1
293	имеется в	1	1
294	жизнь и	1	1
295	быть может	1	1
296	и вообще	1	1
297	что им	1	1
298	это влияние	1	1
299	второй половине	1	1
300	но мы	1	1
301	ли не	1	1
302	нас в	1	1
303	к нему	1	1
304	не могло	1	1
305	и во	3	1
306	говорить об	1	1
307	во всей	1	1
308	в форме	1	1
309	было бы	1	1
310	сразу же	1	1
311	к русским	1	1
312	совсем не	1	1
313	что он	4	1
314	он уже	1	1
315	и раньше	1	1
316	это слово	1	1
317	своем дневнике	1	1
318	и детей	4	1
319	уже в	4	1
320	в нашей	2	1
321	же в	2	1
322	как показал	1	1
323	всяком случае	1	1
324	не сохранилось	1	1
325	от того	1	1
326	перед ними	1	1
327	ф м	1	1
328	давно был	1	1
329	что пишет	1	1
330	так не	1	1
331	к которому	1	1
332	писал о	1	1
333	тогда же	1	1
334	он считал	4	1
335	что для	1	1
336	говорит о	1	1
337	и пытался	1	1
338	и самый	1	1
339	сколько в	1	1
340	с которым	2	1
341	которой он	1	1
342	под влиянием	1	1
343	мы знаем	2	1
344	безо всякой	1	1
345	себя на	1	1
346	уже давно	1	1
347	года когда	1	1
348	в цель	1	1
349	или по	1	1
350	ii этот	2	1
351	из которых	1	1
352	по своему	1	1
353	не дают	1	1
354	наряду с	3	1
355	в той	2	1
356	первое место	1	1
357	в первой	1	1
358	н и	1	1
359	с последним	1	1
360	но для	1	1
361	это как	1	1
362	ближе к	1	1
363	марта и	1	1
364	тот кто	1	1
365	оказалось что	1	1
366	и все	7	1
367	из своего	1	1
368	или вообще	1	1
369	нам не	1	1
370	в период	2	1
371	а б	1	1
372	только как	1	1
373	уверенности что	1	1
374	только о	1	1
375	жизни и	1	1
376	в таком	1	1
377	которому в	1	1
378	они не	1	1
379	как на	1	1
380	точно так	1	1
381	во всяком	1	1
382	все что	1	1
