N	2gram	Savitsky_P_1	Marksizm
344	само по	1	1
345	в других	1	1
346	были бы	1	1
347	в исторической	1	1
348	со стороны	2	1
349	или чисто	1	1
350	связаны с	1	1
351	ее соками	1	1
352	к более	1	1
353	на общество	1	1
354	другой стороны	1	1
355	свет его	1	1
356	как ни	1	1
357	мы все	1	1
358	на основании	1	1
359	м ы	1	1
360	раскрывается в	1	1
361	бы оно	1	1
362	на фоне	1	1
363	нет ничего	1	1
364	исходить из	1	1
365	ни на	1	1
366	определенный и	1	1
367	имеет важность	1	1
368	к сохранению	1	1
369	к жизни	1	1
370	сравнению с	1	1
371	индивидуальной личности	1	1
372	xix век	2	1
373	два основных	1	1
374	из этой	1	1
375	друг с	1	1
376	н а	10	1
377	в это	1	1
378	в гораздо	4	1
379	и другим	1	1
380	в условиях	1	1
381	план в	1	1
382	слова но	2	1
383	прежде чем	1	1
384	об отношении	1	1
385	о котором	1	1
386	хотя и	3	1
387	пр в	1	1
388	вождя в	1	1
389	возможно также	1	1
390	мы должны	4	1
391	потому что	3	1
392	исключительно в	2	1
393	в человеческих	1	1
394	такого восприятия	1	1
395	следовательно к	1	1
396	является и	1	1
397	или иным	1	1
398	пути к	1	1
399	и другие	1	1
400	том числе	2	1
401	гораздо более	1	1
