N	2gram	Berdyaev_O_1	Analitik
197	заключается в	1	1
198	которого не	1	1
199	с вопросом	1	1
200	этим именем	1	1
201	смерть и	1	1
202	жизни человека	1	1
203	в них	1	1
204	с тем	2	1
205	видел в	1	1
206	он и	1	1
207	над его	1	1
208	в этих	3	1
209	и ее	3	1
210	в отношении	1	1
211	л толстого	1	1
212	что говорит	1	1
213	одном из	1	1
214	него не	2	1
215	но он	7	1
216	да ведь	1	1
217	человека есть	2	1
218	одна из	1	1
219	было не	1	1
220	его собственного	1	1
221	тип человека	1	1
222	или лучше	1	1
223	виду не	1	1
224	он указывает	1	1
225	о природе	3	1
226	норме и	1	1
227	ничего не	2	1
228	сложнее и	2	1
229	уровень его	1	1
230	во всем	1	1
231	но это	1	1
232	с другом	1	1
233	начиная с	1	1
234	всего в	2	1
235	его с	1	1
236	пользоваться им	1	1
237	говорит о	1	1
238	и был	1	1
239	можно и	1	1
240	в виду	1	1
241	людей в	1	1
242	уже с	1	1
243	лучше сказать	1	1
244	нам человека	1	1
245	человека он	1	1
246	том как	1	1
247	человека человек	1	1
248	это какое-то	1	1
249	в глубине	7	1
250	в разных	1	1
251	в самой	9	1
252	и что	1	1
253	его жизни	1	1
254	это была	1	1
255	в которую	1	1
256	во внутренней	1	1
257	все время	1	1
258	он создал	1	1
259	человека как	1	1
260	которой в	1	1
261	и дело	1	1
262	проникнуть в	1	1
263	их жизни	1	1
264	так что	2	1
265	есть откровение	1	1
266	в душе	2	1
267	но от	1	1
268	чего бы	1	1
269	только одно	3	1
270	не так	1	1
271	всяком случае	1	1
272	в одном	1	1
273	может пользоваться	1	1
274	у него	22	1
275	в науке	1	1
276	эволюции в	1	1
277	она и	1	1
278	и даже	1	1
279	лица в	1	1
280	человека а	2	1
281	с той	1	1
282	действующих лиц	1	1
283	было и	1	1
284	во внешней	1	1
285	что для	2	1
286	к человеку	9	1
287	одного только	2	1
288	не было	9	1
289	его как	1	1
290	у одного	1	1
291	о чем	1	1
292	для человека	2	1
293	речи и	1	1
294	связь с	1	1
295	духа он	1	1
296	ко всем	2	1
297	как это	1	1
298	о границах	1	1
299	смысле этого	1	1
300	в пределы	1	1
301	в мир	1	1
302	да и	1	1
303	друг с	1	1
304	которая ни	1	1
305	о его	5	1
306	она должна	1	1
307	и для	2	1
308	указать на	1	1
309	случае если	1	1
310	и от	3	1
311	все что	3	1
312	человека для	1	1
313	человек и	4	1
314	хотя и	2	1
315	и трагическое	1	1
316	ее и	1	1
317	от него	7	1
318	есть уже	1	1
319	есть без	1	1
320	личности и	2	1
321	в своих	3	1
322	личность и	1	1
323	жизни в	2	1
324	все еще	2	1
325	лишь по	1	1
326	совершенно не	1	1
327	к его	1	1
328	жизни и	1	1
329	ее в	2	1
330	и эта	1	1
331	во всяком	1	1
