N	2gram	Vinokur_Ku_1	Hudozhes
492	возможна только	1	1
493	жизнью в	1	1
494	внимание на	4	1
495	настоящее время	1	1
496	первого из	1	1
497	после того	1	1
498	языковых стилей	2	1
499	вследствие того	1	1
500	вопросу о	1	1
501	в которую	1	1
502	если с	1	1
503	существенно разнится	1	1
504	или иная	1	1
505	по типу	1	1
506	состоит не	1	1
507	нуждается в	3	1
508	у достоевского	1	1
509	речевых жанрах	2	1
510	крайней мере	5	1
511	целого а	1	1
512	каждом из	2	1
513	уже до	1	1
514	может иметь	2	1
515	в него	1	1
516	как прямая	1	1
517	один из	4	1
518	но с	2	1
519	есть процесс	1	1
520	обе эти	3	1
521	тот же	2	1
522	это необходимо	1	1
523	дело с	1	1
524	что даже	1	1
525	в какой	6	1
526	субъекта в	1	1
527	русского языка	9	1
528	простой и	1	1
529	или же	1	1
530	которое позволило	1	1
531	теперь в	1	1
532	с которыми	1	1
533	по большей	2	1
534	так что	4	1
535	от одной	1	1
536	же и	2	1
537	если мы	2	1
538	ничего нельзя	1	1
539	то и	2	1
540	действующего лица	1	1
541	свидетельствует о	2	1
542	эта возможность	1	1
543	не дает	1	1
544	из них	4	1
545	что речь	1	1
546	себе в	3	1
547	до того	2	1
548	мы находим	1	1
549	и против	2	1
550	не для	1	1
551	так как	9	1
552	и от	1	1
553	тому же	1	1
554	к явлениям	1	1
555	к ним	1	1
556	как такового	1	1
557	не просто	5	1
558	и строго	1	1
559	не было	3	1
560	и даже	3	1
561	по своим	2	1
562	еще и	5	1
563	перед ним	1	1
564	что не	5	1
565	что для	1	1
566	к более	1	1
567	в соответствии	3	1
568	и пр	15	1
569	лица по	1	1
570	человека но	1	1
571	автором в	1	1
572	из наиболее	1	1
573	более того	1	1
574	зависит от	1	1
575	однако и	1	1
576	жизнь в	1	1
577	что несмотря	1	1
578	не всегда	2	1
579	рассчитан на	1	1
580	мы встречаем	1	1
581	его как	1	1
582	в одно	1	1
583	то она	1	1
584	в связи	3	1
585	разнится от	1	1
586	почву для	1	1
587	делает их	1	1
588	является его	1	1
589	только к	2	1
590	даже при	1	1
591	вместе с	7	1
592	я уже	1	1
593	в одной	1	1
594	язык а	1	1
595	литературной речи	1	1
596	в иных	2	1
597	нимало не	1	1
598	не могут	2	1
599	он говорит	1	1
600	в область	1	1
601	областями духовной	1	1
602	этого слова	3	1
603	легкой руки	1	1
604	узнает в	1	1
605	да и	1	1
606	в состоянии	2	1
607	него не	1	1
608	в это	2	1
609	с этой	2	1
610	этом случае	2	1
611	той мере	5	1
612	своей жизни	1	1
613	только для	1	1
614	то под	2	1
615	как система	1	1
616	между прочим	2	1
617	этом и	1	1
618	точно и	1	1
619	все же	12	1
620	вместо него	1	1
621	к вопросу	1	1
622	при всем	1	1
623	является как	1	1
624	тех или	1	1
625	каждой из	1	1
626	в более	2	1
627	может служить	2	1
628	времени его	1	1
629	если не	3	1
630	собственно и	1	1
631	не подлежит	1	1
632	в результате	5	1
633	о котором	2	1
634	например не	2	1
635	себя самого	2	1
636	для нас	2	1
637	из своего	1	1
638	бы в	7	1
639	особенности в	1	1
640	не будучи	1	1
641	за него	1	1
642	же в	4	1
643	но если	2	1
644	не есть	4	1
645	здесь только	2	1
646	может и	1	1
647	чем с	1	1
648	в системе	3	1
649	это на	1	1
650	в свое	2	1
651	который в	1	1
652	сочетании с	1	1
653	которой я	1	1
654	жизни и	1	1
655	ее в	2	1
656	случае если	1	1
657	в своих	1	1
658	все что	1	1
659	этой точки	2	1
660	они не	3	1
