N	2gram	Nazirov_Tr_1	Dialekti
420	в результате	1	1
421	за что	1	1
422	в силах	2	1
423	тот кто	1	1
424	это часто	1	1
425	от него	1	1
426	это может	1	1
427	очень хорошо	1	1
428	к ее	1	1
429	состоит из	2	1
430	что под	1	1
431	и эта	1	1
432	это понятие	1	1
