N	2gram	Propp_Russ_1	Otkroven
232	в иных	1	1
233	сам и	1	1
234	одном из	1	1
235	связывали с	1	1
236	что было	1	1
237	всяком случае	1	1
238	видно что	6	1
239	и более	2	1
240	друг с	1	1
241	что сам	1	1
242	и менее	1	1
243	быть не	1	1
244	любви и	1	1
245	и здесь	2	1
246	но это	4	1
247	а иногда	4	1
248	она не	2	1
249	дело в	1	1
250	того как	5	1
251	одна из	4	1
252	ближе к	1	1
253	ее с	1	1
254	тому кто	1	1
255	не по	1	1
256	было не	1	1
257	не случайно	2	1
258	подошел к	1	1
259	которого они	1	1
260	может служить	1	1
261	в разных	3	1
262	христа и	3	1
263	это часто	1	1
264	что их	1	1
265	христова и	1	1
266	в русском	4	1
267	вот что	1	1
268	которым можно	1	1
269	как будто	5	1
270	благополучия и	1	1
271	иначе чем	1	1
272	ты не	1	1
273	но есть	2	1
274	не потому	1	1
275	это все	1	1
276	с другом	1	1
277	у нас	8	1
278	в культурном	1	1
279	но можно	1	1
280	ко всему	1	1
281	чтобы сделать	1	1
282	у которых	2	1
283	но оно	1	1
284	и всех	1	1
285	та же	2	1
286	и состоит	1	1
287	ii в	2	1
288	его с	4	1
289	жизни и	1	1
290	будто бы	6	1
291	во всяком	1	1
292	они и	2	1
293	быть назван	1	1
