N	2gram	Tiupa_Narr_1	Poddanst
119	в частности	14	2
120	взгляда на	1	2
121	том числе	1	2
122	поскольку не	1	1
123	утверждается возможность	1	1
124	также и	3	1
125	же как	1	1
126	с другом	1	1
127	и через	2	1
128	происходит и	2	1
129	и то	3	1
130	средств в	1	1
131	как известно	3	1
132	как по	1	1
133	тем же	2	1
134	к жизни	2	1
135	на две	2	1
136	выражается в	1	1
137	и утверждается	1	1
138	на нее	1	1
139	не с	1	1
140	особенно в	2	1
141	и само	1	1
142	еще в	3	1
143	какой она	1	1
144	идти в	1	1
145	для этого	1	1
146	внимание к	1	1
147	не вполне	2	1
148	на себя	4	1
149	с ее	2	1
150	и ее	3	1
151	слова о	1	1
152	в некотором	1	1
153	мы и	1	1
154	и здесь	1	1
155	церкви в	1	1
156	последней в	1	1
157	подчеркнуть что	1	1
158	историю в	2	1
159	внутреннего зрения	2	1
160	еще не	4	1
161	и на	5	1
162	он был	1	1
163	это но	1	1
164	в различных	1	1
165	с его	4	1
166	бы она	1	1
167	к истине	1	1
168	и главное	1	1
169	различия между	1	1
170	смысла она	1	1
171	не все	1	1
172	что и	1	1
173	отличие от	2	1
174	не просто	1	1
175	также в	1	1
176	в преодолении	1	1
177	в рамках	1	1
178	человеческого бытия	1	1
179	на будущее	1	1
180	в современной	3	1
181	известном смысле	2	1
182	невозможно ни	1	1
183	все же	4	1
184	и где	1	1
185	не два	1	1
186	в отрыве	1	1
187	взывает к	1	1
188	более или	1	1
189	бы из	1	1
190	должен быть	1	1
191	существования при	1	1
192	в самом	6	1
193	только то	1	1
194	но как	3	1
195	в которой	1	1
196	во времени	9	1
197	что это	1	1
198	их не	1	1
199	представляет собой	8	1
200	из этих	4	1
201	себя в	2	1
202	в известном	2	1
203	это от	1	1
204	мы именуем	1	1
205	сливаются в	2	1
206	мира но	1	1
207	уже в	1	1
208	во многих	1	1
209	на территории	1	1
210	только на	2	1
211	на то	2	1
212	но на	1	1
213	не могла	2	1
214	свидетельство о	1	1
215	т д	1	1
216	не как	1	1
217	к ним	2	1
218	друг друга	2	1
219	мы можем	2	1
220	и только	2	1
221	само по	1	1
222	какой бы	1	1
223	каждый из	2	1
224	при отсутствии	2	1
225	и по	1	1
226	с собой	1	1
227	одно и	2	1
228	представляют собой	3	1
229	из двух	1	1
230	в исторической	1	1
231	или иной	4	1
232	из всех	1	1
233	ясно что	1	1
234	его в	1	1
235	в душе	1	1
236	сознания к	1	1
237	чем тот	1	1
238	живет в	1	1
239	и иных	2	1
240	например с	1	1
241	было и	2	1
242	а с	1	1
243	видения в	1	1
244	что не	2	1
245	на свои	1	1
246	выступает в	1	1
247	далеко не	1	1
248	в этой	6	1
249	в реальной	1	1
250	на основании	1	1
251	но каждый	1	1
252	как и	13	1
253	и уже	1	1
254	и я	1	1
255	ведет к	1	1
256	нисколько не	1	1
257	когда в	3	1
258	есть некоторая	1	1
259	и еще	2	1
260	или менее	1	1
261	отрыве от	1	1
262	в творчестве	1	1
263	в ходе	3	1
264	от первой	1	1
265	так же	1	1
266	из мира	1	1
267	представить себе	1	1
268	всяком случае	2	1
269	от церкви	1	1
270	что именно	1	1
271	в отличие	2	1
272	в данном	11	1
273	в церковь	1	1
274	он живет	1	1
275	и смысла	1	1
276	теми же	1	1
277	что было	1	1
278	там где	1	1
279	друг с	1	1
280	и наоборот	1	1
281	того кто	2	1
282	в предыдущем	1	1
283	может идти	1	1
284	в делах	1	1
285	и вся	1	1
286	своих интересов	1	1
287	есть знак	1	1
288	что происходит	1	1
289	в формах	1	1
290	что эта	1	1
291	она не	2	1
292	но для	3	1
293	для каждого	1	1
294	действие которое	1	1
295	своего существования	1	1
296	с и	1	1
297	случаях когда	1	1
298	того чтобы	4	1
299	она может	2	1
300	не имеет	2	1
301	никогда не	4	1
302	и конца	4	1
303	в результате	2	1
304	казалось бы	2	1
305	о котором	1	1
306	или иным	2	1
307	этих двух	2	1
308	они являются	1	1
309	это сделать	1	1
310	которая неизбежно	1	1
311	не более	1	1
312	и притом	2	1
313	как она	2	1
314	другой стороны	2	1
315	только что	2	1
316	в этих	2	1
317	в смене	2	1
318	в случаях	1	1
319	но возможно	2	1
320	на фоне	1	1
321	над ним	1	1
322	охватывает собою	1	1
323	происходящего в	2	1
324	в момент	1	1
325	этом не	1	1
326	ли не	2	1
327	числе и	1	1
328	частности в	1	1
329	к этой	1	1
330	вместе с	2	1
331	ее по	1	1
332	который не	1	1
333	русской литературы	1	1
334	во всяком	2	1
335	они не	1	1
