N	2gram	Propp_Morf_1	DiskursI
302	к ней	1	1
303	и до	1	1
304	во всем	1	1
305	иногда не	1	1
306	герой это	2	1
307	и несколько	1	1
308	или не	3	1
309	известной степени	1	1
310	выпадает из	2	1
311	не могут	4	1
312	но все	3	1
313	уже было	1	1
314	к тому	4	1
315	не есть	1	1
316	оно не	2	1
317	утверждать что	3	1
318	представляют собой	11	1
319	приходит к	1	1
320	в в	2	1
321	здесь также	1	1
322	в собственном	3	1
323	действия и	1	1
324	с самого	1	1
325	эти две	1	1
326	на свой	1	1
327	слова а	1	1
328	как с	1	1
329	вспомнить о	1	1
330	всего следует	1	1
331	в образе	4	1
332	здесь как	1	1
333	и каждый	1	1
334	и даже	1	1
335	остановимся на	1	1
336	не отвечает	1	1
337	рассматривать их	1	1
338	которого можно	1	1
339	и здесь	5	1
340	и что	2	1
341	но общий	1	1
342	всех подобных	1	1
343	может не	1	1
344	самому себе	1	1
345	грань между	1	1
346	на одном	1	1
347	в форме	6	1
348	целого а	1	1
349	является результатом	2	1
350	не зная	1	1
351	как объект	1	1
352	следует ли	1	1
353	действующих лиц	11	1
354	и две	1	1
355	двух точек	1	1
356	так что	1	1
357	для всех	1	1
358	только на	1	1
359	же из	1	1
360	себя и	2	1
361	другим что	1	1
362	во втором	3	1
363	не дает	1	1
364	большинстве случаев	3	1
365	связывается с	2	1
366	и их	2	1
367	всяком случае	2	1
368	могло бы	1	1
369	вовсе не	4	1
370	в состоянии	1	1
371	для меня	1	1
372	друг друга	3	1
373	и художественный	1	1
374	случае не	3	1
375	вводит в	1	1
376	как такового	1	1
377	тем что	4	1
378	это по	1	1
379	в других	3	1
380	были бы	1	1
381	того что	3	1
382	точек зрения	1	1
383	его при	1	1
384	как нарушение	1	1
385	лица в	1	1
386	еще и	1	1
387	и др	10	1
388	между ними	1	1
389	но есть	3	1
390	в некоторых	3	1
391	быть названо	3	1
392	на этот	1	1
393	книга о	1	1
394	на смерть	1	1
395	там где	5	1
396	наиболее известных	1	1
397	равно как	1	1
398	быть продолжен	1	1
399	как это	3	1
400	в иных	4	1
401	этого момента	3	1
402	в особенности	1	1
403	из которых	3	1
404	по своему	2	1
405	неожиданно и	1	1
406	и там	1	1
407	самого себя	2	1
408	до его	1	1
409	мотив в	1	1
410	также составляют	1	1
411	никем не	1	1
412	в это	1	1
413	даже в	1	1
414	на пути	4	1
415	значимости для	1	1
416	видно что	1	1
417	и развития	1	1
418	этом и	1	1
419	что касается	1	1
420	но для	2	1
421	один из	5	1
422	см ниже	2	1
423	исключает все	1	1
424	рассматривать как	1	1
425	но с	1	1
426	ли в	1	1
427	его не	1	1
428	обращается к	1	1
429	но об	1	1
430	и ни	1	1
431	представляли собой	1	1
432	уже неоднократно	1	1
433	его жизнь	1	1
434	следит за	1	1
435	ни было	2	1
436	же в	2	1
437	быть и	2	1
438	одной из	1	1
439	сказать что	2	1
440	следует вторая	1	1
441	он представляет	1	1
442	можно утверждать	1	1
443	из этого	1	1
444	только о	1	1
445	ее решение	1	1
446	в какой	3	1
447	в голову	1	1
448	также может	2	1
449	также не	1	1
450	ее в	1	1
451	ее может	1	1
452	во всяком	2	1
