N	2gram	Losev_Dial_4	PoTuStor
557	и ни	2	1
558	все события	1	1
559	наконец все	1	1
560	мы должны	4	1
561	только что	2	1
562	на такой	1	1
563	хотя в	1	1
564	входить в	1	1
565	к ее	1	1
566	жизни в	1	1
567	и начинается	1	1
568	нет ничего	6	1
569	но этим	1	1
570	является и	1	1
571	не что	8	1
572	на своем	1	1
573	в своих	1	1
574	этой точки	2	1
575	как на	1	1
