N	2gram	Tiupa_Teor_1	RusskieA
108	и по	2	3
109	одним из	2	2
110	в которой	2	2
111	но она	2	2
112	в форме	2	2
113	или их	1	2
114	из этих	3	2
115	тогда как	15	2
116	говорит о	1	2
117	прежде всего	2	2
118	то время	1	2
119	ее на	1	2
120	и для	2	2
121	и ее	3	2
122	после того	1	2
123	не менее	4	2
124	к числу	1	2
125	есть в	2	2
126	нет никаких	1	2
127	право на	1	2
128	иное как	1	2
129	дело не	2	2
130	в своей	6	2
131	так в	4	2
132	об этом	2	2
133	если он	1	2
134	совсем не	1	2
135	представляет собой	9	2
136	жизни в	2	2
137	все то	1	2
138	между собой	3	2
139	вокруг него	1	2
140	здесь мы	1	2
141	ее к	1	2
142	это имеет	1	2
143	а через	1	2
144	по этому	1	2
145	обе стороны	1	2
146	не с	3	2
147	жизнь и	1	2
148	в момент	2	2
149	не принадлежат	1	2
150	из этого	1	2
151	тем это	1	2
152	в то	6	2
153	если она	1	2
154	за пределами	5	2
155	должно быть	1	2
156	а с	3	2
157	а и	4	2
158	тем не	3	2
159	не столько	1	2
160	ногами и	2	2
161	что иное	1	2
162	в их	2	2
163	и е	1	2
164	в виду	5	2
165	одной стороны	2	2
166	совершенно не	1	2
167	на руках	1	2
168	могут быть	4	2
169	также что	1	2
170	с одной	2	2
171	тем и	1	2
172	что и	2	2
173	как уже	1	2
174	другие в	1	2
175	не что	1	2
176	один из	2	2
177	в своих	1	2
178	должен быть	1	2
179	с другой	7	2
180	на две	3	2
181	в состав	6	2
182	никогда не	4	2
183	которое в	1	2
184	из наиболее	1	2
185	на себя	2	2
186	и то	2	2
187	имеем не	1	2
188	не было	1	2
189	в глаза	2	2
190	можно было	1	2
191	и как	2	2
192	связи с	1	2
193	он показывает	1	2
194	также в	1	2
195	что каждый	2	1
196	состоит не	1	1
197	приводит к	5	1
198	и здесь	2	1
199	говорит и	2	1
200	как правило	4	1
201	за него	1	1
202	и такие	1	1
203	когда же	1	1
204	в другом	3	1
205	одновременно и	1	1
206	входит в	1	1
207	в одно	2	1
208	многих других	1	1
209	говорить о	3	1
210	можно сказать	3	1
211	это на	1	1
212	место в	5	1
213	говорилось выше	1	1
214	в литературе	2	1
215	несут в	1	1
216	что они	1	1
217	могла бы	2	1
218	собою как	1	1
219	не будет	2	1
220	не была	1	1
221	случае не	2	1
222	не сами	1	1
223	нет в	1	1
224	на которые	1	1
225	здесь и	1	1
226	о своем	2	1
227	можно говорить	1	1
228	по пути	3	1
229	здесь не	1	1
230	из всего	1	1
231	так и	10	1
232	только одно	1	1
233	смысла и	1	1
234	обычно в	1	1
235	рядом с	1	1
236	ту сторону	1	1
237	прослеживается в	1	1
238	чиновника или	1	1
239	на то	1	1
240	можно в	1	1
241	в большинстве	2	1
242	нее как	1	1
243	как раз	2	1
244	в какой	2	1
245	стоит в	1	1
246	в нем	4	1
247	имея в	1	1
248	и иные	1	1
249	независимо от	1	1
250	не имело	1	1
251	не более	1	1
252	в конце	2	1
253	но с	1	1
254	человека с	2	1
255	если в	2	1
256	лавку в	1	1
257	а между	1	1
258	себя внимание	1	1
259	те и	1	1
260	значение в	1	1
261	того или	3	1
262	тем как	1	1
263	в одном	2	1
264	имен и	1	1
265	и становится	1	1
266	есть рассказ	1	1
267	на которую	1	1
268	над этим	1	1
269	не представляет	1	1
270	по своей	3	1
271	предметом теоретического	1	1
272	оно не	1	1
273	с той	1	1
274	первый взгляд	1	1
275	превращается в	2	1
276	собой так	1	1
277	отношение к	5	1
278	например в	1	1
279	в теорию	1	1
280	для него	2	1
281	еще на	1	1
282	иметь в	1	1
283	во всей	1	1
284	и притом	2	1
285	что он	1	1
286	необходимо для	1	1
287	как знак	1	1
288	себе этот	1	1
289	и даже	2	1
290	хотя и	3	1
291	не составляет	1	1
292	их не	1	1
293	и мир	1	1
294	две стороны	1	1
295	к такой	2	1
296	не во	1	1
297	рассказ о	2	1
298	с нею	1	1
299	либо его	1	1
300	которые в	1	1
301	случае мы	1	1
302	виду что	1	1
303	чаще всего	1	1
304	на которой	1	1
305	мог бы	3	1
306	смерти но	1	1
307	и не	13	1
308	и его	8	1
309	что его	1	1
310	в статье	1	1
311	это по	1	1
312	не входит	1	1
313	тот же	1	1
314	следует признать	1	1
315	дело в	2	1
316	в противном	1	1
317	остается в	1	1
318	и другими	1	1
319	времени его	1	1
320	но на	1	1
321	смех это	1	1
322	и поэтому	1	1
323	быть назван	1	1
324	в одной	1	1
325	сказать что	3	1
326	имеет место	2	1
327	не всякий	1	1
328	и потому	2	1
329	на основе	2	1
330	в другой	1	1
331	к ним	1	1
332	в пространстве	2	1
333	или менее	2	1
334	в основе	3	1
335	что все	1	1
336	ту же	1	1
337	если бы	3	1
338	собой и	1	1
339	по своему	2	1
340	более или	2	1
341	с ними	1	1
342	из других	1	1
343	в особенности	1	1
344	и другим	1	1
345	и др	1	1
346	другой стороны	5	1
347	этого слова	3	1
348	как более	1	1
349	они могут	1	1
350	в его	6	1
351	он в	1	1
352	в двух	1	1
353	в самом	4	1
354	таким же	1	1
355	смысла слова	1	1
356	жизнь но	1	1
357	человеческого существа	1	1
358	в иных	1	1
359	в полной	1	1
360	совпадает с	3	1
361	только в	6	1
362	с одним	1	1
363	с собой	1	1
364	в область	1	1
365	и дает	1	1
366	этом не	1	1
367	как у	1	1
368	однако все	2	1
369	в одиночку	1	1
370	в это	1	1
371	из того	1	1
372	быть и	2	1
373	это еще	1	1
374	тем более	1	1
375	и является	2	1
376	от первого	1	1
377	начальные и	2	1
378	однако в	7	1
379	и вокруг	1	1
380	или точнее	1	1
381	не на	2	1
382	своему происхождению	1	1
383	в мировом	1	1
384	и состоит	1	1
385	тот кто	2	1
386	руках и	1	1
387	в такой	1	1
388	из которого	3	1
389	с которой	1	1
390	ее не	1	1
391	она состоит	1	1
392	но у	1	1
393	он тем	2	1
394	все что	1	1
395	дома и	2	1
396	и до	1	1
397	свою очередь	2	1
398	который в	2	1
399	он должен	2	1
400	своего рода	7	1
401	чем и	1	1
402	жизни по	1	1
403	но эта	1	1
404	а после	1	1
405	и особенно	2	1
406	означает что	1	1
407	не следует	4	1
408	не является	4	1
409	и это	2	1
410	на свою	1	1
411	как будто	2	1
412	не могла	1	1
413	только на	1	1
414	или смерть	1	1
415	перед нами	2	1
416	в пределах	5	1
417	отдельно от	1	1
418	вытекает из	1	1
419	сводится к	5	1
420	сливается с	1	1
421	из своих	1	1
422	в коем	2	1
423	человека и	1	1
424	отнюдь не	3	1
425	полагая что	1	1
426	собой как	1	1
427	и более	1	1
428	ее как	1	1
429	в русской	6	1
430	в своем	4	1
431	в свою	3	1
