N	2gram	Ircho_Kome_2	KFilosof
388	если это	1	1
389	оказался в	1	1
390	в жизнь	2	1
391	в литературе	1	1
392	один из	5	1
393	содержится в	1	1
394	всю историю	1	1
395	мы видим	1	1
396	дела о	1	1
397	одной из	4	1
398	в какой	2	1
399	человека все	1	1
400	в противопоставлении	1	1
401	только при	1	1
402	внимание в	1	1
403	далеко от	1	1
404	с волей	1	1
405	в большинстве	1	1
406	только на	1	1
407	события если	1	1
408	основе его	1	1
409	а то	1	1
410	большинстве случаев	1	1
411	конечном счете	1	1
412	одно из	2	1
413	никто не	3	1
414	наше время	1	1
415	говорить об	1	1
416	не для	2	1
417	так как	4	1
418	может служить	1	1
419	друг друга	3	1
420	только возможные	1	1
421	мы можем	3	1
422	к человеку	1	1
423	само по	1	1
424	но уже	1	1
425	как раз	1	1
426	к той	1	1
427	которые как	1	1
428	чувствует себя	1	1
429	во власти	1	1
430	власть народа	1	1
431	и из	1	1
432	на ее	1	1
433	здесь в	3	1
434	на чем	1	1
435	во второй	1	1
436	по всей	1	1
437	но о	1	1
438	и затем	1	1
439	нового времени	2	1
440	противоречие между	1	1
441	она является	1	1
442	с которым	2	1
443	это дело	1	1
444	действия в	1	1
445	связь с	1	1
446	нет ничего	1	1
447	него в	1	1
448	вместе с	9	1
449	к его	2	1
450	в духе	2	1
451	что именно	2	1
452	из которых	3	1
453	над ним	1	1
454	в реальном	1	1
455	и помнить	1	1
456	только для	1	1
457	о его	4	1
458	как таковой	1	1
459	не раз	1	1
460	нечто подобное	1	1
461	ее содержания	1	1
462	при таком	1	1
463	или в	3	1
464	когда он	1	1
465	в эту	1	1
466	не более	2	1
467	плача и	1	1
468	же в	4	1
469	за этим	1	1
470	признания в	1	1
471	между ними	1	1
472	была бы	1	1
473	равно как	1	1
474	того же	3	1
475	занимают в	1	1
476	в последнем	1	1
477	по которой	1	1
478	первом случае	1	1
479	бы его	1	1
480	в искусстве	1	1
481	по поводу	3	1
482	исправить дело	1	1
483	гораздо более	1	1
484	во всяком	2	1
485	все что	1	1
