N	2gram	Propp_Russ_2	Literetu
353	теперь уже	1	1
354	в ряд	2	1
355	чем и	1	1
356	имеет то	1	1
357	в середине	1	1
358	также в	2	1
359	по своим	1	1
360	если эта	1	1
361	проблемы о	1	1
362	и мир	1	1
363	самих себя	1	1
364	в литературе	1	1
365	к нему	4	1
366	но так	1	1
367	в двух	1	1
368	день ивана	1	1
369	будто бы	5	1
370	к их	1	1
371	и действительно	1	1
372	в мировом	1	1
373	в эти	1	1
374	так что	4	1
375	где-то в	1	1
376	есть в	2	1
377	ее а	1	1
378	то и	4	1
379	в последний	3	1
380	или даже	3	1
381	и других	3	1
382	руки и	3	1
383	в котором	3	1
384	представлений о	2	1
385	так как	13	1
386	ее не	1	1
387	друг друга	3	1
388	случае не	1	1
389	связано с	2	1
390	на долю	1	1
391	превращается в	1	1
392	где есть	3	1
393	до самого	1	1
394	только на	1	1
395	нужно было	1	1
396	ней и	1	1
397	даже не	1	1
398	влияние на	2	1
399	сюда же	2	1
400	что они	1	1
401	в ряде	1	1
402	совпадает с	1	1
403	а с	2	1
404	за руки	7	1
405	на поверхности	1	1
406	что для	3	1
407	смысла и	1	1
408	не было	2	1
409	с тем	6	1
410	из наиболее	2	1
411	не на	1	1
412	и преимущественно	1	1
413	в свете	3	1
414	в руках	2	1
415	и пели	2	1
416	этой же	1	1
417	некоторые из	1	1
418	быть смешной	1	1
419	книге о	1	1
420	в москве	1	1
421	человек но	1	1
422	именно тогда	1	1
423	как средство	2	1
424	и там	3	1
425	моя не	1	1
426	в путь	1	1
427	факты как	1	1
428	что здесь	3	1
429	человека который	2	1
430	с последним	1	1
431	все это	10	1
432	этом и	2	1
433	тех сил	1	1
434	и где	1	1
435	становится ясным	1	1
436	год и	1	1
437	под названием	2	1
438	и более	1	1
439	для нас	6	1
440	или менее	1	1
441	и все	4	1
442	у них	2	1
443	в этих	3	1
444	его уже	1	1
445	например по	1	1
446	все остальные	1	1
447	к ее	1	1
448	в период	1	1
449	какой степени	1	1
450	две стороны	1	1
451	сказать что	1	1
452	всех других	1	1
453	сила эта	1	1
454	не что	2	1
455	из этого	2	1
456	и жизнь	1	1
457	есть и	1	1
458	из своей	1	1
459	с дерева	1	1
460	и состоит	1	1
461	в таком	4	1
462	к этой	1	1
463	упоминаний о	1	1
464	что за	1	1
465	можно будет	2	1
466	силы на	2	1
