N	2gram	Propp_Morf_1	VrazhdaK
144	как по	1	1
145	первый взгляд	3	1
146	же с	1	1
147	независимо от	3	1
148	как в	3	1
149	с этим	11	1
150	только об	1	1
151	дает нам	1	1
152	для всех	1	1
153	что ее	1	1
154	третий раз	1	1
155	появилась книга	1	1
156	и наконец	1	1
157	то в	3	1
158	с просьбой	3	1
159	же быть	2	1
160	что это	1	1
161	мы получаем	2	1
162	в целом	3	1
163	за это	1	1
164	что же	2	1
165	рассказ о	1	1
166	пользу и	1	1
167	встреча с	1	1
168	во многих	1	1
169	но ведь	1	1
170	этот вывод	1	1
171	одному из	3	1
172	место принимая	1	1
173	высшей степени	1	1
174	в первой	1	1
175	прочим и	1	1
176	в силу	1	1
177	свои собственные	1	1
178	ее своей	1	1
179	и этот	1	1
180	однако в	2	1
181	одно и	1	1
182	не будет	1	1
183	конечно в	1	1
184	говорить не	1	1
185	это было	3	1
186	домой в	1	1
187	следить за	1	1
188	было бы	3	1
189	дурак так	1	1
190	в итоге	2	1
191	из первых	2	1
192	в высшей	1	1
193	для описания	1	1
194	этого не	2	1
195	не всегда	9	1
196	во внимание	1	1
197	другие персонажи	1	1
198	с предложением	2	1
199	может идти	1	1
200	такой же	1	1
201	этот материал	1	1
202	со мной	1	1
203	которую он	1	1
204	в этих	13	1
205	или вообще	1	1
206	и их	2	1
207	что о	1	1
208	всяком случае	2	1
209	этому же	1	1
210	и уж	1	1
211	не будем	4	1
212	ряда других	1	1
213	тем не	5	1
214	что этот	1	1
215	вплоть до	1	1
216	но они	1	1
217	что эта	2	1
218	другой не	2	1
219	это дает	1	1
220	не имеет	2	1
221	нет необходимости	6	1
222	ничего не	4	1
223	того как	2	1
224	иными словами	1	1
225	б в	2	1
226	в другую	2	1
227	в окно	1	1
228	текста к	1	1
229	потому что	3	1
230	этом отношении	1	1
231	в каком	2	1
232	в бою	2	1
233	этот закон	1	1
234	такие же	1	1
235	один раз	1	1
236	могут быть	16	1
237	по характеру	1	1
238	этого и	1	1
239	не есть	1	1
240	ничего общего	1	1
241	не совсем	1	1
242	с ее	1	1
243	это будет	1	1
244	на той	2	1
245	но мы	3	1
246	то время	3	1
247	так и	6	1
248	не с	2	1
249	ясно что	5	1
250	еще в	1	1
251	вошел в	1	1
252	том как	1	1
253	просьбой о	2	1
254	с героем	1	1
255	можно бы	2	1
256	во всяком	2	1
257	или а	1	1
258	родной дочери	1	1
259	до сих	1	1
260	но об	1	1
261	как эта	1	1
262	к нему	3	1
263	доходит до	1	1
264	во всех	4	1
265	во всей	1	1
266	в форме	6	1
267	в другой	1	1
268	возникает вопрос	2	1
269	вслед за	5	1
270	встречается лишь	1	1
271	если это	3	1
272	в третий	1	1
273	тех пор	1	1
274	имеется в	3	1
275	один из	5	1
276	но с	1	1
277	сразу же	2	1
278	за исключением	1	1
279	которым он	1	1
280	который их	1	1
281	ли он	1	1
282	в предисловии	1	1
283	во всем	1	1
284	в качестве	5	1
285	же он	1	1
286	себя в	1	1
287	а одна	1	1
288	на свое	1	1
289	с различными	1	1
290	никто не	3	1
291	узнает в	1	1
292	мы находим	1	1
293	в одном	1	1
294	ее не	1	1
295	друг друга	3	1
296	и никогда	1	1
297	как при	1	1
298	от того	3	1
299	лишь один	1	1
300	из основателей	1	1
301	в особенности	1	1
302	из двух	2	1
303	с другой	8	1
304	труд и	1	1
305	такое же	1	1
306	прежде всего	9	1
307	что им	1	1
308	на этот	1	1
309	в рассказе	1	1
310	одну из	1	1
311	в подобных	1	1
312	с помощью	1	1
313	в частности	2	1
314	материал и	1	1
315	д в	2	1
316	или по	2	1
317	этот мотив	1	1
318	из которых	3	1
319	предположить что	1	1
320	что за	1	1
321	не дают	1	1
322	с тех	1	1
323	того что	3	1
324	указанием на	1	1
325	в свое	2	1
326	еще раз	1	1
327	с любовью	1	1
328	сих пор	1	1
329	между прочим	1	1
330	у вас	1	1
331	но для	2	1
332	но на	1	1
333	это можно	1	1
334	о котором	1	1
335	хотя и	3	1
336	у которого	1	1
337	только что	2	1
338	уже давно	1	1
339	в обоих	2	1
340	но вот	2	1
341	быть и	2	1
342	другой стороны	4	1
343	из этого	1	1
344	только о	1	1
345	героя в	4	1
346	к этой	1	1
347	он лишь	1	1
348	как на	1	1
349	в таком	1	1
350	точно так	1	1
351	они не	1	1
