N	2gram	Tiupa_Narr_1	SlovoVZh
229	высказывания в	2	1
230	он как	1	1
231	событием и	1	1
232	не вполне	2	1
233	на себя	4	1
234	сводится к	3	1
235	и он	6	1
236	нашем случае	1	1
237	слово не	1	1
238	им она	1	1
239	определенным образом	1	1
240	за пределами	2	1
241	но при	3	1
242	что каждый	1	1
243	из особенностей	1	1
244	нему в	1	1
245	столь же	5	1
246	со словами	2	1
247	в значительной	1	1
248	художественного смысла	1	1
249	во всех	1	1
250	в конечном	3	1
251	то в	4	1
252	от его	1	1
253	это бывает	1	1
254	русской литературе	1	1
255	конечном счете	1	1
256	автор как	1	1
257	крайней мере	1	1
258	именно в	3	1
259	и уж	1	1
260	если она	2	1
261	в особом	1	1
262	опирается на	1	1
263	что именно	1	1
264	так называемая	2	1
265	в современной	3	1
266	сомневается в	1	1
267	поле зрения	1	1
268	перед нами	5	1
269	в новой	1	1
270	хотя и	4	1
271	в двух	1	1
272	тот же	1	1
273	мы увидим	1	1
274	ли он	1	1
275	более или	1	1
276	следующим образом	1	1
277	зрения как	2	1
278	именно эта	2	1
279	по мнению	1	1
280	ситуации в	2	1
281	тому как	3	1
282	во времени	9	1
283	что это	1	1
284	в целом	3	1
285	позиции автора	1	1
286	не то	1	1
287	где они	2	1
288	себя в	2	1
289	он думает	1	1
290	сливаются в	2	1
291	не можем	1	1
292	так можно	1	1
293	во многих	1	1
294	не обходится	1	1
295	героя с	1	1
296	значение и	1	1
297	именно этим	1	1
298	что она	1	1
299	не из	1	1
300	обращение к	1	1
301	или даже	1	1
302	или просто	2	1
303	и точек	1	1
304	его и	2	1
305	зрительный образ	2	1
306	всяком случае	2	1
307	не как	1	1
308	художественного высказывания	2	1
309	в одном	4	1
310	и вот	2	1
311	в пространстве	3	1
312	отделилась от	1	1
313	может претендовать	1	1
314	у нее	4	1
315	друг друга	2	1
316	бытия и	1	1
317	у него	7	1
318	какой бы	1	1
319	этими словами	1	1
320	подобно тому	3	1
321	значительной степени	1	1
322	и только	2	1
323	ее пределы	1	1
324	в другом	1	1
325	мы воспринимаем	1	1
326	и т.п	8	1
327	или наконец	1	1
328	входит в	2	1
329	на протяжении	7	1
330	деле в	1	1
331	говорить и	1	1
332	и иных	2	1
333	и мы	1	1
334	и создает	1	1
335	себя однако	1	1
336	в воспринимающем	3	1
337	и тем	4	1
338	один и	2	1
339	смысл высказывания	1	1
340	отражение в	1	1
341	что для	1	1
342	говорит о	1	1
343	для них	2	1
344	но уже	1	1
345	не было	3	1
346	а с	1	1
347	не знает	1	1
348	все равно	2	1
349	далеко не	1	1
350	не на	1	1
351	в ее	1	1
352	в слове	3	1
353	не всегда	3	1
354	которой он	1	1
355	одна и	1	1
356	они являются	1	1
357	о чем	4	1
358	так называемый	1	1
359	и было	1	1
360	и тогда	2	1
361	и того	2	1
362	мы видели	1	1
363	или менее	1	1
364	это на	1	1
365	в частности	14	1
366	думает и	1	1
367	всего тем	1	1
368	то есть	9	1
369	она в	2	1
370	к одному	1	1
371	ситуации как	1	1
372	что я	1	1
373	наряду с	1	1
374	однако он	1	1
375	нельзя было	1	1
376	тем кто	1	1
377	и тот	1	1
378	сами по	2	1
379	по крайней	1	1
380	слов в	2	1
381	того кто	2	1
382	мы еще	1	1
383	на ранних	1	1
384	может идти	1	1
385	не сливаются	1	1
386	для нее	1	1
387	бы но	1	1
388	материал для	1	1
389	случае мы	1	1
390	ни единого	1	1
391	и вся	1	1
392	на другое	1	1
393	по мере	2	1
394	в обоих	2	1
395	в русской	3	1
396	произведения эта	1	1
397	содержание в	1	1
398	своего героя	1	1
399	не является	3	1
400	каким бы	1	1
401	при таком	1	1
402	того чтобы	4	1
403	не существует	3	1
404	для всего	1	1
405	всей его	1	1
406	имеет дело	1	1
407	в результате	2	1
408	человек и	1	1
409	в качестве	14	1
410	или иным	2	1
411	имеем дело	2	1
412	слова как	1	1
413	же время	4	1
414	еще более	1	1
415	тем более	1	1
416	что ситуация	1	1
417	по своей	1	1
418	связи с	2	1
419	участие в	1	1
420	в искусстве	1	1
421	в свою	2	1
422	это уже	3	1
423	как будто	3	1
424	этом отношении	3	1
425	и делает	1	1
426	жизни в	2	1
427	себе с	1	1
428	в области	2	1
429	ситуации и	2	1
430	образом не	1	1
431	приближается к	1	1
432	у нас	3	1
433	тем это	1	1
434	самой своей	1	1
435	его внутренней	1	1
436	только внешней	1	1
437	и героев	1	1
438	героя в	3	1
439	частности в	1	1
440	того о	1	1
441	слова с	1	1
442	в таком	2	1
443	во всяком	2	1
444	они не	1	1
445	к тому	6	1
