N	2gram	Vinokur_Vv_1	Stilisti
225	нуждаются в	1	2
226	всех его	1	2
227	вопрос о	8	2
228	ответить на	1	2
229	нам в	1	2
230	как обычно	1	2
231	как не	1	2
232	быть понято	1	2
233	не нужно	2	2
234	между собой	1	2
235	иное как	5	2
236	природы и	1	2
237	и всего	1	2
238	но не	7	2
239	только потому	1	2
240	значение и	2	2
241	только тогда	1	2
242	должны были	1	2
243	очевидно что	1	2
244	отношение к	3	2
245	себе и	2	2
246	форме и	1	2
247	как в	1	2
248	помнить что	1	2
249	от нашего	1	2
250	как уже	2	2
251	бы и	2	2
252	представляет собой	12	2
253	все эти	3	2
254	и те	2	2
255	тому же	1	2
256	этот процесс	3	2
257	уяснить себе	1	2
258	в реальной	1	2
259	и сам	2	2
260	по своему	5	2
261	одной и	2	2
262	значительной степени	1	2
263	ясно что	9	2
264	есть не	3	2
265	с этим	2	2
266	в жизни	1	2
267	говорить в	1	2
268	или группы	2	2
269	не всегда	1	2
270	в этих	3	2
271	и при	2	2
272	в своей	4	2
273	в отношении	2	2
274	в которых	6	2
275	для всякого	1	2
276	однако в	3	2
277	не должно	1	2
278	существует и	1	2
279	ее с	1	2
280	о них	2	2
281	что иное	4	2
282	каждый из	2	2
283	был и	1	2
284	себе это	1	2
285	этом отношении	3	2
286	точном смысле	1	2
287	или иных	3	2
288	в каком	1	2
289	все то	1	2
290	не есть	4	2
291	из всего	1	2
292	здесь не	2	2
293	человеческой истории	1	2
294	в дальнейшем	2	2
295	из двух	2	2
296	времени и	4	2
297	не с	2	2
298	и вообще	3	2
299	с ним	1	2
300	в значительной	2	2
301	к нему	2	2
302	находит свое	1	2
303	в языке	1	2
304	иными словами	1	2
305	не должен	1	2
306	на отдельные	1	2
307	как например	5	2
308	культурного развития	3	2
309	в том	31	2
310	тот же	1	2
311	одной из	3	2
312	что он	4	2
313	в какой	4	2
314	как нечто	8	2
315	жизни своей	1	2
316	слова не	1	2
317	или даже	1	2
318	для него	1	2
319	литературное произведение	2	2
320	для них	1	2
321	заметить что	1	2
322	тем что	6	2
323	даже и	3	2
324	тот смысл	1	2
325	нужно было	1	2
326	к которому	1	2
327	еще и	3	2
328	связано с	1	2
329	не было	1	2
330	зависит от	3	2
331	до конца	3	2
332	деятельности человека	1	2
333	должна была	2	2
334	в связи	2	2
335	сделать его	1	2
336	как одно	1	2
337	из которых	2	2
338	смысле этого	8	2
339	в первой	1	2
340	должно быть	2	2
341	материал для	3	2
342	сих пор	5	2
343	но это	1	2
344	в так	1	2
345	это выражение	1	2
346	только одна	1	2
347	в точном	1	2
348	или в	1	2
349	а к	1	2
350	слишком мало	1	2
351	у них	1	2
352	ни к	2	2
353	несмотря на	2	2
354	этот вопрос	4	2
355	с ней	2	2
356	не говоря	2	2
357	в частности	3	2
358	к этому	3	2
359	в своих	2	2
360	гораздо более	3	2
361	смысле слова	7	1
362	можно говорить	1	1
363	также что	1	1
364	одним из	5	1
365	же как	3	1
366	чтобы не	1	1
367	не остается	1	1
368	историю не	1	1
369	он почувствовал	1	1
370	который можно	1	1
371	не иначе	2	1
372	культура не	1	1
373	и до	2	1
374	ведь и	1	1
375	от которых	2	1
376	собственном смысле	2	1
377	в их	11	1
378	нечто что	2	1
379	совсем иным	1	1
380	например в	2	1
381	всего того	2	1
382	и последующих	1	1
383	бы например	1	1
384	язык как	3	1
385	которой как	1	1
386	речи правда	1	1
387	послужит нам	1	1
388	в сущности	3	1
389	говорить о	3	1
390	всего сказанного	1	1
391	жизни как	2	1
392	общественной мысли	1	1
393	с исторической	1	1
394	так а	1	1
395	в числе	1	1
396	себе что	3	1
397	того же	3	1
398	не одно	1	1
399	в каждой	2	1
400	дана нам	2	1
401	ответа на	2	1
402	быть в	4	1
403	качестве примера	1	1
404	в чем	4	1
405	истории а	1	1
406	но как	2	1
407	и другие	1	1
408	не то	1	1
409	в сторону	1	1
410	в общем	12	1
411	в новом	1	1
412	и будет	1	1
413	теперь не	1	1
414	которые существуют	1	1
415	связи и	1	1
416	всю эту	1	1
417	в собственном	2	1
418	в истории	9	1
419	быта и	3	1
420	в подобных	1	1
421	в одной	1	1
422	дает нам	1	1
423	в своем	3	1
424	однако не	4	1
425	кроме того	1	1
426	и есть	3	1
427	изобразить на	1	1
428	понять и	1	1
429	и понимания	1	1
430	и художественного	1	1
431	даже просто	1	1
432	себе не	1	1
433	увидим что	1	1
434	все возможные	1	1
435	ясно и	1	1
436	от этого	5	1
437	то в	1	1
438	за собой	3	1
439	зависит как	1	1
440	с той	1	1
441	сливается с	3	1
442	чем больше	2	1
443	из этих	5	1
444	осуществляется в	1	1
445	что так	1	1
446	от действительности	2	1
447	всего к	2	1
448	с их	5	1
449	остановиться на	1	1
450	красками и	1	1
451	бы только	1	1
452	только один	1	1
453	оттенков и	1	1
454	имеем в	1	1
455	не могла	1	1
456	человеческий язык	1	1
457	есть такие	1	1
458	вообще не	3	1
459	с течением	6	1
460	с ростом	1	1
461	тем не	8	1
462	время и	1	1
463	что представляет	3	1
464	о которой	2	1
465	соприкасается с	1	1
466	у древних	1	1
467	эту задачу	1	1
468	как часто	1	1
469	он должен	1	1
470	истории на	1	1
471	с различной	1	1
472	не как	3	1
473	в силу	3	1
474	действительности к	2	1
475	широком смысле	8	1
476	нашего времени	2	1
477	но вместе	2	1
478	приходим к	3	1
479	что может	3	1
480	смысле как	3	1
481	на этом	3	1
482	лишь с	1	1
483	так например	6	1
484	на то	1	1
485	форме не	1	1
486	в основу	2	1
487	исторических народов	1	1
488	факт что	1	1
489	его исследования	1	1
490	целое как	1	1
491	в другом	3	1
492	в каком-нибудь	1	1
493	самом широком	1	1
494	на протяжении	2	1
495	искусства в	1	1
496	уже знаем	1	1
497	то все	1	1
498	не совпадает	1	1
499	истории и	4	1
500	должен был	4	1
501	между отдельными	1	1
502	обычно и	2	1
503	том насколько	1	1
504	за ним	1	1
505	но уже	2	1
506	человека на	1	1
507	с этой	4	1
508	как видно	1	1
509	во внимание	2	1
510	с полной	1	1
511	перестает быть	1	1
512	уже у	1	1
513	каждым новым	1	1
514	наконец с	1	1
515	и тогда	3	1
516	и того	2	1
517	ли быть	1	1
518	филолог и	1	1
519	одного и	2	1
520	форме или	1	1
521	в г	5	1
522	бы на	1	1
523	просто и	1	1
524	взгляд на	1	1
525	в следующем	1	1
526	наших дней	1	1
527	это только	4	1
528	установка на	1	1
529	по сравнению	3	1
530	то для	1	1
531	чем говорится	3	1
532	одна сторона	1	1
533	большей степени	2	1
534	мысли и	2	1
535	о языке	3	1
536	свое существование	2	1
537	мы теперь	1	1
538	нельзя было	1	1
539	в прямом	2	1
540	явления действительности	1	1
541	превратиться в	1	1
542	по крайней	4	1
543	даже к	1	1
544	том же	2	1
545	что этот	1	1
546	и условий	1	1
547	развитие языка	1	1
548	по себе	9	1
549	в одно	1	1
550	произведения и	2	1
551	нет никакого	1	1
552	если и	1	1
553	теми или	1	1
554	не менее	8	1
555	других отношений	1	1
556	в таких	1	1
557	с теми	2	1
558	это дает	1	1
559	тогда когда	3	1
560	того как	3	1
561	одна из	2	1
562	так чтобы	3	1
563	и искусство	1	1
564	следовательно и	1	1
565	и всегда	1	1
566	в общих	1	1
567	в самой	1	1
568	находятся в	2	1
569	обществе в	1	1
570	убедиться в	1	1
571	чем ближе	1	1
572	входят в	1	1
573	течением времени	6	1
574	представлять себе	1	1
575	языка в	4	1
576	к таким	1	1
577	если его	1	1
578	опыт с	1	1
579	не могут	5	1
580	истории не	2	1
581	определить что	1	1
582	уже непосредственно	1	1
583	языке и	1	1
584	существует между	2	1
585	и другой	1	1
586	похож на	1	1
587	это конечно	1	1
588	должны быть	1	1
589	содержанием и	1	1
590	посредством которых	2	1
591	понять что	1	1
592	что при	1	1
593	утверждать что	1	1
594	в работах	2	1
595	если же	2	1
596	речь не	1	1
597	должен быть	4	1
598	большей части	2	1
599	на нечто	1	1
600	и материальная	1	1
601	приходит к	1	1
602	и о	1	1
603	а затем	1	1
604	говоря уже	2	1
605	создает и	1	1
606	без всякого	1	1
607	это еще	2	1
608	исторической жизни	1	1
609	та область	1	1
610	культуры и	1	1
611	в ушах	1	1
612	котором мы	1	1
613	но зато	2	1
614	такое язык	2	1
615	их форме	1	1
616	вещи и	1	1
617	не трудно	7	1
618	которыми мы	1	1
619	усвоить себе	1	1
620	здесь нет	4	1
621	в себя	1	1
622	к самой	2	1
623	еще в	1	1
624	понятно что	3	1
625	для этого	3	1
626	нечто цельное	3	1
627	по мере	4	1
628	к языку	1	1
629	в определенной	1	1
630	образом в	1	1
631	слова а	1	1
632	это понимание	2	1
633	остается ничего	1	1
634	во-вторых не	1	1
635	другом месте	2	1
636	на вопрос	6	1
637	и та	1	1
638	никак не	1	1
639	и что	4	1
640	как ее	1	1
641	к действительности	2	1
642	мог бы	2	1
643	что его	1	1
644	в конечном	1	1
645	котором они	1	1
646	смысле не	1	1
647	между тем	8	1
648	при исследовании	1	1
649	наук в	2	1
650	или иными	1	1
651	но нет	1	1
652	внешним образом	1	1
653	крайней мере	4	1
654	непосредственно в	1	1
655	них в	1	1
656	слова по	1	1
657	действительности в	2	1
658	слова для	1	1
659	народов и	2	1
660	вопросов и	1	1
661	быть сказано	1	1
662	места и	1	1
663	в каких	1	1
664	на те	1	1
665	в литературе	1	1
666	обе эти	2	1
667	с ними	1	1
668	дело с	6	1
669	с каждым	1	1
670	к нашему	1	1
671	в интересах	3	1
672	было объяснить	1	1
673	не мешает	1	1
674	самое содержание	1	1
675	которой оно	1	1
676	до наших	1	1
677	история и	3	1
678	с какой	1	1
679	так что	5	1
680	первостепенное значение	1	1
681	есть в	1	1
682	к какому	2	1
683	истории человечества	1	1
684	одном и	1	1
685	своим собственным	1	1
686	чтобы он	2	1
687	языка как	2	1
688	в виде	4	1
689	каким образом	1	1
690	бы стоять	1	1
691	речь в	4	1
692	что вообще	1	1
693	этого процесса	1	1
694	при помощи	2	1
695	по отношению	4	1
696	но от	1	1
697	роль и	1	1
698	совсем другое	1	1
699	теснейшим образом	1	1
700	и художественно	1	1
701	руки и	1	1
702	так возникает	1	1
703	иначе как	1	1
704	вовсе не	6	1
705	гораздо большей	1	1
706	можно с	1	1
707	ее не	1	1
708	у него	1	1
709	и никогда	1	1
710	мало для	1	1
711	превращается в	1	1
712	речь он	1	1
713	в особенности	4	1
714	что могло	3	1
715	со стороны	12	1
716	слово которое	1	1
717	до сих	5	1
718	с другой	8	1
719	ростом и	1	1
720	разные и	1	1
721	здесь в	1	1
722	все равно	1	1
723	мысль которая	1	1
724	последовательные стадии	1	1
725	чтобы этот	1	1
726	чтобы убедиться	1	1
727	на этот	4	1
728	в разной	2	1
729	понимать как	1	1
730	и своим	1	1
731	именно так	1	1
732	языка не	1	1
733	и историк	1	1
734	о чем	4	1
735	на эту	1	1
736	человеческой культуры	2	1
737	и том	1	1
738	ближе к	2	1
739	и теми	2	1
740	бы ее	2	1
741	ближе всего	1	1
742	историю и	2	1
743	автора с	1	1
744	оно осуществляется	1	1
745	тот факт	1	1
746	между языком	2	1
747	на каком-нибудь	2	1
748	сравнению с	3	1
749	в течение	5	1
750	тому как	1	1
751	понятия о	1	1
752	т.д в	1	1
753	изучения а	1	1
754	изучения других	1	1
755	как к	1	1
756	с изучением	2	1
757	своего содержания	1	1
758	только то	1	1
759	еще раз	1	1
760	здесь таким	1	1
761	только совокупность	1	1
762	в гораздо	1	1
763	действительность в	3	1
764	именно в	8	1
765	естественно не	1	1
766	как раз	4	1
767	из чего	1	1
768	которые были	2	1
769	в более	2	1
770	ее можно	1	1
771	это уже	1	1
772	и часто	1	1
773	что собственно	3	1
774	исключительных случаях	1	1
775	само по	3	1
776	в результате	3	1
777	о котором	8	1
778	другое дело	3	1
779	это как	1	1
780	что в	11	1
781	к одной	1	1
782	сказано с	1	1
783	писателя не	1	1
784	еще более	1	1
785	тем более	2	1
786	чтобы его	1	1
787	и разнообразных	1	1
788	ее становления	1	1
789	на языке	2	1
790	будто бы	2	1
791	чтобы эти	1	1
792	них были	1	1
793	служат предметом	1	1
794	с другими	1	1
795	по самой	2	1
796	ее в	1	1
797	или не	1	1
798	есть продукт	1	1
799	к мысли	1	1
800	к лицу	1	1
801	себя всю	1	1
802	нами не	2	1
803	нам не	1	1
804	может и	1	1
805	слово в	1	1
806	но если	3	1
807	только как	6	1
808	другой стороны	5	1
809	состоит из	1	1
810	своего предмета	1	1
811	совершенно не	1	1
812	самой своей	2	1
813	отношению к	4	1
814	это и	1	1
815	только о	2	1
816	в действительности	1	1
817	наряду с	2	1
818	просто не	1	1
819	словом если	1	1
820	но еще	1	1
821	человека к	1	1
822	все что	1	1
