N	2gram	Losev_Dial_2	Psycholo
118	в своей	8	4
119	как все	1	4
120	знаем что	1	4
121	с точки	8	4
122	одна из	1	4
123	ее с	1	4
124	на него	2	4
125	а в	4	4
126	с другом	1	4
127	как мы	3	4
128	и о	1	4
129	что у	2	4
130	жизнь и	5	4
131	даны в	3	4
132	об этом	3	4
133	в порядке	1	4
134	не просто	12	4
135	того что	6	4
136	только в	5	4
137	себя в	2	4
138	в жизни	2	4
139	при помощи	1	4
140	но совершенно	1	4
141	из них	3	4
142	что не	6	4
143	смысла и	2	4
144	в частности	2	4
145	друг с	1	4
146	с этой	1	4
147	совершенно не	7	4
148	жизни и	6	4
149	ее в	2	4
150	это в	1	4
151	в таком	4	4
152	речь идет	1	3
153	например в	2	3
154	же как	3	3
155	идет о	1	3
156	и до	1	3
157	что если	3	3
158	говорить о	5	3
159	облачном небе	1	3
160	как я	2	3
161	то это	2	3
162	и он	1	3
163	но не	6	3
164	к которой	1	3
165	от действительности	1	3
166	сама по	7	3
167	конце концов	1	3
168	как в	2	3
169	что именно	1	3
170	от этого	3	3
171	та же	4	3
172	он все	1	3
173	на этом	2	3
174	в основу	1	3
175	его в	3	3
176	уже знаем	3	3
177	ни в	10	3
178	ни одной	1	3
179	далеко не	1	3
180	должно быть	7	3
181	всех этих	3	3
182	но если	1	3
183	и сейчас	1	3
184	мы в	2	3
185	бы мы	1	3
186	т п	2	3
187	их в	2	3
188	тому чтобы	1	3
189	что этот	3	3
190	она не	8	3
191	в то	6	3
192	в основе	1	3
193	в самых	1	3
194	ли это	1	3
195	больше того	1	3
196	нет ни	3	3
197	во все	2	3
198	нас от	1	3
199	с ее	2	3
200	в мире	2	3
201	так и	10	3
202	за то	1	3
203	понятно что	2	3
204	и здесь	1	3
205	это то	1	3
206	которой мы	1	3
207	что и	5	3
208	во всей	1	3
209	том как	2	3
210	с одной	2	3
211	конечно не	6	3
212	на сцене	2	3
213	мы получим	1	3
214	в виде	2	3
215	тому же	1	3
216	всяком случае	2	3
217	в одном	4	3
218	сами по	3	3
219	из нее	1	3
220	тем что	2	3
221	бы это	3	3
222	новый смысл	1	3
223	и из	3	3
224	до сих	2	3
225	но и	12	3
226	здесь в	1	3
227	мы никогда	1	3
228	не было	3	3
229	одной стороны	1	3
230	и опять	1	3
231	из которых	1	3
232	надо сказать	1	3
233	в той	3	3
234	никакой возможности	1	3
235	да и	6	3
236	еще раз	1	3
237	сих пор	2	3
238	что оно	4	3
239	тот же	1	3
240	в своих	2	3
241	точно так	1	3
242	во всяком	2	3
243	также и	2	2
244	сам по	3	2
245	и то	7	2
246	он может	2	2
247	между двумя	1	2
248	мы тогда	1	2
249	что эти	2	2
250	все те	1	2
251	мы имеем	3	2
252	нам в	1	2
253	так чтобы	2	2
254	время как	7	2
255	на тему	1	2
256	и ее	1	2
257	это время	3	2
258	литературы и	1	2
259	не был	1	2
260	бы то	1	2
261	во всех	2	2
262	точка зрения	1	2
263	и всякий	1	2
264	себе и	3	2
265	она есть	9	2
266	они действительно	1	2
267	меньше всего	1	2
268	в одной	4	2
269	чем мы	1	2
270	что касается	1	2
271	однако не	1	2
272	нет решительно	1	2
273	не в	8	2
274	и к	7	2
275	это просто	1	2
276	в каком-то	4	2
277	но в	2	2
278	тому как	1	2
279	бы и	2	2
280	из этих	1	2
281	если он	1	2
282	с чем	1	2
283	при этом	4	2
284	т д	15	2
285	тем и	1	2
286	на все	2	2
287	только одно	2	2
288	в них	1	2
289	всю жизнь	1	2
290	не больше	4	2
291	взгляд на	2	2
292	в котором	1	2
293	в их	2	2
294	что всякий	1	2
295	или вернее	1	2
296	вопрос о	3	2
297	допустим что	1	2
298	и эти	1	2
299	ним в	1	2
300	даже в	3	2
301	же мы	3	2
302	надо было	1	2
303	и ясно	1	2
304	и другое	1	2
305	что ему	1	2
306	не имеет	1	2
307	и остается	2	2
308	не по	2	2
309	взглянуть на	1	2
310	только не	2	2
311	признания и	1	2
312	больше чем	1	2
313	же время	5	2
314	действительно в	2	2
315	во всем	1	2
316	бы по	1	2
317	не потому	6	2
318	нам что	1	2
319	есть только	4	2
320	но все	2	2
321	как только	3	2
322	и другим	1	2
323	о браке	1	2
324	мысли о	1	2
325	и конечно	1	2
326	о них	1	2
327	к такому	1	2
328	без всякого	4	2
329	в ее	4	2
330	нет никакой	4	2
331	уже с	1	2
332	то время	4	2
333	и когда	4	2
334	то как	3	2
335	на нее	1	2
336	те же	1	2
337	времени и	9	2
338	и с	5	2
339	ничего не	3	2
340	можно сказать	5	2
341	образом в	1	2
342	в виду	5	2
343	воли и	1	2
344	все дело	1	2
345	что самая	1	2
346	внимание на	1	2
347	и та	6	2
348	но мы	2	2
349	почему же	1	2
350	пор пока	1	2
351	знает что	1	2
352	тему о	1	2
353	которой все	1	2
354	и она	2	2
355	ли он	1	2
356	связи с	4	2
357	уже в	4	2
358	ни одного	1	2
359	не все	1	2
360	его и	1	2
361	мы знаем	1	2
362	одно из	4	2
363	много раз	3	2
364	не хотел	1	2
365	к самому	1	2
366	даже не	1	2
367	с другой	5	2
368	именно в	2	2
369	в каких	2	2
370	сам себя	1	2
371	так вот	2	2
372	прежде всего	8	2
373	тех пор	3	2
374	ничем не	1	2
375	не на	2	2
376	в руках	1	2
377	была бы	3	2
378	ее на	1	2
379	одна и	4	2
380	нигде в	1	2
381	ни на	2	2
382	и потому	5	2
383	совершенно в	1	2
384	над ним	1	2
385	в тех	2	2
386	по существу	1	2
387	как нельзя	2	2
388	в это	3	2
389	на одной	1	2
390	и от	3	2
391	в результате	2	2
392	его не	2	2
393	нас совершенно	1	2
394	ее и	1	2
395	хотя бы	4	2
396	все они	1	2
397	до тех	1	2
398	и эта	1	2
399	другой стороны	4	2
400	в характере	1	2
401	только этой	1	2
402	в искусстве	2	2
403	который не	1	2
404	но наоборот	1	1
405	который должен	1	1
406	от этой	1	1
407	говоря о	1	1
408	таком случае	3	1
409	от самой	1	1
410	человека и	2	1
411	связана с	2	1
412	того же	1	1
413	не остается	1	1
414	но один	1	1
415	самая структура	1	1
416	выкинуть из	1	1
417	часто совершенно	1	1
418	очень много	1	1
419	тем же	2	1
420	от самого	1	1
421	он всегда	2	1
422	в какой-то	1	1
423	действительности и	1	1
424	есть не	7	1
425	со всех	1	1
426	всего того	1	1
427	и значение	1	1
428	из всего	2	1
429	для своего	1	1
430	этого нет	3	1
431	которую мы	1	1
432	и тут	3	1
433	существовать вне	1	1
434	случае это	1	1
435	не была	1	1
436	очень долгое	1	1
437	будет потом	1	1
438	каком случае	2	1
439	что иное	3	1
440	мы получаем	2	1
441	но даже	1	1
442	мы и	1	1
443	что можно	1	1
444	следовательно в	2	1
445	во мне	4	1
446	еще не	4	1
447	иное как	3	1
448	структура этой	1	1
449	природы и	1	1
450	ее к	1	1
451	чистой и	2	1
452	но как	5	1
453	поймем истинное	1	1
454	если в	2	1
455	а он	1	1
456	в общем	2	1
457	который мы	1	1
458	очевидно что	2	1
459	ведь мы	2	1
460	несмотря на	2	1
461	евгений онегин	1	1
462	за пределы	4	1
463	которые не	2	1
464	нашего сознания	1	1
465	и я	2	1
466	в истории	2	1
467	первый взгляд	1	1
468	независимо от	4	1
469	общего с	1	1
470	сразу и	2	1
471	дает нам	1	1
472	стороны и	1	1
473	себе ни	1	1
474	есть что-то	2	1
475	придется говорить	1	1
476	очень многие	1	1
477	из жизни	1	1
478	не даны	2	1
479	так или	2	1
480	но без	3	1
481	только один	1	1
482	чувств и	1	1
483	но ведь	2	1
484	не могла	1	1
485	так сказать	1	1
486	что одна	1	1
487	на его	2	1
488	к выводу	1	1
489	главным образом	1	1
490	есть та	3	1
491	вообще не	1	1
492	что время	2	1
493	есть выдумка	1	1
494	что тут	4	1
495	религиозным и	1	1
496	д все	1	1
497	чем она	1	1
498	века в	1	1
499	их из	2	1
500	из него	1	1
501	подобно тому	1	1
502	производит на	1	1
503	может существовать	3	1
504	и независимо	1	1
505	будем говорить	2	1
506	его своей	1	1
507	это конечно	4	1
508	эта основная	1	1
509	в одну	5	1
510	то ни	1	1
511	как они	3	1
512	факт что	1	1
513	это случилось	1	1
514	есть все	1	1
515	в другом	4	1
516	до бесконечности	1	1
517	в глубине	1	1
518	по смыслу	1	1
519	все их	1	1
520	жизнь а	1	1
521	считает свою	1	1
522	или просто	1	1
523	нечего и	1	1
524	формы как	1	1
525	раз он	1	1
526	везде и	1	1
527	этом смысле	1	1
528	не вся	1	1
529	истории и	1	1
530	действий и	1	1
531	и смерти	1	1
532	тела в	1	1
533	этом мы	1	1
534	но уже	1	1
535	отрешенности и	1	1
536	что реальные	2	1
537	она и	2	1
538	со своими	1	1
539	форма и	3	1
540	человека мы	1	1
541	понятия и	1	1
542	и еще	1	1
543	на первый	1	1
544	в эту	1	1
545	в этих	3	1
546	вещи в	4	1
547	но что	7	1
548	что такое	3	1
549	как сама	2	1
550	которая имеет	1	1
551	почти не	1	1
552	она в	1	1
553	говорил о	1	1
554	не от	1	1
555	сама собой	1	1
556	от его	1	1
557	ответить на	1	1
558	взятые сами	1	1
559	и сопоставить	1	1
560	не раз	2	1
561	есть его	1	1
562	образом и	1	1
563	силу и	1	1
564	всякий другой	1	1
565	без всяких	1	1
566	и более	3	1
567	том и	1	1
568	она или	1	1
569	необходимо чтобы	2	1
570	образ не	1	1
571	можем сказать	1	1
572	и очень	1	1
573	нет никакого	2	1
574	если их	1	1
575	что есть	2	1
576	отчетливо и	1	1
577	что с	2	1
578	какой-то образ	2	1
579	тогда когда	6	1
580	уже из	1	1
581	того как	2	1
582	этом нам	1	1
583	себе так	2	1
584	как его	1	1
585	виду не	1	1
586	тогда и	1	1
587	в нас	1	1
588	но только	3	1
589	самого по	1	1
590	значение этого	1	1
591	это мы	2	1
592	и всегда	1	1
593	или как	3	1
594	своей природе	2	1
595	уже говорили	1	1
596	деле он	1	1
597	слова о	1	1
598	это уже	2	1
599	так то	1	1
600	что на	2	1
601	однако это	2	1
602	у меня	3	1
603	другой ее	1	1
604	уже о	2	1
605	начиная с	1	1
606	возникает из	1	1
607	и такие	1	1
608	об одном	1	1
609	если же	1	1
610	должен быть	1	1
611	оно может	1	1
612	расходится с	1	1
613	не забудем	1	1
614	и оформлена	2	1
615	как не	2	1
616	не могу	6	1
617	личности и	6	1
618	он мог	2	1
619	мысль о	1	1
620	от обычного	1	1
621	ведь оно	1	1
622	с первого	2	1
623	только то	4	1
624	в дальнейшем	1	1
625	дано в	1	1
626	и видеть	1	1
627	слова а	1	1
628	только тот	1	1
629	себя что	1	1
630	об этой	2	1
631	она была	1	1
632	именно этот	1	1
633	жизнь это	1	1
634	остается только	2	1
635	это только	3	1
636	таких примеров	1	1
637	составные части	1	1
638	совершенно невозможно	2	1
639	он сам	1	1
640	и вообще	6	1
641	другой совершенно	1	1
642	выводу что	1	1
643	сказать совершенно	1	1
644	что часто	1	1
645	быть в	4	1
646	нечто совсем	1	1
647	совершенно с	1	1
648	вот и	2	1
649	она всегда	1	1
650	и просто	1	1
651	может не	4	1
652	время не	3	1
653	я склонен	1	1
654	это была	1	1
655	и во	1	1
656	он берет	2	1
657	все в	2	1
658	в которую	1	1
659	к нему	4	1
660	вот эта	1	1
661	который все	1	1
662	его с	3	1
663	на одном	1	1
664	никаких сомнений	1	1
665	и содержания	1	1
666	и понятно	1	1
667	столько сколько	2	1
668	зовут к	1	1
669	от нее	1	1
670	всех сторон	1	1
671	мышь которая	1	1
672	но с	1	1
673	если скажем	1	1
674	не решается	1	1
675	совсем не	1	1
676	на другие	1	1
677	уже одно	1	1
678	развертывается по	1	1
679	и действительно	1	1
680	поэтому и	1	1
681	между тем	2	1
682	во времени	4	1
683	и начинаем	1	1
684	бы ни	2	1
685	но под	1	1
686	именно на	1	1
687	с какой	1	1
688	же и	9	1
689	есть в	2	1
690	своей последней	1	1
691	и событий	1	1
692	если это	1	1
693	только на	1	1
694	от воли	1	1
695	в душе	7	1
696	нет мысли	1	1
697	эти два	2	1
698	забудем что	1	1
699	и их	3	1
700	только вы	1	1
701	и воображения	1	1
702	от другого	1	1
703	бы просто	1	1
704	всегда только	1	1
705	и переживаем	1	1
706	мы берем	1	1
707	и вместе	1	1
708	это будет	1	1
709	были бы	1	1
710	в особенности	1	1
711	к его	1	1
712	со всем	2	1
713	и даже	14	1
714	одеколоном и	1	1
715	дают в	1	1
716	живой и	2	1
717	с другим	1	1
718	однако что	1	1
719	или иначе	2	1
720	самое главное	1	1
721	стороны эта	1	1
722	к которому	1	1
723	мы еще	1	1
724	еще будем	1	1
725	конца как	1	1
726	и др	1	1
727	себя и	1	1
728	художественной форме	1	1
729	в некоторых	2	1
730	превращается в	1	1
731	моментов и	1	1
732	с которым	1	1
733	как ни	2	1
734	ни о	2	1
735	заставляя его	1	1
736	не об	1	1
737	нигде не	1	1
738	которые будут	1	1
739	уже давно	1	1
740	а есть	1	1
741	сцену с	1	1
742	ошибемся если	1	1
743	я уже	2	1
744	то можно	1	1
745	виде очень	1	1
746	что за	1	1
747	искусства но	1	1
748	совершенно иными	1	1
749	что весь	1	1
750	это есть	8	1
751	и искусства	1	1
752	которые по	1	1
753	не ошибемся	1	1
754	чувства и	1	1
755	там где	1	1
756	сам не	2	1
757	это значит	8	1
758	понимать как	3	1
759	оказывается совершенно	1	1
760	нечто совершенно	2	1
761	только для	1	1
762	но это	7	1
763	отличается от	1	1
764	в чем	3	1
765	вокруг него	1	1
766	в один	3	1
767	но для	1	1
768	в смысле	5	1
769	это как	3	1
770	и надо	2	1
771	по дороге	1	1
772	и времени	5	1
773	именно это	1	1
774	в связи	4	1
775	душа не	1	1
776	зритель воспринимает	1	1
777	это можно	1	1
778	или в	2	1
779	мы только	2	1
780	человек и	1	1
781	содержание и	1	1
782	и энергии	1	1
783	совершенно иной	1	1
784	из себя	1	1
785	и ни	1	1
786	не должен	1	1
787	у которого	1	1
788	будто бы	3	1
789	скажем что	1	1
790	но разве	2	1
791	по самой	1	1
792	все остальные	1	1
793	или не	2	1
794	же в	2	1
795	есть уже	2	1
796	этой общей	1	1
797	о всем	1	1
798	извлекает из	1	1
799	нет ничего	1	1
800	нужно для	1	1
801	это все	2	1
802	из тех	1	1
803	не быть	2	1
804	а ведь	1	1
805	мы начинаем	2	1
806	равно как	1	1
807	в глаза	1	1
808	самой своей	1	1
809	по одному	4	1
810	не что	3	1
811	в отдельности	1	1
812	что под	1	1
813	эти элементы	1	1
814	делается не	1	1
815	этих вещей	2	1
816	целей и	1	1
817	уже говорил	1	1
818	допустить что	1	1
819	другом случае	1	1
820	событиях и	1	1
821	гораздо более	1	1
