N	2gram	Nazirov_Vr_1	VerxiiNi
319	и раньше	1	1
320	и ее	2	1
321	и его	3	1
322	свил себе	1	1
323	указания на	1	1
324	чтобы он	3	1
325	при помощи	2	1
326	в душе	1	1
327	мы знаем	2	1
328	несомненно в	1	1
329	и их	1	1
330	рядом деталей	1	1
331	одним лишь	1	1
332	привела к	1	1
333	у него	5	1
334	и никогда	1	1
335	как раз	2	1
336	тем что	3	1
337	тогда как	2	1
338	перед ними	1	1
339	отличается не	1	1
340	из двух	1	1
341	что тот	1	1
342	такое же	1	1
343	души и	1	1
344	россии а	1	1
345	выступают как	1	1
346	в соответствии	1	1
347	вся русская	1	1
348	целым рядом	1	1
349	и самый	1	1
350	одну из	1	1
351	о чем	2	1
352	только от	1	1
353	людьми и	1	1
354	с помощью	1	1
355	в момент	2	1
356	позволяет нам	1	1
357	нет ничего	1	1
358	него в	1	1
359	эти слова	3	1
360	с конца	1	1
361	знаем о	1	1
362	с этим	1	1
363	без труда	1	1
364	в той	2	1
365	первое место	1	1
366	да и	1	1
367	считал что	3	1
368	отношения к	2	1
369	человека и	1	1
370	вошли в	1	1
371	затем в	1	1
372	ли не	1	1
373	такой же	1	1
374	но это	2	1
375	и служило	1	1
376	но для	1	1
377	мы начали	1	1
378	которых он	1	1
379	его с	2	1
380	это как	1	1
381	сходство между	1	1
382	бы в	1	1
383	тем более	2	1
384	но зато	1	1
385	этот раз	1	1
386	же в	2	1
387	могли быть	2	1
388	давно уже	3	1
389	был похож	1	1
390	появилась в	1	1
391	только как	1	1
392	в честь	2	1
393	в свое	1	1
394	к этой	1	1
395	для создания	1	1
396	в своих	4	1
397	с первого	1	1
398	они не	1	1
