N	2gram	Berdyaev_V_1	TeoriaLi
278	не могут	2	1
279	мы видим	1	1
280	по крайней	1	1
281	тоже не	1	1
282	она и	1	1
283	себя только	1	1
284	небытию в	1	1
285	она не	1	1
286	в результате	1	1
287	ибо к	1	1
288	к бытию	3	1
289	на земле	7	1
290	когда я	2	1
291	в которую	1	1
292	в известном	1	1
293	еще и	1	1
294	от своей	2	1
295	которая в	1	1
296	слова с	1	1
297	стороны в	1	1
298	не имеет	3	1
299	ее к	1	1
300	и до	1	1
301	его личности	1	1
302	и есть	4	1
303	мировой жизни	4	1
304	бытия и	1	1
305	послужить материалом	2	1
306	но от	1	1
307	это ни	1	1
308	не быть	1	1
309	на нее	1	1
310	так как	9	1
311	можно было	2	1
312	теми которые	1	1
313	все что	4	1
314	является в	2	1
315	тайны и	1	1
316	не есть	6	1
