N	2gram	Berdyaev_O_1	Formalny
126	именно от	1	2
127	то в	1	2
128	та же	1	2
129	в которой	2	2
130	уже в	2	2
131	он в	2	2
132	ее как	1	2
133	в единстве	2	2
134	же это	2	2
135	и более	1	2
136	из него	1	2
137	том случае	1	2
138	должен был	2	2
139	от него	7	2
140	должно быть	2	2
141	том что	2	2
142	в этих	3	2
143	не так	1	2
144	отрицает и	1	2
145	не могли	2	2
146	она не	1	2
147	не имеет	2	2
148	ее с	1	2
149	этими двумя	1	2
150	не по	1	2
151	находится в	1	2
152	никогда не	9	2
153	и лишь	1	2
154	чтобы сделать	1	2
155	всего в	2	2
156	и это	1	2
157	и о	2	2
158	на нем	1	2
159	в ее	2	2
160	и от	3	2
161	и этим	2	2
162	подойти к	2	2
163	в эпоху	1	2
164	с ним	3	2
165	в виду	1	2
166	отметить что	1	2
167	это не	3	2
168	один из	1	2
169	с ними	1	2
170	потому что	9	2
171	же и	1	2
172	возможны лишь	1	2
173	еще одну	1	2
174	и других	1	2
175	в котором	1	2
176	в конце	1	2
177	нее не	1	2
178	со стороны	1	2
179	а именно	1	2
180	что для	2	2
181	до конца	7	2
182	есть лишь	4	2
183	его как	1	2
184	к его	1	2
185	как это	1	2
186	как например	1	2
187	но это	1	2
188	не отрицает	1	2
189	ее и	1	2
190	сказать что	2	2
191	от всех	1	2
192	у толстого	1	2
193	ее в	2	2
194	и через	1	1
195	связана с	1	1
196	и без	1	1
197	но тем	1	1
198	и больше	1	1
199	всей ее	1	1
200	есть не	1	1
201	не вполне	1	1
202	себе что	1	1
203	художественном творчестве	2	1
204	то он	1	1
205	и все-таки	2	1
206	с трудом	1	1
207	в противоречии	1	1
208	в эти	1	1
209	с духом	1	1
210	иногда и	1	1
211	и достоевский	1	1
212	выводит за	1	1
213	что во	1	1
214	в своем	2	1
215	и нет	2	1
216	и есть	3	1
217	нет никакой	1	1
218	в этот	2	1
219	за собой	1	1
220	духа в	1	1
221	знаменательно что	1	1
222	этот случай	1	1
223	думать что	1	1
224	с их	1	1
225	но он	7	1
226	на то	1	1
227	а вовсе	1	1
228	чтобы овладеть	1	1
229	больше всего	1	1
230	они в	1	1
231	он должен	1	1
232	к одному	1	1
233	для русского	1	1
234	и заключается	1	1
235	находятся и	1	1
236	же не	1	1
237	в другом	2	1
238	самим собой	1	1
239	сказать в	1	1
240	не совпадает	1	1
241	связанным с	1	1
242	кажется что	1	1
243	в них	1	1
244	достоевский и	1	1
245	в самую	4	1
246	чтобы то	1	1
247	ведется от	1	1
248	чем в	2	1
249	ведет к	1	1
250	места в	1	1
251	была поставлена	1	1
252	том как	1	1
253	и тут	1	1
254	на своем	1	1
255	что говорит	1	1
256	вопрос о	10	1
257	из романов	1	1
258	эта не	1	1
259	в россии	5	1
260	полемики против	1	1
261	как от	1	1
262	или тебе	1	1
263	рассказ ведется	1	1
264	любовь к	2	1
265	и против	2	1
266	проник в	1	1
267	одну особенность	1	1
268	дело в	1	1
269	всех тех	1	1
270	показывает нам	1	1
271	в русском	1	1
272	к ней	2	1
273	во всем	1	1
274	как будто	1	1
275	у нас	1	1
276	слишком многое	1	1
277	отличается от	1	1
278	они и	1	1
279	а белого	1	1
280	в каждом	1	1
281	и достигает	1	1
282	им для	1	1
283	характер и	1	1
284	уже с	1	1
285	и сам	1	1
286	этот период	1	1
287	можно было	1	1
288	существенное содержание	1	1
289	связанная с	1	1
290	существенны и	1	1
291	где оно	1	1
292	разрушения и	1	1
293	о том	3	1
294	и мыслей	1	1
295	вопросу о	1	1
296	все в	4	1
297	подходит к	1	1
298	в форме	1	1
299	лишь к	1	1
300	это лишь	1	1
301	и ни	2	1
302	других его	1	1
303	этой отрицательной	1	1
304	и дело	1	1
305	в себе	3	1
306	и действительно	1	1
307	и раньше	1	1
308	их не	2	1
309	так что	2	1
310	и положительно	1	1
311	был бы	1	1
312	никто не	3	1
313	ведь это	2	1
314	он весь	2	1
315	лишь один	1	1
316	момент в	2	1
317	иначе чем	1	1
318	говорит о	1	1
319	и противоположное	1	1
320	был в	1	1
321	на этот	1	1
322	стремится к	1	1
323	и самый	1	1
324	не таков	1	1
325	на этих	1	1
326	а ведь	1	1
327	остается и	1	1
328	ближе к	1	1
329	связь с	1	1
330	все основные	1	1
331	и проблема	1	1
332	о чем	1	1
333	смысле этого	1	1
334	в заслугу	1	1
335	это за	3	1
336	и там	2	1
337	формы все	1	1
338	да и	1	1
339	уже сам	1	1
340	этого слова	1	1
341	завершается в	1	1
342	но почему	1	1
343	о его	5	1
344	всего его	1	1
345	под влиянием	1	1
346	лишь его	1	1
347	не той	1	1
348	не существует	1	1
349	в пределе	1	1
350	стремлением к	1	1
351	о нем	1	1
352	сознания в	1	1
353	особого рода	1	1
354	быть что	1	1
355	для его	1	1
356	потребность в	2	1
357	но оно	1	1
358	и начинается	1	1
359	это все	1	1
360	противоречий и	1	1
361	жизни а	1	1
362	он лишь	3	1
363	случае если	1	1
364	в своих	3	1
365	и эта	1	1
366	русской литературы	1	1
