N	2gram	Berdyaev_O_1	TeoriaLi
183	том случае	1	1
184	и трагического	1	1
185	широк человек	1	1
186	было бы	3	1
187	должен был	2	1
188	в них	1	1
189	она и	1	1
190	стремился к	1	1
191	с тем	2	1
192	всю жизнь	1	1
193	он и	1	1
194	ведет к	1	1
195	в чистом	1	1
196	открытие и	1	1
197	и без	1	1
198	в котором	1	1
199	всего только	1	1
200	до которой	1	1
201	дается в	1	1
202	и более	1	1
203	свобода и	2	1
204	открывается в	1	1
205	он выступает	1	1
206	жизни ее	1	1
207	у нее	1	1
208	и против	2	1
209	с которой	2	1
210	не имеет	2	1
211	дело в	1	1
212	одна из	1	1
213	карамазова в	1	1
214	виду не	1	1
215	свободы и	2	1
216	только и	4	1
217	жизни не	1	1
218	в самой	9	1
219	от него	7	1
220	ничто не	2	1
221	внутренней жизни	1	1
222	исчезнет в	1	1
223	не по	1	1
224	душе в	1	1
225	у нас	1	1
226	не могут	3	1
227	и заключается	1	1
228	его с	1	1
229	всего что	1	1
230	указывает на	1	1
231	в каждом	1	1
232	быть назван	1	1
233	она не	1	1
234	говорит о	1	1
235	и открывает	1	1
236	из всего	2	1
237	того чтобы	4	1
238	действующие лица	1	1
239	людей в	1	1
240	русской природы	1	1
241	мысль о	2	1
242	свободу и	1	1
243	можно было	1	1
244	особенно в	1	1
245	это какое-то	1	1
246	с ним	3	1
247	после того	1	1
248	в сущности	1	1
249	это была	1	1
250	вопросу о	1	1
251	каждом из	1	1
252	в которую	1	1
253	лишь путем	1	1
254	делает в	1	1
255	нуждается в	1	1
256	чем и	1	1
257	во внутренней	1	1
258	человека как	1	1
259	в том-то	1	1
260	не совпадает	1	1
261	один из	1	1
262	природой и	1	1
263	между этими	1	1
264	их не	2	1
265	который в	1	1
266	со всеми	1	1
267	так что	2	1
268	же и	1	1
269	в единстве	2	1
270	против собственной	1	1
271	состоит чтобы	1	1
272	из них	1	1
273	но от	1	1
274	чего бы	1	1
275	только одно	3	1
276	к каким	1	1
277	одно из	2	1
278	никто не	3	1
279	ведь это	2	1
280	и мир	1	1
281	и прежде	1	1
282	в одном	1	1
283	и личной	1	1
284	так как	2	1
285	может служить	1	1
286	его мысли	4	1
287	лишь один	1	1
288	для того	3	1
289	границы и	1	1
290	на примере	1	1
291	как у	1	1
292	с той	1	1
293	в уме	1	1
294	личность и	1	1
295	во внешней	1	1
296	что для	2	1
297	и пр	1	1
298	не было	9	1
299	природе и	1	1
300	стремится к	1	1
301	и завершает	1	1
302	и я	1	1
303	разговор с	1	1
304	красота есть	1	1
305	ближе к	1	1
306	его как	1	1
307	в одно	1	1
308	и ему	1	1
309	которые будут	1	1
310	в одной	1	1
311	этого типа	1	1
312	было и	1	1
313	в мир	1	1
314	да и	1	1
315	в это	1	1
316	и формы	1	1
317	к преступлению	1	1
318	своей жизни	2	1
319	о его	5	1
320	все это	6	1
321	и зло	1	1
322	и от	3	1
323	и трагическое	1	1
324	его природы	1	1
325	места в	1	1
326	бы в	1	1
327	но всегда	1	1
328	не есть	2	1
329	его лишь	1	1
330	речь о	1	1
331	не быть	1	1
332	от всех	1	1
333	совершенно не	1	1
334	жизни и	1	1
335	ее в	2	1
336	случае если	1	1
337	в своих	3	1
338	типа есть	1	1
339	не принять	1	1
340	все что	3	1
