N	2gram	Nazirov_Vr_1	slovoVRo
363	же в	2	1
364	помощью которых	1	1
365	родстве с	1	1
366	только как	1	1
367	равно как	1	1
368	сам в	1	1
369	жизни и	1	1
370	который не	1	1
371	как на	1	1
372	в таком	1	1
373	все что	1	1
374	они не	1	1
