N	2gram	Nazirov_Tv_2	Poddanst
328	давно уже	2	1
329	на фоне	1	1
330	нет ничего	3	1
331	есть у	1	1
332	в философии	1	1
333	только как	1	1
334	и высоко	1	1
335	был побежден	1	1
336	в момент	1	1
337	к формам	1	1
338	будущее в	1	1
339	что все	1	1
340	этом не	1	1
341	ли не	2	1
342	ни к	2	1
343	числе и	1	1
344	к действию	1	1
345	частности в	1	1
346	что оно	1	1
347	всего что	1	1
348	видим в	2	1
349	и другие	1	1
350	не есть	1	1
351	вместе с	3	1
352	к истокам	1	1
353	что от	1	1
354	капитализм и	1	1
355	русской литературы	1	1
356	во всяком	2	1
