N	2gram	Nazirov_Tr_1	VLabPisa
190	даже не	1	2
191	как у	2	2
192	писателя и	2	2
193	естественно что	1	2
194	к сожалению	1	2
195	о чем	3	2
196	было в	2	2
197	и потому	1	2
198	можно было	1	2
199	в книге	1	2
200	в стихах	1	2
201	не быть	1	2
202	отметить что	1	2
203	а между	1	1
204	вряд ли	2	1
205	в сфере	1	1
206	с жизнью	1	1
207	что наконец	1	1
208	самом деле	1	1
209	применении к	1	1
210	силы и	1	1
211	замысел его	1	1
212	неожиданное появление	1	1
213	же по	1	1
214	почти не	1	1
215	достоевского в	3	1
216	он всегда	4	1
217	что эти	2	1
218	должна быть	1	1
219	смотреть на	1	1
220	для достижения	1	1
221	как мы	1	1
222	вопрос о	2	1
223	на себя	1	1
224	по замыслу	2	1
225	не способен	1	1
226	сам по	1	1
227	и то	2	1
228	он был	2	1
229	между собой	1	1
230	ответа на	1	1
231	быть в	1	1
232	не был	2	1
233	и мира	1	1
234	значение и	1	1
235	некоторые черты	1	1
236	далее следует	1	1
237	это самое	1	1
238	в истории	1	1
239	опирается на	1	1
240	и дети	2	1
241	что ее	1	1
242	говорит что	2	1
243	и наконец	1	1
244	первоначальный замысел	1	1
245	роль играет	1	1
246	то в	1	1
247	не получил	1	1
248	уже в	3	1
249	материал своих	1	1
250	всего необходимо	1	1
251	общеизвестно что	1	1
252	этого образа	1	1
253	если он	1	1
254	в братьях	1	1
255	от природы	1	1
256	так сказать	1	1
257	характерны для	1	1
258	и если	1	1
259	идей и	1	1
260	отцов и	1	1
261	этом свидетельствует	1	1
262	творца и	1	1
263	тем дело	1	1
264	и еще	1	1
265	не значит	1	1
266	сознает свою	1	1
267	не как	1	1
268	уже не	2	1
269	на этом	1	1
270	в понятие	1	1
271	для характеристики	1	1
272	самого автора	1	1
273	непосредственного чувства	1	1
274	то есть	3	1
275	не нашел	1	1
276	при которой	1	1
277	человеческой личности	2	1
278	приходит в	1	1
279	к области	2	1
280	этого не	1	1
281	с этой	1	1
282	которой он	1	1
283	несмотря на	5	1
284	на этот	1	1
285	обратимся к	1	1
286	или вообще	1	1
287	в ходе	2	1
288	отцы и	2	1
289	взгляд на	1	1
290	если можно	1	1
291	знает и	1	1
292	в черновиках	1	1
293	значение для	1	1
294	но он	1	1
295	что этот	2	1
296	перед собою	1	1
297	вплоть до	1	1
298	говорит по	1	1
299	что эта	1	1
300	того как	1	1
301	этими двумя	2	1
302	виду не	1	1
303	как много	1	1
304	но только	1	1
305	этой схемы	1	1
306	не имеет	2	1
307	судя по	1	1
308	к ней	1	1
309	он пытался	1	1
310	от него	1	1
311	друг друга	2	1
312	мы бы	1	1
313	достоевский в	7	1
314	затем начинает	1	1
315	как будто	3	1
316	он вполне	1	1
317	один раз	1	1
318	быть свободен	1	1
319	быть отнесены	1	1
320	не случайное	1	1
321	признается что	1	1
322	приступил к	1	1
323	в применении	1	1
324	и это	2	1
325	стихах и	1	1
326	с ее	3	1
327	и служит	1	1
328	же не	1	1
329	данном случае	2	1
330	является чисто	1	1
331	своих романов	1	1
332	н толстой	1	1
333	в дальнейшем	5	1
334	причем в	1	1
335	эдгара по	1	1
336	во взглядах	1	1
337	его самого	1	1
338	и сам	3	1
339	по определению	1	1
340	и опирается	1	1
341	перед сном	1	1
342	по сравнению	1	1
343	за этими	1	1
344	но у	1	1
345	жизнь и	3	1
346	понятно что	1	1
347	воображение всегда	1	1
348	только нет	1	1
349	действия не	1	1
350	с ним	3	1
351	а по	1	1
352	о нем	1	1
353	ситуации и	1	1
354	году и	1	1
355	это происходит	1	1
356	и детей	2	1
357	и что	4	1
358	в глаза	2	1
359	после того	1	1
360	с того	1	1
361	для нас	1	1
362	а также	1	1
363	толстой и	1	1
364	знает что	2	1
365	нет это	1	1
366	по слову	1	1
367	или как	1	1
368	доходит до	1	1
369	свободен только	1	1
370	говорит он	1	1
371	в форме	1	1
372	романа в	1	1
373	всего этого	1	1
374	даже на	2	1
375	в русском	2	1
376	о своих	1	1
377	для самого	1	1
378	бросается в	2	1
379	согласиться с	1	1
380	как нечто	1	1
381	который в	2	1
382	между этими	2	1
383	эти образы	1	1
384	есть в	1	1
385	вызова и	1	1
386	каким же	1	1
387	только на	1	1
388	не знать	1	1
389	в виде	2	1
390	свидетельствует о	1	1
391	которых можно	1	1
392	и чисто	1	1
393	характерно что	1	1
394	главное для	1	1
395	ни в	2	1
396	в известной	2	1
397	не для	1	1
398	отношение к	2	1
399	братьях карамазовых	1	1
400	случайное и	1	1
401	не случайно	2	1
402	идет в	1	1
403	тем что	2	1
404	и вместе	1	1
405	развития в	1	1
406	чем он	2	1
407	как же	2	1
408	достоевский говорил	1	1
409	самого начала	1	1
410	со своими	1	1
411	и особенно	1	1
412	в духе	1	1
413	как в	3	1
414	если так	1	1
415	в данном	2	1
416	сравнению с	1	1
417	необходимо подчеркнуть	1	1
418	в той	1	1
419	романа или	1	1
420	был прав	1	1
421	это его	1	1
422	процесс у	1	1
423	и судьбы	1	1
424	должно быть	3	1
425	у которого	1	1
426	еще к	1	1
427	еще раз	2	1
428	но это	4	1
429	романа с	1	1
430	мы видим	1	1
431	о совершенно	1	1
432	это как	1	1
433	все герои	1	1
434	а к	1	1
435	романа и	3	1
436	и все	4	1
437	у достоевского	5	1
438	и художественной	1	1
439	от всего	2	1
440	потому что	2	1
441	можно так	1	1
442	личности и	2	1
443	так выразиться	1	1
444	еще в	2	1
445	к ее	1	1
446	дело с	1	1
447	из тех	1	1
448	это в	1	1
449	состоит из	2	1
450	совершенно не	1	1
451	эти же	1	1
452	необходимое условие	1	1
453	в кругу	1	1
454	есть и	1	1
455	к числу	1	1
456	исключительное значение	1	1
457	к этой	1	1
458	это было	1	1
459	цитата из	1	1
460	это понятие	1	1
461	в таком	2	1
