N	2gram	Bakhtin_sl_1	Problema
344	предмета и	2	2
345	в двух	1	2
346	для лингвистики	1	2
347	нуждается в	1	2
348	в какой	1	2
349	и ее	3	2
350	на мир	4	2
351	себя в	9	2
352	поэт в	1	2
353	языка как	4	2
354	в виде	2	2
355	в начале	1	2
356	не дает	1	2
357	языка но	4	2
358	ни с	1	2
359	что и	1	2
360	вовсе не	7	2
361	содержание и	1	2
362	произведения и	2	2
363	случае не	1	2
364	то или	1	2
365	в особенности	8	2
366	чем в	1	2
367	или иной	9	2
368	здесь в	4	2
369	на единство	2	2
370	и определяет	1	2
371	не было	3	2
372	случаев не	1	2
373	в частности	2	2
374	подхода к	5	2
375	и оценки	1	2
376	к своему	6	2
377	лингвистики и	3	2
378	по существу	3	2
379	для понимания	2	2
380	зрения самого	2	2
381	можно сказать	2	2
382	лучшем случае	2	2
383	того или	2	2
384	слово высказывание	1	2
385	форм и	3	2
386	или в	8	2
387	узком смысле	10	2
388	о котором	1	2
389	той или	9	2
390	находит свое	1	2
391	как явление	1	2
392	ибо в	1	2
393	в этих	2	2
394	слово в	10	2
395	в свою	3	2
396	или иного	2	2
397	его пределы	1	2
398	и другие	1	2
399	и эта	2	2
400	к этому	2	2
401	он совершенно	1	1
402	а между	2	1
403	и методы	1	1
404	выражения в	1	1
405	тех же	1	1
406	своей основной	1	1
407	к данному	1	1
408	своего выражения	1	1
409	чего не	1	1
410	от самого	1	1
411	в чисто	2	1
412	в первом	3	1
413	лежащая в	2	1
414	к другому	1	1
415	романа можно	2	1
416	его же	3	1
417	единством в	1	1
418	из его	1	1
419	новом свете	1	1
420	иметь место	1	1
421	из всех	1	1
422	предмета в	1	1
423	и ничего	1	1
424	что уже	1	1
425	язык как	3	1
426	и язык	1	1
427	может осуществлять	1	1
428	мы называем	1	1
429	в основных	1	1
430	высказывания в	1	1
431	и глубоких	1	1
432	время как	2	1
433	с ее	4	1
434	форму слова	1	1
435	бы ни	3	1
436	свой предмет	2	1
437	целого в	1	1
438	входящую в	1	1
439	как впрочем	1	1
440	и бесспорно	1	1
441	форм в	1	1
442	меньшей степени	4	1
443	как таковые	3	1
444	осуществляет себя	3	1
445	в иванов	1	1
446	есть для	2	1
447	и возможности	1	1
448	время в	1	1
449	этим не	1	1
450	роман и	5	1
451	по своему	2	1
452	а следовательно	1	1
453	различия между	2	1
454	слова как	6	1
455	пределах той	1	1
456	в противовес	1	1
457	к слову	1	1
458	в помощи	1	1
459	в общем	1	1
460	в новом	1	1
461	в свои	1	1
462	каково бы	1	1
463	конечно совершенно	1	1
464	которые не	1	1
465	стороны и	1	1
466	и исторические	1	1
467	и где	1	1
468	за своими	2	1
469	могли бы	1	1
470	целый ряд	1	1
471	что по	1	1
472	может послужить	1	1
473	именно эта	2	1
474	другом случае	2	1
475	то в	2	1
476	бы и	3	1
477	и отрывает	1	1
478	прозаический и	1	1
479	то время	2	1
480	определяет все	1	1
481	которые в	3	1
482	в этой	1	1
483	такое значение	1	1
484	вносит в	2	1
485	время этот	1	1
486	но он	2	1
487	только один	1	1
488	высказывания не	2	1
489	направлено на	1	1
490	не могла	2	1
491	а вовсе	2	1
492	и если	1	1
493	организуются в	2	1
494	как оно	3	1
495	т д	5	1
496	единство в	1	1
497	каждое из	1	1
498	они в	2	1
499	всех этих	4	1
500	в понимании	3	1
501	в узком	10	1
502	не как	4	1
503	понимания и	1	1
504	широком смысле	2	1
505	ни были	3	1
506	свое время	1	1
507	и единство	2	1
508	его можно	1	1
509	в нее	1	1
510	при правильном	1	1
511	именно это	1	1
512	бы они	1	1
513	подход к	1	1
514	могла бы	1	1
515	отходит в	1	1
516	значение в	1	1
517	мы уже	2	1
518	бы быть	1	1
519	поэтический язык	2	1
520	зрения на	7	1
521	его своим	1	1
522	это было	1	1
523	из разновидностей	1	1
524	и иных	2	1
525	моменты в	1	1
526	в свой	1	1
527	ведь в	1	1
528	для них	2	1
529	в один	1	1
530	но вся	1	1
531	ни одной	1	1
532	суть формы	1	1
533	этого не	1	1
534	и уже	1	1
535	от языка	3	1
536	действительно не	2	1
537	и прямо	3	1
538	автора и	4	1
539	нисколько не	2	1
540	был бы	2	1
541	своими пределами	2	1
542	из языка	1	1
543	места в	1	1
544	из общего	1	1
545	введением в	1	1
546	поэтического творчества	1	1
547	моментах как	1	1
548	к предмету	4	1
549	к одному	1	1
550	как активно	1	1
551	всех моментов	1	1
552	в которых	1	1
553	его отношение	1	1
554	бы мы	1	1
555	нем он	1	1
556	и эти	2	1
557	этого мышления	1	1
558	том и	2	1
559	однако в	1	1
560	не должно	3	1
561	отличии от	1	1
562	как язык	1	1
563	же мы	1	1
564	иванов а	1	1
565	тому что	2	1
566	время был	1	1
567	на один	2	1
568	какие бы	1	1
569	к некоторым	1	1
570	говорить уже	1	1
571	до известной	2	1
572	здесь лишь	1	1
573	мышления и	1	1
574	правда в	1	1
575	которое нельзя	1	1
576	здесь на	1	1
577	эта внутренняя	2	1
578	в самых	2	1
579	может только	1	1
580	следовательно и	3	1
581	того и	1	1
582	все свои	2	1
583	и без	1	1
584	находятся в	1	1
585	и лишь	1	1
586	ориентация на	1	1
587	явление в	2	1
588	фоне которого	1	1
589	к концу	1	1
590	его он	1	1
591	в сознании	2	1
592	в процессе	4	1
593	не столь	1	1
594	ему не	2	1
595	и со	1	1
596	есть к	1	1
597	очень часто	1	1
598	здесь оно	2	1
599	данного произведения	1	1
600	иногда даже	1	1
601	мы все	2	1
602	и относит	1	1
603	значительной степени	1	1
604	этого и	1	1
605	его с	1	1
606	произведения которое	1	1
607	протяжении всего	1	1
608	для его	1	1
609	и организуются	1	1
610	быть отнесены	1	1
611	социальные и	1	1
612	поэтического языка	3	1
613	эти явления	1	1
614	п и	1	1
615	композиции в	1	1
616	живет на	1	1
617	рассмотрения и	1	1
618	язык здесь	1	1
619	к такому	1	1
620	свою очередь	2	1
621	без всякого	1	1
622	точками зрения	3	1
623	в в	1	1
624	языка и	12	1
625	характер и	1	1
626	они ни	1	1
627	за пределами	2	1
628	зрения не	2	1
629	фоне которых	1	1
630	и иные	1	1
631	и исторически	1	1
632	на том	2	1
633	в произведение	2	1
634	по аналогии	1	1
635	чуждо и	1	1
636	оно как	2	1
637	произведения не	2	1
638	на которую	1	1
639	иногда в	2	1
640	в одном	2	1
641	всякой оглядки	1	1
642	в субъективном	1	1
643	не были	3	1
644	определенного и	1	1
645	это только	1	1
646	в которое	1	1
647	своеобразие и	1	1
648	основная особенность	1	1
649	даны в	1	1
650	остановимся на	2	1
651	к языку	3	1
652	этой концепции	1	1
653	смысле и	1	1
654	образом в	3	1
655	автора к	3	1
656	становится здесь	1	1
657	изъятый из	1	1
658	они осуществляются	1	1
659	др и	2	1
660	для нас	2	1
661	а также	2	1
662	не выходит	3	1
663	в эстетической	1	1
664	отталкивается от	1	1
665	оно активно	1	1
666	на протяжении	2	1
667	его так	1	1
668	возникает и	1	1
669	они всецело	1	1
670	моментами и	1	1
671	борьба с	1	1
672	во втором	1	1
673	ибо и	1	1
674	лингвистики в	1	1
675	направлений в	1	1
676	слова для	2	1
677	и следовательно	7	1
678	быть и	4	1
679	кроме самого	1	1
680	в поэтическом	7	1
681	художественной жизни	1	1
682	бы из	1	1
683	форм лингвистических	1	1
684	каждом моменте	3	1
685	они могут	7	1
686	в контексте	2	1
687	или же	1	1
688	между этими	2	1
689	в меньшей	1	1
690	нас здесь	2	1
691	именно на	1	1
692	определения и	1	1
693	есть в	1	1
694	со своим	5	1
695	все словесные	1	1
696	уже не	2	1
697	только на	2	1
698	в действительном	1	1
699	планах и	1	1
700	есть уже	1	1
701	и чисто	3	1
702	не принимает	1	1
703	речь в	2	1
704	входящие в	1	1
705	или даже	2	1
706	в душе	1	1
707	из них	3	1
708	его и	3	1
709	и понимание	1	1
710	котором можно	1	1
711	для него	3	1
712	самого слова	1	1
713	сопротивление или	1	1
714	анализ произведения	1	1
715	словом на	1	1
716	с этими	2	1
717	к ним	1	1
718	друг друга	3	1
719	но что	1	1
720	только с	1	1
721	предметных и	1	1
722	на их	1	1
723	не просто	1	1
724	гораздо сложнее	1	1
725	предмету но	1	1
726	момент в	1	1
727	которые как	1	1
728	именно как	2	1
729	выходит за	3	1
730	и изучены	1	1
731	точек зрения	5	1
732	до сих	2	1
733	ли он	4	1
734	непосредственно в	1	1
735	или иначе	1	1
736	нас в	2	1
737	его непосредственной	1	1
738	именно в	3	1
739	всякое высказывание	1	1
740	и самая	2	1
741	уходит в	1	1
742	литературное произведение	1	1
743	человек может	1	1
744	лингвистически и	1	1
745	предмет и	1	1
746	до чисто	1	1
747	самом же	1	1
748	смысла и	3	1
749	а на	2	1
750	на этот	1	1
751	словом а	1	1
752	а изнутри	1	1
753	до конца	12	1
754	с которым	2	1
755	как ни	1	1
756	все время	3	1
757	о чем	1	1
758	оно оказывается	1	1
759	на эту	1	1
760	что мы	1	1
761	слова которое	1	1
762	и ему	1	1
763	к особенностям	1	1
764	и вне	1	1
765	быть адекватно	1	1
766	направлено и	1	1
767	язык для	1	1
768	входить в	1	1
769	но оно	3	1
770	слова от	1	1
771	художественное значение	1	1
772	вместе с	1	1
773	так же	2	1
774	до этого	1	1
775	композиционных формах	1	1
776	его содержание	1	1
777	со всею	2	1
778	пробным камнем	1	1
779	есть они	1	1
780	в той	10	1
781	поэтическом произведении	3	1
782	есть как	3	1
783	первом случае	2	1
784	и композиционно	2	1
785	образ и	1	1
786	как целое	1	1
787	быть не	1	1
788	мы сказали	4	1
789	есть и	1	1
790	языка то	2	1
791	этого слова	1	1
792	активности и	2	1
793	и формы	4	1
794	эти два	1	1
795	аналогии с	1	1
796	впрочем не	1	1
797	сих пор	2	1
798	словом в	4	1
799	конкретное высказывание	1	1
800	работы по	1	1
801	в смысле	4	1
802	о мире	1	1
803	сам же	1	1
804	свою связь	1	1
805	и часто	4	1
806	живет и	1	1
807	и может	3	1
808	к тому	3	1
809	или только	1	1
810	в результате	3	1
811	же велико	1	1
812	своему предмету	2	1
813	которая в	1	1
814	может войти	1	1
815	это может	1	1
816	эти попытки	1	1
817	бы в	1	1
818	еще более	5	1
819	своеобразное единство	1	1
820	мы ничего	1	1
821	же деле	1	1
822	поэзии но	1	1
823	и жанровые	1	1
824	отношении к	6	1
825	всеми его	1	1
826	но если	1	1
827	не лежит	1	1
828	отношением к	1	1
829	говорящего к	1	1
830	единство двух	1	1
831	связей и	1	1
832	его моментах	4	1
833	равно как	1	1
834	структуру его	1	1
835	себе самому	1	1
836	самого языка	2	1
837	объект для	1	1
838	из этого	3	1
839	формы его	1	1
840	в свое	3	1
841	у толстого	4	1
842	но именно	4	1
843	занимает в	1	1
844	ее методами	1	1
845	в которой	4	1
846	смыслового и	1	1
847	в действительности	1	1
848	к чисто	1	1
849	жизни и	1	1
850	но эти	3	1
851	от единого	1	1
852	как слово	1	1
853	им и	1	1
854	которая не	3	1
