N	2gram	Vinokur_Vv_1	VerxiiNi
107	за собой	3	3
108	в которой	1	3
109	что это	3	3
110	так или	4	3
111	и те	2	3
112	при этом	3	3
113	европейской культуры	1	3
114	всегда и	1	3
115	и при	2	3
116	тем не	8	3
117	если бы	2	3
118	не менее	8	3
119	как о	4	3
120	представляет собой	12	3
121	к концу	1	3
122	течением времени	6	3
123	и о	1	3
124	с самого	1	3
125	культуры и	1	3
126	с течением	6	3
127	на нее	2	3
128	ясно что	9	3
129	можно сказать	3	3
130	в значительной	2	3
131	того что	12	3
132	но с	4	3
133	хотя бы	5	3
134	в качестве	7	3
135	так что	5	3
136	уже не	5	3
137	что эти	1	3
138	для него	1	3
139	культура в	1	3
140	в одном	4	3
141	к ним	1	3
142	и даже	5	3
143	или иначе	4	3
144	с ней	2	3
145	в связи	2	3
146	каждая из	1	3
147	а так	2	3
148	с этой	4	3
149	в результате	3	3
150	у них	1	3
151	конце концов	2	3
152	отношению к	4	3
153	и другие	1	3
154	к этому	3	3
155	точно так	2	3
156	одним из	5	2
157	связана с	4	2
158	и это	6	2
159	смотреть на	4	2
160	мы имеем	3	2
161	надо было	2	2
162	бы например	1	2
163	так чтобы	3	2
164	еще не	4	2
165	и на	3	2
166	бы то	1	2
167	во всех	2	2
168	в создании	2	2
169	различия между	1	2
170	в новом	1	2
171	или иное	1	2
172	общего с	1	2
173	что именно	2	2
174	еще на	1	2
175	на то	1	2
176	не могла	1	2
177	перестает быть	1	2
178	с именем	1	2
179	не к	2	2
180	не как	3	2
181	именно из	1	2
182	из него	1	2
183	его от	1	2
184	состоит в	2	2
185	его можно	2	2
186	заключает в	1	2
187	то ни	1	2
188	них не	1	2
189	в них	4	2
190	не всегда	1	2
191	мы видели	2	2
192	но если	3	2
193	и сейчас	2	2
194	с идеей	1	2
195	взгляд на	1	2
196	не в	8	2
197	в россии	1	2
198	иной раз	2	2
199	из человеческих	1	2
200	самого начала	1	2
201	тогда когда	3	2
202	связан и	1	2
203	ее с	1	2
204	тех пор	1	2
205	без остатка	2	2
206	стадии развития	1	2
207	не могло	1	2
208	в разных	5	2
209	в самой	1	2
210	же время	5	2
211	в русском	1	2
212	и является	1	2
213	так например	6	2
214	этом отношении	3	2
215	ли это	1	2
216	не потому	1	2
217	не могут	5	2
218	в среде	1	2
219	и другой	1	2
220	похож на	1	2
221	отличается от	1	2
222	той или	1	2
223	утверждать что	1	2
224	значительной мере	1	2
225	то или	1	2
226	не с	2	2
227	так называемую	2	2
228	можно только	2	2
229	по тому	1	2
230	по сравнению	3	2
231	не исчерпывается	2	2
232	для этого	3	2
233	в виду	4	2
234	гораздо менее	1	2
235	к одной	1	2
236	а также	3	2
237	должно было	1	2
238	между тем	8	2
239	наконец в	1	2
240	быть и	2	2
241	один из	6	2
242	тот же	1	2
243	очень много	1	2
244	этот факт	1	2
245	уже в	5	2
246	в начале	3	2
247	одно из	5	2
248	мы можем	2	2
249	нее не	1	2
250	но вместе	2	2
251	или иной	1	2
252	и из	1	2
253	именно в	8	2
254	к которому	1	2
255	прежде всего	8	2
256	связано с	1	2
257	превращается в	1	2
258	не было	1	2
259	может ли	1	2
260	и все	1	2
261	среди них	1	2
262	то ясно	1	2
263	так называемой	3	2
264	в одно	1	2
265	если не	1	2
266	должна была	2	2
267	виде в	2	2
268	и особенно	1	2
269	по своему	5	2
270	сравнению с	3	2
271	духовного развития	1	2
272	по существу	2	2
273	что мы	2	2
274	влечет за	2	2
275	же самое	2	2
276	или по	1	2
277	том виде	3	2
278	о котором	8	2
279	из себя	1	2
280	в эту	1	2
281	только что	4	2
282	ни было	1	2
283	в свою	1	2
284	к культуре	2	2
285	сказать что	5	2
286	одновременно и	1	2
287	ко всему	1	2
288	ли они	1	2
289	жизни и	2	2
290	можно назвать	1	2
291	все что	1	2
292	этой точки	1	2
293	как эти	1	1
294	от этой	1	1
295	вряд ли	2	1
296	это однако	2	1
297	можно говорить	1	1
298	речь идет	2	1
299	и римлян	3	1
300	чтобы не	1	1
301	в этот	2	1
302	языку и	1	1
303	а между	1	1
304	смысле слова	7	1
305	самом деле	6	1
306	это и	1	1
307	мере в	4	1
308	который можно	1	1
309	и есть	3	1
310	в первом	5	1
311	культура не	1	1
312	и до	2	1
313	разных народов	1	1
314	и требует	2	1
315	же культуры	1	1
316	научного анализа	2	1
317	мы уже	1	1
318	той же	4	1
319	а как	3	1
320	далее в	1	1
321	мы не	2	1
322	ли быть	1	1
323	что уже	3	1
324	нам в	1	1
325	греков и	3	1
326	бы и	2	1
327	ее частей	2	1
328	в сущности	3	1
329	представлением о	1	1
330	специализировались на	1	1
331	в ней	3	1
332	быть в	4	1
333	в широком	7	1
334	что его	1	1
335	в чем	4	1
336	общих чертах	1	1
337	природы и	1	1
338	он умеет	1	1
339	в сторону	1	1
340	одном и	1	1
341	по отношению	4	1
342	а и	1	1
343	а через	1	1
344	что так	1	1
345	отличие от	3	1
346	легче и	1	1
347	представляться как	1	1
348	себя в	2	1
349	связи и	1	1
350	материалом для	1	1
351	трудно сказать	1	1
352	в одной	1	1
353	эта связь	1	1
354	но пока	2	1
355	как в	1	1
356	народа в	1	1
357	как к	1	1
358	с их	5	1
359	образцом для	1	1
360	однако не	4	1
361	это тоже	1	1
362	его к	2	1
363	себе не	1	1
364	данной национальной	2	1
365	есть ли	1	1
366	от этого	5	1
367	то в	1	1
368	та же	1	1
369	а во-вторых	2	1
370	бы с	1	1
371	что к	1	1
372	и тот	1	1
373	теснее связана	1	1
374	имеем в	1	1
375	если он	1	1
376	от природы	1	1
377	вследствие этого	1	1
378	так сказать	1	1
379	широком смысле	8	1
380	на его	1	1
381	восстановить в	1	1
382	время и	1	1
383	соприкасается с	1	1
384	о полку	1	1
385	объясняется и	1	1
386	он должен	1	1
387	к разным	1	1
388	есть один	1	1
389	и более	1	1
390	новое и	1	1
391	существует и	1	1
392	чтобы в	1	1
393	нужные для	1	1
394	на этом	3	1
395	что она	3	1
396	жить в	1	1
397	не следует	2	1
398	том же	2	1
399	факт что	1	1
400	в духовной	1	1
401	задний план	1	1
402	на этой	3	1
403	себя не	1	1
404	его в	6	1
405	входит в	2	1
406	это было	1	1
407	заключается в	4	1
408	есть не	3	1
409	это не	8	1
410	было бы	5	1
411	на почве	5	1
412	не совпадает	1	1
413	лишь на	1	1
414	между отдельными	1	1
415	чаще всего	1	1
416	в жизни	1	1
417	культуры во	1	1
418	к области	1	1
419	о которых	2	1
420	она и	1	1
421	своему характеру	1	1
422	соответствии с	2	1
423	как видно	1	1
424	как и	5	1
425	во внимание	2	1
426	этим и	1	1
427	оно имеет	1	1
428	ни с	2	1
429	чем в	3	1
430	духовной жизни	3	1
431	должно быть	2	1
432	она была	2	1
433	и того	2	1
434	одного и	2	1
435	перед собой	1	1
436	особенно сильно	1	1
437	его нельзя	1	1
438	или вообще	5	1
439	от своего	1	1
440	в своей	4	1
441	что такое	10	1
442	в такой	1	1
443	в их	11	1
444	то для	1	1
445	прийти к	1	1
446	в отличие	3	1
447	должны были	1	1
448	труда и	1	1
449	в прямом	2	1
450	превратиться в	1	1
451	не могли	2	1
452	однако в	3	1
453	не должно	1	1
454	по себе	9	1
455	покоится на	1	1
456	этой области	3	1
457	а отсюда	2	1
458	что с	3	1
459	по языку	5	1
460	у этих	1	1
461	дело не	3	1
462	того как	3	1
463	в языках	1	1
464	уже очень	1	1
465	в учении	1	1
466	не по	1	1
467	в идее	1	1
468	всякого научного	1	1
469	следовательно и	1	1
470	судя по	1	1
471	далеком прошлом	1	1
472	казалось бы	2	1
473	в общих	1	1
474	данного народа	2	1
475	ничего не	2	1
476	котором здесь	2	1
477	под этим	1	1
478	невозможно но	2	1
479	которые и	1	1
480	ставит себе	1	1
481	за исключением	1	1
482	другой стороны	5	1
483	к этим	1	1
484	находит себе	2	1
485	только с	3	1
486	явлениями в	2	1
487	в каком	1	1
488	у нас	2	1
489	он вполне	1	1
490	и далее	2	1
491	которое в	2	1
492	развития тем	1	1
493	когда мы	2	1
494	с данной	1	1
495	могут быть	4	1
496	лежит в	2	1
497	как только	1	1
498	должны быть	1	1
499	и надо	1	1
500	образа или	1	1
501	этого и	1	1
502	по возможности	3	1
503	не есть	4	1
504	в строгом	3	1
505	восточных культур	1	1
506	в каждой	2	1
507	для себя	1	1
508	особенности этого	1	1
509	на нечто	1	1
510	значения и	1	1
511	которого мы	2	1
512	как не	1	1
513	свою очередь	1	1
514	здесь не	2	1
515	без всякого	1	1
516	в ее	11	1
517	данном случае	5	1
518	совершенно ясно	1	1
519	каждая такая	1	1
520	только то	1	1
521	в себя	1	1
522	во главе	1	1
523	идет речь	2	1
524	славянской и	2	1
525	прямом смысле	2	1
526	и совершенно	2	1
527	котором он	2	1
528	на совокупность	1	1
529	между русскими	2	1
530	нужно было	1	1
531	бытие не	1	1
532	том как	1	1
533	между собой	1	1
534	он сам	3	1
535	по мере	4	1
536	с ним	1	1
537	во-первых с	1	1
538	первом случае	2	1
539	в известных	2	1
540	и должно	1	1
541	и других	3	1
542	еще при	2	1
543	другими словами	1	1
544	настоящее время	1	1
545	все прочие	1	1
546	одного из	1	1
547	после того	2	1
548	других языках	1	1
549	в вопросах	1	1
550	времени в	3	1
551	своему значению	2	1
552	русской культурой	1	1
553	все в	1	1
554	каждом из	1	1
555	это изменение	1	1
556	связь между	4	1
557	с каким-нибудь	1	1
558	том или	1	1
559	тем или	1	1
560	во втором	2	1
561	отчет в	3	1
562	а потому	3	1
563	ними в	1	1
564	котором они	1	1
565	во всей	1	1
566	вполне ясно	1	1
567	язык в	1	1
568	них в	1	1
569	и об	1	1
570	как она	4	1
571	что здесь	2	1
572	от прочих	1	1
573	известно что	1	1
574	и прежде	1	1
575	обе эти	2	1
576	каком он	1	1
577	совсем не	3	1
578	мы видим	1	1
579	ценностей и	1	1
580	с ними	1	1
581	этот вопрос	4	1
582	дело с	6	1
583	что даже	2	1
584	как нечто	8	1
585	целого и	2	1
586	еще и	3	1
587	и так	1	1
588	до нас	3	1
589	согласно которой	1	1
590	по очереди	1	1
591	воплощения в	1	1
592	всех его	1	1
593	растворилась в	1	1
594	и ее	4	1
595	в уста	1	1
596	и его	5	1
597	прямо не	1	1
598	полку игореве	1	1
599	только на	3	1
600	чтобы он	2	1
601	языка как	2	1
602	только тогда	1	1
603	чем с	1	1
604	и скорее	1	1
605	при помощи	2	1
606	но совершенно	1	1
607	дает ему	1	1
608	участие в	1	1
609	с результатами	1	1
610	мы знаем	1	1
611	уважении к	1	1
612	который как	1	1
613	к мысли	1	1
614	представить себе	5	1
615	не означает	1	1
616	иначе как	1	1
617	и специальные	1	1
618	у него	1	1
619	менее совершенно	1	1
620	не похоже	1	1
621	и никогда	1	1
622	с системой	2	1
623	заметить что	1	1
624	как раз	4	1
625	тем что	6	1
626	всякий кто	1	1
627	тогда как	2	1
628	или ином	1	1
629	случае с	1	1
630	в очень	3	1
631	представляют собой	6	1
632	из двух	2	1
633	видно из	1	1
634	в каковом	1	1
635	но одно	1	1
636	а именно	6	1
637	свойствам их	1	1
638	из таких	1	1
639	себе задачей	2	1
640	же отличие	1	1
641	в соответствии	2	1
642	по тем	1	1
643	зависит от	3	1
644	жизнь в	1	1
645	одну из	1	1
646	о чем	4	1
647	на эту	1	1
648	различие между	1	1
649	и том	1	1
650	нечто вполне	1	1
651	так называемых	4	1
652	с помощью	1	1
653	в момент	1	1
654	все более	3	1
655	к лицу	1	1
656	в далеком	1	1
657	него в	2	1
658	от характера	3	1
659	с конца	2	1
660	всем что	1	1
661	тот факт	1	1
662	в европе	1	1
663	с этим	2	1
664	так называемая	2	1
665	в данном	11	1
666	и за	1	1
667	лицом к	1	1
668	в той	7	1
669	в особый	1	1
670	смысле этого	8	1
671	это есть	2	1
672	т.д в	1	1
673	да и	4	1
674	отношения к	1	1
675	к славянам	1	1
676	человека и	1	1
677	есть тот	1	1
678	здесь идет	1	1
679	и прочими	2	1
680	этого слова	2	1
681	здесь таким	1	1
682	на которой	1	1
683	но это	1	1
684	в одних	1	1
685	по образцу	1	1
686	помнить что	1	1
687	но для	1	1
688	понятия и	1	1
689	отдать себе	2	1
690	кроме того	1	1
691	мира в	1	1
692	народ но	1	1
693	случае между	1	1
694	которых он	1	1
695	не существует	2	1
696	на задний	1	1
697	это как	1	1
698	в настоящее	1	1
699	или иным	1	1
700	это уже	1	1
701	то о	2	1
702	находит свое	1	1
703	бы в	1	1
704	тем более	2	1
705	ни к	2	1
706	но зато	2	1
707	превратился в	1	1
708	же в	1	1
709	есть продукт	1	1
710	давно уже	1	1
711	не осталось	1	1
712	может и	1	1
713	не похожи	2	1
714	только как	6	1
715	состоит из	1	1
716	относящиеся к	3	1
717	впервые в	1	1
718	совершенно не	1	1
719	жизни а	1	1
720	культуры в	5	1
721	в свое	2	1
722	русскими и	2	1
723	есть то	1	1
724	вся история	1	1
725	с внешней	1	1
726	в какой-то	1	1
727	в своих	2	1
728	значение в	2	1
729	они не	1	1
