N	2gram	Berdyaev_N_1	Komedia
165	есть по	1	1
166	что новое	1	1
167	государства и	4	1
168	с этим	2	1
169	с собой	1	1
170	в своем	1	1
171	потребность в	1	1
172	говорит что	1	1
173	и к	5	1
174	жизни к	4	1
175	культуры и	7	1
176	он в	1	1
177	из этих	1	1
178	в древних	1	1
179	приводит к	1	1
180	роль в	2	1
181	не могла	2	1
182	идей и	1	1
183	до войны	1	1
184	политики и	2	1
185	к одному	1	1
186	возвращение к	3	1
187	по существу	2	1
188	нашего времени	2	1
189	не могли	2	1
190	подобно тому	3	1
191	людей и	1	1
192	что она	2	1
193	но все	1	1
194	человека в	1	1
195	значительной степени	1	1
196	что все	2	1
197	человек а	1	1
198	из духовной	1	1
199	война с	1	1
200	это было	3	1
201	на путь	1	1
202	цивилизации и	1	1
203	в жизни	5	1
204	нет в	1	1
205	античной культуры	1	1
206	с тем	3	1
207	всю жизнь	1	1
208	в эту	1	1
209	в этих	1	1
210	и немощен	1	1
211	но если	1	1
212	во времена	1	1
213	в отличие	1	1
214	особое место	1	1
215	войне и	1	1
216	и более	1	1
217	времени а	1	1
218	по себе	1	1
219	и очень	1	1
220	от своих	1	1
221	она могла	1	1
222	не по	1	1
223	античной цивилизации	1	1
224	между небом	1	1
225	также что	1	1
226	того чтобы	2	1
227	небом и	1	1
228	человека во	2	1
229	видят в	1	1
230	под этим	1	1
231	они являются	1	1
232	потом для	1	1
233	во всем	1	1
234	века с	1	1
235	женщины в	1	1
236	ему не	1	1
237	и для	4	1
238	к себе	1	1
239	не могут	1	1
240	принято считать	1	1
241	это конечно	1	1
242	демократии во	1	1
243	быть отнесены	1	1
244	идейной жизни	1	1
245	отказаться от	1	1
246	и это	2	1
247	их будет	1	1
248	же так	1	1
249	говорить о	1	1
250	ли есть	2	1
251	и когда	1	1
252	можно было	2	1
253	явлением хотя	1	1
254	мира и	2	1
255	и трудно	1	1
256	искусства философии	1	1
257	мира а	2	1
258	с ним	1	1
259	них не	1	1
260	познания и	2	1
261	до последних	1	1
262	которому не	2	1
263	еще при	1	1
264	не означает	3	1
265	и что	2	1
266	в значительной	1	1
267	которые могут	1	1
268	это была	1	1
269	споры о	2	1
270	жили в	1	1
271	и власть	1	1
272	на ее	1	1
273	я думаю	1	1
274	и только	1	1
275	нуждается в	1	1
276	хотя бы	2	1
277	наше время	4	1
278	во времени	1	1
279	он действует	1	1
280	к природе	1	1
281	вопрос об	1	1
282	себя в	2	1
283	в большинстве	1	1
284	отнести к	1	1
285	народы в	1	1
286	к своим	1	1
287	мир в	1	1
288	в политической	1	1
289	перед собой	1	1
290	друг друга	1	1
291	не случайно	1	1
292	и никакой	1	1
293	от того	1	1
294	для решения	1	1
295	перед ними	1	1
296	ее на	1	1
297	для того	1	1
298	все отрицательные	1	1
299	возможно что	1	1
300	на уровне	2	1
301	в высшей	6	1
302	было и	1	1
303	борьба за	1	1
304	к более	2	1
305	превращается в	1	1
306	страны в	1	1
307	долгое время	1	1
308	большинстве случаев	1	1
309	общества в	1	1
310	ближе к	1	1
311	не осталось	1	1
312	и она	1	1
313	эти слова	1	1
314	и а	1	1
315	и потому	4	1
316	политической жизни	1	1
317	века были	2	1
318	к жизни	3	1
319	в той	1	1
320	тому как	3	1
321	в это	1	1
322	что нет	1	1
323	одна десятая	1	1
324	за его	1	1
325	только одна	1	1
326	формы и	2	1
327	понять что	1	1
328	чтобы понять	1	1
329	это уже	1	1
330	в духе	3	1
331	или нет	1	1
332	к ее	3	1
333	не знает	6	1
334	сказать что	3	1
335	культуры в	5	1
336	всего как	1	1
337	ли он	1	1
338	на это	1	1
339	борьба и	2	1
340	в каком	1	1
341	жизни и	8	1
342	к этой	1	1
343	того времени	1	1
344	как на	1	1
345	земли и	1	1
346	том числе	1	1
347	они не	1	1
