N	2gram	Bakhtin_Pr_2	Mirosoze
641	которой мы	1	1
642	преступлении и	2	1
643	раскрывает и	1	1
644	нему нельзя	1	1
645	и только	1	1
646	тотчас же	2	1
647	достоевского это	2	1
648	наконец в	1	1
649	нем и	1	1
650	человека как	2	1
651	достоевского всюду	1	1
652	ну и	1	1
653	происходит в	1	1
654	борьбы за	1	1
655	только одной	1	1
656	вне себя	1	1
657	которым он	1	1
658	которых они	1	1
659	в какой	1	1
660	но ни	1	1
661	личности они	1	1
662	поэтому она	1	1
663	это очень	2	1
664	для раскольникова	1	1
665	за себя	2	1
666	нет бессмертия	2	1
667	бы ни	1	1
668	в голове	2	1
669	в уста	3	1
670	к идее	3	1
671	вернемся в	1	1
672	душу человека	1	1
673	идеи в	5	1
674	и у	2	1
675	и они	1	1
676	а напротив	1	1
677	очень существенное	1	1
678	на всякую	1	1
679	в противоречии	1	1
680	до предела	1	1
681	не из	1	1
682	не дает	1	1
683	живая жизнь	1	1
684	но есть	1	1
685	его и	3	1
686	это отрицание	1	1
687	образе христа	1	1
688	этом мире	1	1
689	мир в	2	1
690	был бы	1	1
691	а потому	2	1
692	смысл жизни	1	1
693	в письме	1	1
694	очень характерно	1	1
695	не они	1	1
696	идея на	1	1
697	в прошлом	1	1
698	у нее	1	1
699	смысле этого	2	1
700	для них	3	1
701	идея у	1	1
702	человек как	1	1
703	целиком в	1	1
704	людей не	1	1
705	отдельного человека	1	1
706	этом отношении	2	1
707	церкви и	1	1
708	протяжении всего	2	1
709	его личность	1	1
710	лишь для	1	1
711	как можно	1	1
712	правды и	1	1
713	жизнь как	1	1
714	являются все	1	1
715	но потому	1	1
716	обычном смысле	1	1
717	с другой	1	1
718	хоть и	3	1
719	в высшем	2	1
720	и прежде	2	1
721	характерно для	1	1
722	и быть	1	1
723	а с	3	1
724	окружающей его	1	1
725	он считал	1	1
726	природы человеческой	1	1
727	идея не	1	1
728	одного только	1	1
729	может ли	1	1
730	достоевского с	1	1
731	в бессмертие	2	1
732	о чем	1	1
733	на эту	1	1
734	человека или	1	1
735	действует в	1	1
736	и ему	1	1
737	настоящее и	1	1
738	связь с	2	1
739	он изображает	1	1
740	замкнутости и	1	1
741	все позволено	1	1
742	на самом	1	1
743	независимо от	1	1
744	в европе	1	1
745	в разговоре	1	1
746	и наказание	2	1
747	xix века	1	1
748	героев которые	1	1
749	ним как	1	1
750	в жизнь	1	1
751	видит в	1	1
752	сравнению с	2	1
753	в романах	8	1
754	и да	1	1
755	в той	3	1
756	это за	1	1
757	ставрогин иван	1	1
758	о человеке	1	1
759	него есть	1	1
760	чтобы сделать	1	1
761	стремления к	1	1
762	про себя	3	1
763	этого слова	2	1
764	есть правда	1	1
765	все это	5	1
766	я ты	1	1
767	письме к	1	1
768	она должна	1	1
769	происходит не	1	1
770	во мне	1	1
771	уж конечно	1	1
772	изменения в	1	1
773	идей или	1	1
774	сознания что	1	1
775	как теперь	1	1
776	о достоевском	1	1
777	той или	3	1
778	конце концов	3	1
779	мы должны	4	1
780	за него	1	1
781	его уже	1	1
782	человека она	1	1
783	только что	2	1
784	в мировом	1	1
785	все они	4	1
786	то стало	1	1
787	но сколько	1	1
788	не допускает	1	1
789	тут как	2	1
790	от всякого	1	1
791	с людьми	1	1
792	образ человека	2	1
793	нас удовлетворить	1	1
794	а о	3	1
795	в какие	1	1
796	между ними	4	1
797	две стороны	1	1
798	была бы	3	1
799	алеши и	1	1
800	не христианское	1	1
801	идея в	4	1
802	как люди	1	1
803	по которой	1	1
804	всего как	1	1
805	и жизнь	1	1
806	в свое	2	1
807	на своем	1	1
808	не сказал	1	1
809	нет этой	1	1
810	он предвидел	1	1
811	а может	3	1
812	к этой	2	1
813	видим в	1	1
814	и наказании	2	1
815	по поводу	1	1
816	соприкосновение с	1	1
817	дмитрия и	1	1
818	к этому	4	1
819	как на	2	1
820	которая не	2	1
