N	2gram	Medvedev_U_1	slovoVRo
113	же как	1	2
114	мы и	2	2
115	и то	3	2
116	в широком	2	2
117	он может	1	2
118	но не	2	2
119	сих пор	2	2
120	в известном	1	2
121	широком смысле	1	2
122	перестает быть	5	2
123	они в	1	2
124	том что	2	2
125	но он	1	2
126	друг другу	1	2
127	и форм	1	2
128	этого общего	1	2
129	вне его	1	2
130	у нас	3	2
131	правда не	1	2
132	но по	1	2
133	и лингвистика	1	2
134	можно сказать	1	2
135	нас в	2	2
136	между тем	2	2
137	с которыми	1	2
138	уже не	1	2
139	и у	2	2
140	в виде	1	2
141	или даже	1	2
142	вводится в	1	2
143	в последние	1	2
144	именно как	2	2
145	до сих	2	2
146	не есть	2	2
147	с другом	1	2
148	знает только	1	2
149	что все	2	2
150	в частности	3	2
151	его как	1	2
152	друг с	1	2
153	должно быть	1	2
154	этом случае	1	2
155	и слово	1	2
156	как раз	2	2
157	такое понимание	1	2
158	ни было	3	2
159	сказать что	1	2
160	и эта	1	2
161	к этому	1	2
162	сводится именно	1	1
163	художественного произведения	2	1
164	и через	2	1
165	понятом как	1	1
166	из самых	1	1
167	мировоззрения и	1	1
168	мы имеем	1	1
169	именно к	1	1
170	но даже	2	1
171	он был	1	1
172	бы то	3	1
173	стилистических приемов	5	1
174	учителя и	1	1
175	в сторону	2	1
176	не входит	1	1
177	в противовес	2	1
178	не все	2	1
179	его на	1	1
180	в значительной	1	1
181	в течение	1	1
182	и исторические	1	1
183	в противном	2	1
184	могли бы	2	1
185	что по	1	1
186	в этот	1	1
187	так или	1	1
188	имеем в	1	1
189	в этой	4	1
190	вне пределов	1	1
191	как основной	1	1
192	на то	1	1
193	что она	2	1
194	направлено на	1	1
195	не значит	1	1
196	ориентация на	1	1
197	или иных	2	1
198	то ни	3	1
199	и единого	1	1
200	форму и	2	1
201	содержание и	1	1
202	произведение как	1	1
203	этого не	1	1
204	и разнообразие	1	1
205	и вне	1	1
206	определений и	1	1
207	как целого	1	1
208	как таковой	2	1
209	но если	1	1
210	целого но	1	1
211	не столько	2	1
212	в которых	1	1
213	обращение к	1	1
214	по крайней	2	1
215	произведения в	1	1
216	знак равенства	1	1
217	оно конечно	1	1
218	и вся	1	1
219	к изучению	1	1
220	не столь	1	1
221	этом отношении	2	1
222	точном смысле	1	1
223	эстетический объект	1	1
224	очень часто	1	1
225	исходить из	1	1
226	данного произведения	1	1
227	те основные	1	1
228	этого и	1	1
229	и свое	1	1
230	и это	1	1
231	от произведения	1	1
232	в виду	1	1
233	же не	2	1
234	степени и	1	1
235	приводит к	1	1
236	и исторически	1	1
237	не предмет	1	1
238	оно все	1	1
239	авторской индивидуальности	1	1
240	является в	2	1
241	если бы	2	1
242	для этого	3	1
243	смысле и	1	1
244	установку на	2	1
245	сводится к	2	1
246	и что	1	1
247	находятся в	1	1
248	и содержание	1	1
249	в различных	1	1
250	это было	2	1
251	мнению не	1	1
252	этих слов	1	1
253	что и	2	1
254	у сервантеса	1	1
255	и только	5	1
256	крайней мере	2	1
257	которой все	1	1
258	а его	2	1
259	тот же	1	1
260	с каждым	1	1
261	поэзии слово	1	1
262	композиции в	1	1
263	и так	1	1
264	и строится	1	1
265	планах и	1	1
266	она строится	1	1
267	конечно нет	2	1
268	слова форма	1	1
269	но что	1	1
270	нет и	1	1
271	на лингвистику	1	1
272	или иначе	1	1
273	перестают быть	1	1
274	и прежде	1	1
275	и сплошь	1	1
276	работы по	2	1
277	что для	1	1
278	противном случае	2	1
279	то и	1	1
280	своем месте	1	1
281	и литературного	1	1
282	о чем	2	1
283	на эту	2	1
284	что мы	2	1
285	он и	1	1
286	относятся к	1	1
287	под понятие	1	1
288	образом на	1	1
289	не внешне	1	1
290	быть не	1	1
291	в эстетический	1	1
292	впрочем не	1	1
293	но это	2	1
294	тех или	2	1
295	в точном	1	1
296	тем более	1	1
297	о котором	1	1
298	бы в	1	1
299	пришлось бы	3	1
300	же в	1	1
301	чистое и	1	1
302	в системе	2	1
303	только как	1	1
304	состоит из	1	1
305	равно как	1	1
306	как на	1	1
307	в таком	1	1
308	все что	1	1
