N	2gram	Nazirov_Tr_1	VeschiIm
316	не имеет	2	1
317	например что	1	1
318	тогда и	1	1
319	на меня	2	1
320	она хочет	1	1
321	по своей	1	1
322	xix веке	2	1
323	и непосредственного	1	1
324	не могут	2	1
325	могут быть	1	1
326	уже было	1	1
327	утверждать что	1	1
328	мы опять-таки	1	1
329	самом общем	1	1
330	что вы	3	1
331	в применении	1	1
332	вы не	1	1
333	нас от	1	1
334	в конце	3	1
335	с каким	1	1
336	и от	1	1
337	только не	1	1
338	с самого	1	1
339	природе своей	1	1
340	в другом	1	1
341	на нее	1	1
342	отождествляется с	1	1
343	порожден и	1	1
344	когда в	1	1
345	быть может	1	1
346	но может	1	1
347	о нем	1	1
348	не был	2	1
349	вот почему	1	1
350	или от	1	1
351	знает но	1	1
352	которой сам	1	1
353	от силы	1	1
354	и который	1	1
355	а также	1	1
356	мы понимаем	1	1
357	нет это	1	1
358	связь между	1	1
359	же суть	1	1
360	нуждается в	1	1
361	общем смысле	1	1
362	сердца но	1	1
363	его собственная	1	1
364	в двух	1	1
365	понимание этого	1	1
366	своих прежних	1	1
367	нечто не	1	1
368	не было	1	1
369	с одной	1	1
370	именно на	1	1
371	известный образ	1	1
372	так можно	1	1
373	не знать	1	1
374	в виде	2	1
375	свидетельствует о	1	1
376	всяком случае	1	1
377	слова в	1	1
378	и один	1	1
379	и должна	1	1
380	как его	1	1
381	у него	6	1
382	этими словами	1	1
383	и вместе	1	1
384	ведь уже	1	1
385	понятие в	1	1
386	один в	3	1
387	и эту	1	1
388	говорит о	2	1
389	но все-таки	1	1
390	его как	1	1
391	с которым	1	1
392	я хочу	1	1
393	и она	1	1
394	а вы	1	1
395	совершенно в	1	1
396	может так	1	1
397	мы опять	1	1
398	смысле этого	1	1
399	применении к	1	1
400	очень важно	2	1
401	очевидно для	1	1
402	распадается на	1	1
403	и жизнь	1	1
404	этого слова	1	1
405	пусть она	1	1
406	на одной	1	1
407	этот образ	4	1
408	не является	1	1
409	его с	1	1
410	тот кто	1	1
411	не понимая	1	1
412	случае и	1	1
413	конце концов	1	1
414	оно начинает	1	1
415	очень хорошо	1	1
416	дело с	1	1
417	как есть	1	1
418	от природы	1	1
419	только о	2	1
420	к этой	1	1
421	важно но	1	1
422	и эта	1	1
423	это понятие	1	1
424	в таком	2	1
