N	2gram	Losev_Dial_3	VrazhdaK
292	в другой	1	1
293	тотчас же	1	1
294	и можно	2	1
295	все в	1	1
296	получается что	2	1
297	если это	1	1
298	к которому	1	1
299	в третий	2	1
300	тех пор	2	1
301	имеется в	3	1
302	этой аксиомы	1	1
303	но с	1	1
304	что только	1	1
305	оказалось что	2	1
306	не хотят	1	1
307	во всем	3	1
308	то он	1	1
309	и раньше	1	1
310	это же	3	1
311	в качестве	1	1
312	же он	2	1
313	себя в	2	1
314	своим собственным	2	1
315	на свое	1	1
316	а это	1	1
317	что для	5	1
318	забудем что	1	1
319	говорит о	4	1
320	никто не	2	1
321	мы находим	1	1
322	в одном	1	1
323	друг друга	3	1
324	каждый из	1	1
325	и никогда	1	1
326	не просто	18	1
327	от того	4	1
328	без внимания	1	1
329	в особенности	7	1
330	из двух	3	1
331	тогда это	2	1
332	с другой	4	1
333	именно в	2	1
334	все равно	2	1
335	такое же	1	1
336	души и	2	1
337	прежде всего	8	1
338	выше и	1	1
339	в стиле	1	1
340	у человека	2	1
341	бороться против	1	1
342	обычно не	2	1
343	что из	1	1
344	в подобных	1	1
345	– этого	1	1
346	нет ничего	9	1
347	в частности	2	1
348	материал и	1	1
349	развивать свои	1	1
350	или по	1	1
351	– не	7	1
352	из которых	3	1
353	не дают	1	1
354	с тех	2	1
355	я покажу	1	1
356	того что	12	1
357	вы только	1	1
358	я с	1	1
359	указанием на	1	1
360	с очень	1	1
361	в условиях	2	1
362	сих пор	1	1
363	оба они	1	1
364	у вас	1	1
365	но для	2	1
366	ближе к	1	1
367	глубине души	1	1
368	которых он	1	1
369	нем можно	2	1
370	и от	3	1
371	но на	2	1
372	– вы	1	1
373	людьми и	1	1
374	о котором	1	1
375	это во	1	1
376	человек и	1	1
377	тот кто	1	1
378	хотя и	5	1
379	христа и	1	1
380	бы в	2	1
381	он –	7	1
382	но зато	1	1
383	только что	4	1
384	уже давно	1	1
385	но вот	2	1
386	нам не	1	1
387	быть и	3	1
388	только как	5	1
389	другой стороны	2	1
390	бы его	2	1
391	из этого	2	1
392	только о	3	1
393	жизни и	5	1
394	к этой	2	1
395	у людей	1	1
396	который не	2	1
397	как на	5	1
398	в таком	14	1
399	точно так	2	1
400	все что	3	1
401	они не	2	1
