N	2gram	Medvedev_F_2	RusskieA
116	вывод что	1	3
117	приводит к	2	3
118	настоящее время	1	3
119	от них	1	3
120	полагая что	1	3
121	как например	2	3
122	по этому	2	3
123	в качестве	2	3
124	только на	3	3
125	слова в	3	3
126	к ним	1	3
127	в области	3	3
128	на этот	1	3
129	о чем	1	3
130	по происхождению	1	3
131	так же	1	3
132	других случаях	1	3
133	пишет в	1	3
134	этого слова	1	3
135	и некоторые	1	3
136	не будем	1	3
137	в настоящее	1	3
138	в целях	2	3
139	и к	4	3
140	в свою	1	3
141	но эти	1	3
142	как известно	1	2
143	можно говорить	2	2
144	например в	3	2
145	но тем	1	2
146	между двумя	2	2
147	к другому	2	2
148	возможность что	1	2
149	но она	1	2
150	что иное	1	2
151	их к	3	2
152	они были	2	2
153	как не	1	2
154	это время	2	2
155	в ней	6	2
156	он был	2	2
157	иное как	1	2
158	на самом	3	2
159	но не	2	2
160	значение и	3	2
161	не просто	2	2
162	отнюдь не	8	2
163	работа в	1	2
164	независимо от	4	2
165	что именно	2	2
166	с этим	5	2
167	хотя и	3	2
168	и как	3	2
169	в круг	1	2
170	его к	1	2
171	но в	4	2
172	так на	1	2
173	та же	2	2
174	в целом	3	2
175	все эти	6	2
176	в нашем	1	2
177	в дальнейшем	4	2
178	и до	3	2
179	как он	1	2
180	для обозначения	1	2
181	в нем	13	2
182	всех этих	3	2
183	и связанные	1	2
184	его от	4	2
185	в каждом	1	2
186	же не	1	2
187	главным образом	3	2
188	и с	9	2
189	разница между	2	2
190	многие другие	1	2
191	такой же	3	2
192	должны были	2	2
193	и более	2	2
194	для этого	2	2
195	она не	2	2
196	встречаются в	1	2
197	так называемый	1	2
198	но даже	1	2
199	и здесь	3	2
200	могут быть	6	2
201	они и	1	2
202	имеет место	1	2
203	ничего общего	1	2
204	как они	4	2
205	значения и	2	2
206	свою очередь	1	2
207	в в	2	2
208	в более	1	2
209	иногда в	1	2
210	подойти к	2	2
211	с ним	2	2
212	находится в	2	2
213	и поэтому	1	2
214	на что	1	2
215	в различных	1	2
216	должно было	3	2
217	этому поводу	1	2
218	в его	10	2
219	к ней	1	2
220	этот вопрос	2	2
221	в какой	3	2
222	но ни	1	2
223	их не	1	2
224	так что	1	2
225	в большинстве	4	2
226	борьбы с	2	2
227	за счет	4	2
228	этому вопросу	1	2
229	и никаких	1	2
230	и нового	2	2
231	но что	1	2
232	не было	6	2
233	в особенности	4	2
234	чем в	1	2
235	и пр	21	2
236	до конца	2	2
237	не на	1	2
238	а не	6	2
239	и непосредственно	1	2
240	его как	2	2
241	большинстве случаев	3	2
242	и многие	2	2
243	должна была	2	2
244	там где	4	2
245	быть и	3	2
246	судить о	1	2
247	к вопросу	1	2
248	и для	5	2
249	тем и	2	2
250	совершалось в	1	2
251	происхождению своему	1	2
252	или в	3	2
253	мы должны	1	2
254	не что	1	2
255	в своих	1	2
256	нас не	1	2
257	и методы	2	1
258	говоря о	1	1
259	и стараются	1	1
260	же как	3	1
261	таком случае	1	1
262	ими как	1	1
263	эти случаи	1	1
264	самом деле	8	1
265	только потому	1	1
266	же относятся	1	1
267	зависимости от	3	1
268	в первом	7	1
269	характерное для	1	1
270	по преимуществу	5	1
271	и ее	6	1
272	противном случае	1	1
273	оно было	1	1
274	должна быть	5	1
275	собственном смысле	1	1
276	поэзии и	1	1
277	самые разнообразные	1	1
278	этого нет	1	1
279	что если	1	1
280	не приходится	3	1
281	вопрос о	1	1
282	на место	1	1
283	из своих	1	1
284	этом не	1	1
285	смотрит в	1	1
286	говорить о	5	1
287	не вполне	1	1
288	и самой	1	1
289	нет но	1	1
290	которое в	1	1
291	же что	1	1
292	того же	1	1
293	в отличие	2	1
294	на них	1	1
295	ней как	1	1
296	именно эти	1	1
297	всего этого	5	1
298	в чем	2	1
299	с его	11	1
300	истории русского	1	1
301	особенно если	1	1
302	а только	2	1
303	с трудом	1	1
304	не путем	1	1
305	в общем	5	1
306	очевидно что	2	1
307	он пишет	2	1
308	отличие от	2	1
309	в истории	6	1
310	материал на	1	1
311	в м	1	1
312	что во	1	1
313	и соответствующих	1	1
314	общего с	1	1
315	то чем	1	1
316	показать что	1	1
317	значение его	1	1
318	заложен фундамент	1	1
319	изучение этого	1	1
320	к новому	1	1
321	однако не	3	1
322	в противном	1	1
323	перед нами	2	1
324	целый ряд	1	1
325	и наконец	4	1
326	тем же	3	1
327	против такого	1	1
328	увидим что	1	1
329	от этого	3	1
330	поэтому и	1	1
331	этот случай	1	1
332	можем судить	1	1
333	в которой	2	1
334	ни одна	2	1
335	эти отличия	1	1
336	то и	3	1
337	в себе	1	1
338	на то	1	1
339	вера в	1	1
340	он не	6	1
341	эти требования	1	1
342	он должен	1	1
343	не к	2	1
344	не как	4	1
345	интересами и	1	1
346	он просто	1	1
347	значение в	1	1
348	те же	1	1
349	влиять на	1	1
350	его в	3	1
351	на почве	9	1
352	должен был	2	1
353	и тем	2	1
354	и пытались	1	1
355	указаний на	1	1
356	ни в	2	1
357	приблизимся к	1	1
358	нет в	1	1
359	в этой	6	1
360	дела и	1	1
361	он и	3	1
362	мы видели	4	1
363	оно имеет	1	1
364	в развитии	2	1
365	форма и	1	1
366	смысл и	2	1
367	но если	1	1
368	и при	1	1
369	не здесь	1	1
370	и без	1	1
371	место в	3	1
372	не столько	4	1
373	дальнейшее развитие	1	1
374	народных песен	1	1
375	которые в	1	1
376	образом из	1	1
377	как поэтический	1	1
378	не могли	2	1
379	и под	1	1
380	они сами	1	1
381	сам он	2	1
382	значение слова	2	1
383	иной раз	1	1
384	виду что	1	1
385	в то	5	1
386	не о	4	1
387	и прочие	1	1
388	дело в	1	1
389	только из	1	1
390	велика она	1	1
391	ее с	2	1
392	и проследим	1	1
393	не по	2	1
394	в основе	5	1
395	к изучению	1	1
396	иметь в	1	1
397	работы но	1	1
398	вытекает из	1	1
399	мы указали	1	1
400	каждый из	3	1
401	все свои	1	1
402	есть разница	1	1
403	слова как	2	1
404	однако именно	1	1
405	явление в	1	1
406	их сходства	1	1
407	и его	21	1
408	к этим	1	1
409	и теперь	4	1
410	истории как	1	1
411	этом отношении	7	1
412	ни о	5	1
413	пишет для	1	1
414	содержанию и	2	1
415	можно думать	1	1
416	чтобы сделать	2	1
417	в сказках	1	1
418	должны быть	1	1
419	поэтический жанр	1	1
420	требования и	1	1
421	слова с	1	1
422	поэзии как	2	1
423	если же	2	1
424	смысле в	1	1
425	для себя	1	1
426	и это	2	1
427	они должны	2	1
428	из их	1	1
429	и о	2	1
430	по учению	4	1
431	в виду	2	1
432	и сами	1	1
433	данном случае	1	1
434	только при	1	1
435	в собственном	1	1
436	идет не	1	1
437	на свой	1	1
438	и сам	1	1
439	можно было	1	1
440	из всего	3	1
441	было в	2	1
442	каждого из	1	1
443	и мы	1	1
444	самого понятия	1	1
445	представляют собою	1	1
446	этим в	1	1
447	связанных с	1	1
448	во второй	2	1
449	если бы	5	1
450	стремление к	1	1
451	из основных	1	1
452	и нужно	2	1
453	только так	2	1
454	вот почему	1	1
455	это влияние	1	1
456	в раннем	1	1
457	и та	1	1
458	что каждый	1	1
459	ли не	1	1
460	можно сказать	1	1
461	и цели	1	1
462	к нему	3	1
463	не могло	1	1
464	и во	1	1
465	во втором	7	1
466	материал не	1	1
467	от одного	2	1
468	во всей	2	1
469	в форме	1	1
470	является по	1	1
471	что бы	1	1
472	и следовательно	1	1
473	вопросов и	1	1
474	было бы	6	1
475	это приводит	3	1
476	не так	2	1
477	дело так	1	1
478	как из	1	1
479	слово с	1	1
480	в отрыве	1	1
481	совсем не	2	1
482	тот же	1	1
483	или когда	1	1
484	что он	5	1
485	к их	1	1
486	и действительно	1	1
487	и так	1	1
488	он уже	1	1
489	и раньше	1	1
490	работе мы	1	1
491	точка зрения	1	1
492	том чтобы	1	1
493	совершенно естественно	1	1
494	уже в	2	1
495	или не	1	1
496	же в	1	1
497	только тогда	1	1
498	первые три	1	1
499	каким образом	1	1
500	смысла в	3	1
501	не дает	1	1
502	но совершенно	2	1
503	него нет	1	1
504	всяком случае	5	1
505	т п	9	1
506	и должна	1	1
507	какие-либо выводы	1	1
508	с этими	1	1
509	не могут	7	1
510	этом бою	1	1
511	к которому	1	1
512	были не	1	1
513	что не	4	1
514	что для	2	1
515	говорит о	1	1
516	по тем	1	1
517	и самый	1	1
518	однако и	3	1
519	в руках	1	1
520	точек зрения	1	1
521	первые два	1	1
522	значения между	1	1
523	пр и	4	1
524	совершенно очевидно	1	1
525	здесь следует	1	1
526	под влиянием	1	1
527	мы знаем	3	1
528	если не	1	1
529	разнообразны и	1	1
530	эта теория	1	1
531	сюда же	1	1
532	можно будет	2	1
533	в общую	1	1
534	надо было	1	1
535	но такое	1	1
536	в пределах	12	1
537	обратил внимание	1	1
538	в данном	1	1
539	не дают	1	1
540	можно согласиться	1	1
541	в той	2	1
542	и смысла	3	1
543	проблем не	1	1
544	в первой	1	1
545	как средство	1	1
546	как только	1	1
547	делается вывод	1	1
548	по композиции	1	1
549	слово для	1	1
550	но для	1	1
551	кроме того	2	1
552	ближе к	1	1
553	не является	3	1
554	только одна	1	1
555	форм и	1	1
556	к пониманию	1	1
557	при таком	1	1
558	а к	2	1
559	совершенно иное	1	1
560	оказалось что	1	1
561	от него	2	1
562	и все	3	1
563	важное значение	1	1
564	и стало	1	1
565	только с	1	1
566	этих сборников	1	1
567	и интересов	1	1
568	сделать вывод	1	1
569	но оно	1	1
570	иначе чем	1	1
571	согласиться с	1	1
572	нам не	1	1
573	слово в	2	1
574	это все	1	1
575	между ними	2	1
576	сказать что	2	1
577	только как	1	1
578	но никаких	1	1
579	является и	1	1
580	их теоретических	2	1
581	им не	1	1
582	оно не	4	1
583	только о	1	1
584	в работах	2	1
585	ли они	1	1
586	жизни и	3	1
587	в таком	2	1
588	именно здесь	2	1
589	они не	4	1
590	можно назвать	1	1
591	как на	1	1
592	во всяком	5	1
