N	2gram	Nazirov_Vr_1	Problema
167	тем что	3	2
168	в особенности	1	2
169	характерно для	1	2
170	души и	1	2
171	не было	5	2
172	в россии	5	2
173	в связи	3	2
174	человек в	1	2
175	в частности	1	2
176	из которых	1	2
177	о котором	1	2
178	но зато	1	2
179	в этих	1	2
180	в свою	2	2
181	материал и	1	2
182	в своих	4	2
183	к этому	3	2
184	а между	1	1
185	человека и	1	1
186	это и	1	1
187	случае о	1	1
188	русский город	1	1
189	из всех	1	1
190	из подполья	3	1
191	связан с	1	1
192	что уже	1	1
193	который был	3	1
194	с ее	1	1
195	такое же	1	1
196	него он	1	1
197	материала это	1	1
198	по своему	1	1
199	а следовательно	1	1
200	и всего	1	1
201	то он	1	1
202	преступление и	1	1
203	ли эта	1	1
204	идет о	1	1
205	в подобных	1	1
206	целый ряд	4	1
207	эту проблему	1	1
208	то в	1	1
209	нему с	1	1
210	всего романа	1	1
211	и я	1	1
212	то время	1	1
213	в этой	2	1
214	но он	3	1
215	чувств и	2	1
216	но ведь	1	1
217	как он	1	1
218	не могла	1	1
219	художником и	1	1
220	которой не	1	1
221	всех этих	1	1
222	всего то	1	1
223	в одну	2	1
224	это было	1	1
225	все равно	1	1
226	этого не	1	1
227	и уже	3	1
228	художник как	1	1
229	но я	1	1
230	которую он	1	1
231	можно найти	1	1
232	его отношение	1	1
233	он далеко	1	1
234	однако в	1	1
235	что есть	3	1
236	всех их	1	1
237	вплоть до	1	1
238	человека но	1	1
239	но для	1	1
240	как о	1	1
241	правда в	1	1
242	следовательно и	1	1
243	все свои	1	1
244	он оказался	1	1
245	и лишь	1	1
246	того в	1	1
247	во всей	1	1
248	в процессе	1	1
249	до того	1	1
250	ли это	1	1
251	ему не	1	1
252	в момент	2	1
253	этого и	1	1
254	его с	2	1
255	она же	1	1
256	п и	1	1
257	свою очередь	1	1
258	в в	2	1
259	если в	1	1
260	что у	3	1
261	на нее	1	1
262	было в	1	1
263	в одном	1	1
264	имеется в	1	1
265	это как	1	1
266	автора к	1	1
267	может в	1	1
268	художественные произведения	1	1
269	для нас	4	1
270	а также	2	1
271	вопросу о	1	1
272	и большой	1	1
273	говорить об	1	1
274	в глазах	2	1
275	и борьбы	1	1
276	быть и	1	1
277	человека с	2	1
278	для всех	1	1
279	уже не	2	1
280	своим собственным	1	1
281	только слова	1	1
282	в душе	1	1
283	из них	2	1
284	его и	2	1
285	для него	2	1
286	ее не	1	1
287	к ним	2	1
288	друг друга	1	1
289	каковы же	1	1
290	не просто	1	1
291	не подвергая	1	1
292	но поэзия	1	1
293	до сих	1	1
294	ли он	1	1
295	нас в	1	1
296	именно в	1	1
297	а о	1	1
298	затем в	1	1
299	только что	1	1
300	на этот	1	1
301	до конца	1	1
302	не совсем	1	1
303	с которым	2	1
304	одну из	1	1
305	о чем	2	1
306	вместе с	2	1
307	так же	4	1
308	без труда	1	1
309	для создания	1	1
310	в той	2	1
311	личность его	1	1
312	сих пор	1	1
313	понимание их	1	1
314	к вопросу	1	1
315	сам же	1	1
316	в поэме	1	1
317	это можно	1	1
318	на большую	1	1
319	ее и	1	1
320	у некоторых	1	1
321	бы в	1	1
322	еще более	1	1
323	хотя в	1	1
324	могли быть	2	1
325	отношении к	1	1
326	чисто художественном	1	1
327	личность и	2	1
328	и начинается	1	1
329	равно как	1	1
330	из этого	1	1
331	в свое	1	1
332	жизни и	1	1
333	к этой	1	1
334	с первого	1	1
335	это в	2	1
