1	а не	9	17
186	и быть	1	1
187	героя но	2	1
188	он в	4	1
189	одному из	1	1
190	по себе	3	1
191	по преимуществу	1	1
192	себя а	1	1
193	он и	5	1
194	или не	1	1
195	к нему	14	1
196	и их	1	1
197	нет ничего	1	1
198	себе всякое	1	1
199	только так	2	1
200	можно лишь	2	1
201	было бы	2	1
202	к одному	3	1
203	замечательно что	1	1
204	большинстве случаев	3	1
205	таков стиль	1	1
206	по многим	1	1
207	то он	1	1
208	всяком случае	5	1
209	давно уже	1	1
210	до сих	1	1
211	а во	1	1
212	но он	3	1
213	в котором	3	1
214	бы сказать	1	1
215	в которой	2	1
216	к чему	2	1
217	и мысли	2	1
218	будто бы	2	1
219	все в	1	1
220	в той	2	1
221	только в	6	1
222	себя на	1	1
223	отказаться от	2	1
224	в этот	2	1
225	но все	5	1
226	то это	1	1
227	дурная бесконечность	1	1
228	не хочет	2	1
229	в отличие	2	1
230	всего как	1	1
231	в сущности	11	1
232	выходит за	2	1
233	в формах	1	1
234	главной задачей	1	1
235	жизнь в	1	1
236	в значительной	1	1
237	но ведь	1	1
238	что его	3	1
239	от этой	2	1
240	и до	1	1
241	убеждения в	1	1
242	живое и	1	1
243	приводит к	1	1
244	значительной степени	1	1
245	мире а	2	1
246	ни одно	1	1
247	на нее	2	1
248	мы уже	6	1
249	власти и	1	1
250	было лишь	1	1
251	на себя	1	1
252	других людей	1	1
253	одну из	1	1
254	и нового	1	1
255	к той	1	1
256	это уже	2	1
257	нет в	2	1
258	и человека	1	1
259	с ним	8	1
260	не столько	1	1
261	в большинстве	2	1
262	но оно	1	1
263	же и	2	1
264	для себя	6	1
265	во всяком	5	1
266	во время	2	1
267	было и	2	1
268	ничем не	1	1
269	противостоит не	1	1
270	и этот	2	1
271	не с	2	1
272	направлена на	1	1
273	в самом	8	1
274	в виду	3	1
275	не были	1	1
276	обратиться к	1	1
277	уже давно	1	1
278	вселенной а	1	1
279	что не	7	1
280	него и	2	1
281	я могу	1	1
282	после катастрофы	1	1
283	вообще не	2	1
284	слова все	1	1
285	не верит	1	1
286	есть только	3	1
287	все еще	1	1
288	нуждается в	3	1
289	в свою	1	1
290	весь стиль	2	1
291	лишь на	2	1
292	он может	2	1
293	отличие от	2	1
294	эпохи не	1	1
295	был и	1	1
296	возможно лишь	1	1
297	уже в	3	1
298	человека в	1	1
299	характер и	3	1
300	всех своих	1	1
301	этого не	3	1
302	и его	16	1
303	во всем	3	1
304	в высшем	1	1
305	от жизни	1	1
306	и стремится	1	1
307	все более	1	1
308	дурной бесконечности	4	1
309	нас к	1	1
310	его религиозной	1	1
311	и более	1	1
312	говорит что	1	1
313	в конце	5	1
314	нет ни	2	1
315	сама себя	1	1
316	и во	3	1
317	в этой	1	1
318	жизни мир	1	1
319	своего рода	2	1
320	он есть	2	1
321	из их	1	1
322	к ней	2	1
323	переходит в	2	1
324	когда она	2	1
325	сих пор	1	1
326	может еще	1	1
327	борьба за	1	1
328	приходят в	1	1
329	есть еще	1	1
330	еще в	3	1
331	их в	3	1
332	это конечно	1	1
333	хочет его	1	1
334	к которому	2	1
335	в чем	5	1
336	не хочу	6	1
337	в эти	2	1
338	было быть	1	1
339	как например	1	1
340	особое место	1	1
341	оно должно	2	1
342	из них	5	1
343	из всех	1	1
344	смысле и	1	1
345	себя и	8	1
346	тоже не	1	1
347	стиль ее	2	1
348	него как	1	1
349	бы он	4	1
350	в его	22	1
351	и у	5	1
352	а во-вторых	1	1
353	нет у	1	1
354	не могу	3	1
355	а к	2	1
356	тут мы	1	1
357	слова в	7	1
358	пр в	1	1
359	говорить о	3	1
360	менее всего	1	1
361	не для	2	1
362	для всех	1	1
363	эти слова	3	1
364	представляется еще	1	1
365	не случайно	1	1
366	мы должны	5	1
367	как на	2	1
368	можно сказать	1	1
369	к дурной	2	1
370	не способен	1	1
371	что он	23	1
372	что будет	1	1
373	одного и	1	1
374	не их	1	1
375	с другими	4	1
376	не удалось	2	1
377	только для	1	1
378	к внутренней	1	1
379	зависимость от	2	1
380	а само	1	1
381	черты и	1	1
382	он узнает	1	1
383	друг друга	2	1
384	я ни	1	1
385	в силах	2	1
386	в социальной	1	1
387	к последнему	1	1
388	которые будут	1	1
389	вопрос об	1	1
390	нем не	1	1
391	в этих	1	1
392	в нее	1	1
393	и вместе	1	1
394	в речах	8	1
395	заключает в	1	1
396	обращения к	1	1
397	в своем	2	1
398	что этот	1	1
399	разложения и	1	1
400	и мир	2	1
401	по своей	1	1
402	вступает в	2	1
403	не имел	1	1
404	в эту	1	1
405	на нем	1	1
406	того же	2	1
407	как я	3	1
408	и только	2	1
409	человек не	1	1
410	я хочу	2	1
411	хочет и	1	1
412	знает что	3	1
413	которая в	1	1
414	не верят	1	1
415	перед собой	1	1
416	для того	1	1
417	так как	4	1
418	них не	1	1
419	для другого	2	1
