N	2gram	Trubetskoy_1	VrazhdaK
124	это в	2	2
125	себя как	2	1
126	а между	5	1
127	от этой	2	1
128	вряд ли	3	1
129	ко всем	3	1
130	также и	1	1
131	постепенно в	1	1
132	того же	1	1
133	к своей	1	1
134	это и	1	1
135	идет о	1	1
136	и есть	2	1
137	ему что	1	1
138	не хочет	1	1
139	свое место	1	1
140	в их	4	1
141	из всех	2	1
142	он как	1	1
143	говорить о	3	1
144	в полной	1	1
145	в разные	1	1
146	это отношение	1	1
147	событий и	1	1
148	с исторической	1	1
149	а другие	1	1
150	собой в	1	1
151	на них	1	1
152	по своему	1	1
153	а следовательно	3	1
154	но не	4	1
155	в сторону	1	1
156	если в	6	1
157	и т.д	4	1
158	при сильном	1	1
159	есть по	1	1
160	что они	3	1
161	первый взгляд	1	1
162	для русской	2	1
163	с этим	2	1
164	для создания	1	1
165	для всех	6	1
166	по которому	1	1
167	что ее	1	1
168	и наконец	2	1
169	себе на	1	1
170	не являются	1	1
171	христианство с	1	1
172	то в	3	1
173	в самом	3	1
174	что это	3	1
175	не был	1	1
176	что же	4	1
177	выражение в	1	1
178	тому же	1	1
179	во многих	2	1
180	но ведь	1	1
181	он всегда	1	1
182	не могла	1	1
183	да и	3	1
184	от которого	1	1
185	одному из	2	1
186	всех этих	3	1
187	же это	1	1
188	прочим и	1	1
189	пор мы	1	1
190	в силу	2	1
191	с социализмом	1	1
192	что ни	1	1
193	никому не	1	1
194	и этот	3	1
195	людей и	2	1
196	это конечно	1	1
197	не будет	7	1
198	никто из	1	1
199	их и	1	1
200	самим собой	12	1
201	говорить не	1	1
202	заключается в	1	1
203	следить за	1	1
204	было бы	5	1
205	россия в	1	1
206	в жизни	1	1
207	этого не	2	1
208	а за	1	1
209	не всегда	1	1
210	которой он	4	1
211	не противоречат	1	1
212	такой же	1	1
213	одного и	1	1
214	в этих	2	1
215	и личные	1	1
216	и их	1	1
217	что о	1	1
218	всяком случае	6	1
219	на свою	1	1
220	представление о	1	1
221	он принимает	1	1
222	тем не	1	1
223	по крайней	1	1
224	для россии	2	1
225	нетрудно заметить	1	1
226	всех их	1	1
227	тем самым	2	1
228	что эта	1	1
229	от нас	2	1
230	в какую-то	1	1
231	было не	1	1
232	только не	1	1
233	следовательно и	2	1
234	не учитывать	1	1
235	это то	1	1
236	более что	1	1
237	на россию	2	1
238	по своей	1	1
239	потому что	5	1
240	хочет быть	1	1
241	существуют в	1	1
242	этом отношении	1	1
243	ли это	4	1
244	вот в	1	1
245	только от	1	1
246	в духе	1	1
247	могут быть	1	1
248	похож на	1	1
249	отличается от	2	1
250	этого и	1	1
251	не есть	3	1
252	действительно можно	1	1
253	россию и	2	1
254	у себя	1	1
255	с ее	1	1
256	свою очередь	1	1
257	но при	1	1
258	это будет	1	1
259	в ее	1	1
260	только при	1	1
261	не могло	1	1
262	но мы	3	1
263	идет не	1	1
264	роль в	1	1
265	верит в	1	1
266	так и	1	1
267	ясно что	2	1
268	всеми силами	1	1
269	быть может	1	1
270	может в	1	1
271	во всяком	9	1
272	с тою	1	1
273	в будущее	1	1
274	его жизни	1	1
275	до сих	5	1
276	при полном	2	1
277	вопросу о	3	1
278	между нами	1	1
279	к нему	2	1
280	во всех	5	1
281	от них	1	1
282	единственно возможной	1	1
283	крайней мере	1	1
284	в свете	1	1
285	к которому	1	1
286	один из	1	1
287	что только	2	1
288	тому назад	1	1
289	во всем	4	1
290	это же	1	1
291	границей и	1	1
292	в качестве	3	1
293	же он	1	1
294	себя в	4	1
295	большинство русской	1	1
296	своим собственным	1	1
297	самым он	1	1
298	прямо в	1	1
299	тем чтобы	3	1
300	на свое	1	1
301	хотя в	1	1
302	а это	1	1
303	к своим	1	1
304	что для	3	1
305	несомненно в	1	1
306	в известной	1	1
307	ее не	1	1
308	но которая	1	1
309	друг друга	3	1
310	не просто	2	1
311	от того	4	1
312	из двух	1	1
313	связан с	1	1
314	тогда это	1	1
315	о своей	1	1
316	с другой	1	1
317	именно в	3	1
318	все равно	1	1
319	души и	1	1
320	россии а	3	1
321	европы и	1	1
322	прежде всего	8	1
323	россию в	3	1
324	на этот	1	1
325	до конца	1	1
326	не об	1	1
327	себя на	2	1
328	в частности	2	1
329	с идеями	1	1
330	человека к	1	1
331	– не	2	1
332	из которых	5	1
333	разочарование в	1	1
334	и довольно	1	1
335	того что	3	1
336	был в	1	1
337	сих пор	5	1
338	между прочим	1	1
339	но для	2	1
340	к вопросу	4	1
341	ближе к	1	1
342	которых он	1	1
343	и от	2	1
344	но на	1	1
345	русское правительство	3	1
346	о котором	3	1
347	это как	1	1
348	человек и	1	1
349	тот кто	1	1
350	ее и	1	1
351	у некоторых	1	1
352	бы в	1	1
353	конце концов	3	1
354	отношении к	2	1
355	своего народа	6	1
356	нем самом	1	1
357	а о	1	1
358	быть и	2	1
359	бы его	2	1
360	из этого	3	1
361	жизни и	4	1
362	к этой	4	1
363	как на	8	1
364	в таком	2	1
365	точно так	2	1
366	все что	4	1
367	они не	1	1
