N	2gram	Savitsky_E_1	SlovoVZh
331	несмотря на	4	1
332	они являются	1	1
333	если этот	2	1
334	к некоторому	1	1
335	так называемый	1	1
336	и было	1	1
337	него не	1	1
338	в изучении	1	1
339	и некоторые	3	1
340	в истории	2	1
341	и того	2	1
342	мы видели	3	1
343	или менее	1	1
344	нужно думать	2	1
345	все более	9	1
346	но если	5	1
347	в частности	5	1
348	видели в	1	1
349	одну доску	1	1
350	именно и	1	1
351	как одно	1	1
352	относятся к	2	1
353	то есть	6	1
354	других областей	1	1
355	она в	3	1
356	не могут	2	1
357	подобно этому	1	1
358	признать что	1	1
359	наряду с	2	1
360	товара из	1	1
361	этого содержания	1	1
362	ни была	1	1
363	и тот	1	1
364	которые в	1	1
365	лучшем случае	1	1
366	и должна	1	1
367	для нее	1	1
368	с так	1	1
369	или хотя	2	1
370	что современная	1	1
371	начинает стремиться	1	1
372	и таким	2	1
373	вне ее	1	1
374	в смысле	9	1
375	в обоих	1	1
376	в противном	1	1
377	здесь на	1	1
378	тех или	1	1
379	и химические	1	1
380	не является	3	1
381	в основе	1	1
382	только одна	1	1
383	время как	1	1
384	наблюдений над	1	1
385	при таком	1	1
386	того чтобы	6	1
387	лицо и	1	1
388	для всего	1	1
389	это мы	1	1
390	рассматривать как	1	1
391	в результате	3	1
392	только и	1	1
393	в качестве	14	1
394	же время	14	1
395	особого рода	1	1
396	еще более	2	1
397	тем более	4	1
398	мы должны	2	1
399	по своей	2	1
400	бы по	1	1
401	связи с	1	1
402	участие в	2	1
403	к попытке	1	1
404	обстоит дело	3	1
405	следует отметить	2	1
406	в свою	3	1
407	уже и	3	1
408	как будто	2	1
409	этом отношении	3	1
410	жизни в	3	1
411	в области	11	1
412	приближается к	3	1
413	свое значение	1	1
414	с ней	1	1
415	у нас	1	1
416	и дальнейшее	1	1
417	и сейчас	2	1
418	его для	1	1
419	когда мы	1	1
420	есть только	1	1
421	или иного	4	1
422	культуры в	4	1
423	время не	1	1
424	должны быть	1	1
425	живет и	1	1
426	включает в	1	1
427	частности в	2	1
428	что оно	1	1
429	но из	1	1
430	и эта	2	1
431	как некая	1	1
432	в таком	3	1
433	во всяком	3	1
434	вполне понятно	1	1
435	к тому	8	1
