N	2gram	Potebnia_M_4	NovoeSre
354	и мир	1	1
355	власть над	1	1
356	дальнейшее развитие	1	1
357	у нас	2	1
358	в силу	7	1
359	оно должно	1	1
360	но он	1	1
361	о человеке	3	1
362	быть только	1	1
363	эту мысль	2	1
364	мы должны	2	1
365	и более	4	1
366	есть еще	1	1
367	их в	3	1
368	что этот	1	1
369	в состоянии	2	1
370	том смысле	2	1
371	быть не	2	1
372	по себе	11	1
373	есть всегда	3	1
374	в это	2	1
375	в той	4	1
376	и стремится	1	1
377	сих пор	4	1
378	так как	14	1
379	что совершается	1	1
380	человечества и	1	1
381	о формах	1	1
382	должны быть	3	1
383	мире а	1	1
384	в сущности	2	1
385	в более	2	1
386	не по	1	1
387	предположении что	1	1
388	и имеет	1	1
389	до сих	4	1
390	совершается в	1	1
391	того и	1	1
392	о природе	1	1
393	которая в	1	1
394	чтобы понять	2	1
395	никогда еще	2	1
396	что сами	1	1
397	бы он	1	1
398	или нет	1	1
399	к ней	2	1
400	и его	2	1
401	а также	1	1
402	или не	1	1
403	есть уже	4	1
404	все более	3	1
405	для другого	1	1
406	давно уже	3	1
407	смысле в	1	1
408	в области	2	1
409	нет ничего	3	1
410	в каком	4	1
411	в свою	2	1
412	от всех	1	1
413	но можно	1	1
414	того же	1	1
415	есть только	5	1
416	и вполне	2	1
417	есть признак	1	1
418	сторона жизни	1	1
419	есть и	2	1
420	про себя	1	1
421	людей но	1	1
422	и дух	1	1
423	в которой	6	1
424	числе и	1	1
425	мысли но	4	1
426	движение мысли	1	1
427	всегда есть	1	1
428	эти слова	1	1
429	тогда не	1	1
430	формы мысли	1	1
431	жизни без	1	1
432	во всяком	5	1
433	всегда процесс	1	1
434	случае если	1	1
435	оно не	2	1
436	но сама	2	1
437	как на	1	1
438	все что	2	1
439	том числе	1	1
