N	2gram	Nazirov_Tr_1	Marksizm
124	характерно что	1	3
125	в высшей	1	3
126	не было	1	3
127	для понимания	1	3
128	должно быть	3	3
129	и от	1	3
130	как система	1	3
131	что оно	1	3
132	только что	1	3
133	во всяком	1	3
134	одним из	1	2
135	вопрос о	2	2
136	и он	3	2
137	он был	2	2
138	но как	1	2
139	значение и	1	2
140	опирается на	1	2
141	в своем	3	2
142	что это	5	2
143	бы не	1	2
144	им как	1	2
145	и с	7	2
146	на все	1	2
147	то есть	3	2
148	это было	1	2
149	рядом с	1	2
150	и потому	1	2
151	он и	2	2
152	но они	2	2
153	или как	1	2
154	ли это	1	2
155	и о	1	2
156	и даже	4	2
157	к проблемам	1	2
158	всяком случае	1	2
159	все время	1	2
160	но не	1	2
161	это же	1	2
162	уже в	3	2
163	в виде	2	2
164	свидетельствует о	1	2
165	за бортом	1	2
166	не так	2	2
167	друг друга	2	2
168	у него	6	2
169	тем что	2	2
170	в особенности	1	2
171	именно в	1	2
172	что не	1	2
173	до конца	2	2
174	о чем	3	2
175	мы встречаем	1	2
176	вместе с	1	2
177	и особенно	1	2
178	ко всем	1	2
179	xix века	1	2
180	распадается на	1	2
181	от него	1	2
182	что в	4	2
183	и эта	1	2
184	например в	1	1
185	xvii века	1	1
186	человека и	1	1
187	сам по	1	1
188	то в	1	1
189	также что	1	1
190	проникает в	1	1
191	что эти	2	1
192	и за	2	1
193	и могут	1	1
194	что уже	1	1
195	как во	1	1
196	исторический контекст	1	1
197	подчеркнуть что	1	1
198	из ее	1	1
199	откуда же	1	1
200	но при	2	1
201	между собой	1	1
202	всего этого	1	1
203	в голове	1	1
204	руку и	1	1
205	всю эту	1	1
206	и я	2	1
207	в центре	1	1
208	эта связь	1	1
209	как в	3	1
210	что именно	1	1
211	– но	1	1
212	является чисто	1	1
213	и наконец	1	1
214	в реальный	1	1
215	и хотя	1	1
216	добро и	1	1
217	сливается с	1	1
218	в которой	1	1
219	как это	3	1
220	выступления в	1	1
221	но без	1	1
222	всем его	1	1
223	как он	1	1
224	не могла	1	1
225	и если	1	1
226	вообще не	1	1
227	что она	2	1
228	перестает быть	1	1
229	не значит	1	1
230	к одному	1	1
231	и вот	1	1
232	по всем	1	1
233	последнее слово	1	1
234	но все	2	1
235	же не	1	1
236	самого автора	1	1
237	им же	1	1
238	не нашел	1	1
239	заключается в	1	1
240	он есть	1	1
241	приходит в	1	1
242	к области	2	1
243	но уже	1	1
244	в них	1	1
245	нет в	2	1
246	и внутренним	1	1
247	с тем	2	1
248	которой он	1	1
249	и вне	1	1
250	несмотря на	5	1
251	все это	4	1
252	к истории	1	1
253	почти не	1	1
254	не столько	1	1
255	значение для	1	1
256	не менее	1	1
257	не понимает	1	1
258	но он	1	1
259	тем не	1	1
260	не могли	1	1
261	это выражение	1	1
262	нет тайн	1	1
263	говорит по	1	1
264	что эта	1	1
265	что с	3	1
266	этого социального	1	1
267	и притом	1	1
268	идет в	1	1
269	но только	1	1
270	и всегда	1	1
271	в самой	1	1
272	на себя	1	1
273	и добро	1	1
274	с визгом	1	1
275	достоевский в	7	1
276	по нашему	1	1
277	в духе	1	1
278	не могут	2	1
279	мы узнаем	1	1
280	что все	2	1
281	уже было	1	1
282	его с	1	1
283	я вдруг	1	1
284	такие как	1	1
285	говорили что	1	1
286	роль в	1	1
287	повиновения и	1	1
288	и сам	3	1
289	в иной	1	1
290	на нее	1	1
291	было в	2	1
292	еще в	2	1
293	когда в	1	1
294	по сравнению	1	1
295	понятно что	1	1
296	с ним	3	1
297	но может	1	1
298	мысль о	1	1
299	ситуации и	1	1
300	и что	4	1
301	для публики	1	1
302	нет это	1	1
303	теме в	1	1
304	мы понимаем	1	1
305	нуждается в	1	1
306	так обстоит	1	1
307	сильнее и	1	1
308	мысль он	1	1
309	не сводится	1	1
310	и женщины	1	1
311	мы видим	1	1
312	дело с	1	1
313	в обществе	1	1
314	всегда с	1	1
315	именно на	1	1
316	так что	2	1
317	есть в	1	1
318	и др	1	1
319	уже не	2	1
320	так можно	1	1
321	не из	1	1
322	одно из	1	1
323	могло бы	1	1
324	в одном	2	1
325	и должна	1	1
326	ее не	1	1
327	к ним	1	1
328	на меня	2	1
329	чувствует себя	1	1
330	факт в	1	1
331	в каких	1	1
332	нет эта	1	1
333	как же	2	1
334	говорит о	2	1
335	на общество	1	1
336	в стиле	1	1
337	это говорит	1	1
338	а на	1	1
339	этого не	1	1
340	его как	1	1
341	ориентация на	1	1
342	себя на	1	1
343	недоразумение и	1	1
344	к себе	1	1
345	может так	1	1
346	к жизни	5	1
347	сравнению с	1	1
348	слова он	1	1
349	xix век	1	1
350	он повторяет	1	1
351	строится как	1	1
352	быть не	1	1
353	в это	2	1
354	этом случае	1	1
355	в условиях	1	1
356	в целом	4	1
357	но это	4	1
358	и зло	1	1
359	является ли	1	1
360	известной степени	1	1
361	что ж	1	1
362	где и	1	1
363	об отношении	1	1
364	это часто	1	1
365	у достоевского	5	1
366	потому что	2	1
367	по самой	1	1
368	только по	1	1
369	б это	1	1
370	оно начинает	1	1
371	обстоит дело	1	1
372	к ее	1	1
373	жизни в	1	1
374	героя и	1	1
375	него нет	1	1
376	самой своей	1	1
377	этом мы	1	1
378	в кругу	1	1
379	это и	1	1
380	по поводу	2	1
