N	2gram	Savitsky_P_1	StatiiOP
253	не очень	1	1
254	с тем	3	1
255	нет никакого	1	1
256	притом в	1	1
257	с величайшим	1	1
258	не верить	1	1
259	в свете	1	1
260	что называют	1	1
261	недостаточно для	1	1
262	время в	2	1
263	всего что	1	1
264	вместе с	1	1
265	этом смысле	1	1
266	или иной	1	1
267	важнее всего	1	1
268	и притом	1	1
269	бы оно	1	1
270	в ином	1	1
271	сами по	3	1
272	но как	1	1
273	наука и	1	1
274	хотя и	3	1
275	по всему	1	1
276	усомниться в	1	1
277	стороны и	2	1
278	в момент	1	1
279	на себя	1	1
280	где в	2	1
281	иными словами	1	1
282	в современной	1	1
283	они не	1	1
284	и при	1	1
285	такова же	1	1
286	которой в	1	1
287	лиц и	1	1
288	именно на	1	1
289	тогда когда	1	1
290	можно говорить	1	1
291	на пространстве	1	1
292	почти исключительно	1	1
293	что его	1	1
294	относиться к	1	1
295	в прошлом	1	1
296	вообще можно	1	1
297	что было	1	1
298	и о	5	1
299	но к	2	1
300	под его	1	1
301	и который	1	1
302	очень и	1	1
303	на основе	1	1
304	на основании	1	1
305	всеми его	1	1
306	на две	1	1
307	в выборе	2	1
308	но каждый	1	1
309	к ним	1	1
310	не столько	2	1
311	представить себе	1	1
312	россии в	5	1
313	не о	2	1
314	в перспективе	2	1
315	xix века	6	1
316	в наши	1	1
317	в них	2	1
318	и другим	1	1
319	но о	2	1
320	с того	1	1
321	одна из	2	1
322	непременно и	1	1
323	г а	1	1
324	и тех	1	1
325	и других	2	1
326	в настоящее	1	1
327	она ни	2	1
328	что именно	1	1
329	а л	4	1
330	тем и	1	1
331	во всей	2	1
332	когда и	1	1
333	в иной	1	1
334	и на	1	1
335	исключительно в	2	1
336	и этим	1	1
337	бы она	1	1
338	того чем	1	1
339	как известно	1	1
340	к истине	1	1
341	не как	1	1
342	не просто	1	1
343	сколько бы	2	1
344	далеко не	1	1
345	в это	1	1
346	оказаться в	1	1
347	них в	1	1
348	с его	1	1
349	одних и	2	1
350	когда в	1	1
351	в известном	1	1
352	без того	1	1
353	сомнения что	2	1
354	чем как	1	1
355	в число	1	1
356	судить по	1	1
357	последующих годов	1	1
358	себя в	1	1
359	этом не	1	1
360	и к	4	1
361	и есть	2	1
362	более раннего	1	1
363	них и	1	1
364	законченные и	1	1
365	половины xix	1	1
366	если мы	1	1
367	пусть в	1	1
368	очень далеко	1	1
369	зрения той	1	1
370	xviii и	1	1
371	были бы	1	1
372	обратиться к	1	1
373	что каждая	1	1
374	котором говорит	1	1
375	факты в	1	1
376	при посредстве	2	1
377	мысль о	2	1
378	еще в	1	1
379	и ц	2	1
380	в случаях	1	1
381	в развитии	1	1
382	в русской	4	1
