N	2gram	Berdyaev_N_1	Literetu
245	не имеет	4	1
246	эпохи в	1	1
247	и xx	4	1
248	во всем	1	1
249	как ни	1	1
250	не по	1	1
251	века не	1	1
252	в будущем	2	1
253	ему не	1	1
254	к той	1	1
255	когда мы	2	1
256	и всех	1	1
257	ему все	1	1
258	сама жизнь	2	1
259	значительной степени	1	1
260	жить в	1	1
261	более не	2	1
262	в виду	1	1
263	не человек	2	1
264	и от	2	1
265	чтобы быть	1	1
266	есть конец	3	1
267	природе своей	1	1
268	с собой	1	1
269	на заре	1	1
270	времени и	2	1
271	культуры на	1	1
272	века как	1	1
273	который я	1	1
274	для этого	2	1
275	мы живем	5	1
276	познания и	2	1
277	самой жизни	2	1
278	власти в	1	1
279	вождя и	1	1
280	в значительной	1	1
281	времени в	2	1
282	само существование	1	1
283	пути я	1	1
284	нет у	1	1
285	а во	1	1
286	на нее	1	1
287	быть готовым	1	1
288	людей в	1	1
289	нуждается в	1	1
290	и она	1	1
291	и мир	1	1
292	к нему	1	1
293	жизни его	1	1
294	будто бы	1	1
295	и изнутри	1	1
296	в обществе	2	1
297	xix и	4	1
298	по небу	1	1
299	в эти	1	1
300	вот этот	1	1
301	этой системе	1	1
302	для всех	1	1
303	есть в	2	1
304	переходит в	1	1
305	и у	1	1
306	существу своему	1	1
307	приобщиться к	2	1
308	на протяжении	2	1
309	истории для	1	1
310	и их	1	1
311	в котором	1	1
312	так как	1	1
313	друг друга	1	1
314	бытия и	1	1
315	у него	2	1
316	связано с	1	1
317	превращается в	1	1
318	не были	1	1
319	ней и	1	1
320	на уровне	2	1
321	в истинном	1	1
322	пришли к	1	1
323	новый мир	1	1
324	и быть	1	1
325	в гг	1	1
326	борьба за	1	1
327	на поверхности	1	1
328	социальной жизни	1	1
329	обратиться к	1	1
330	к более	2	1
331	ничем не	1	1
332	не было	4	1
333	с тем	3	1
334	не на	1	1
335	власти и	1	1
336	от мира	1	1
337	далеко еще	1	1
338	цели это	1	1
339	и ему	1	1
340	народов и	1	1
341	возможен лишь	1	1
342	рода и	1	1
343	нет ни	1	1
344	воли к	4	1
345	конечно не	3	1
346	именующий себя	1	1
347	есть результат	1	1
348	в той	1	1
349	есть только	1	1
350	истории которые	1	1
351	это значит	1	1
352	и было	2	1
353	жизни во	1	1
354	мира с	1	1
355	все это	5	1
356	о свободе	1	1
357	общественной жизни	6	1
358	неба и	1	1
359	исторический период	1	1
360	это уже	1	1
361	и более	1	1
362	совершается в	1	1
363	в обнаружении	1	1
364	себя на	1	1
365	которая в	1	1
366	свидетельствует о	1	1
367	истории это	3	1
368	и все	4	1
369	в этих	1	1
370	духовного и	2	1
371	хотя бы	2	1
372	в зависимость	1	1
373	тут мы	1	1
374	потребность в	1	1
375	человека не	1	1
376	не есть	3	1
377	себе и	1	1
378	к ее	3	1
379	нет ничего	1	1
380	в период	1	1
381	сказать что	3	1
382	партии и	1	1
383	культуры в	5	1
384	есть и	1	1
385	к этой	1	1
386	того времени	1	1
387	всякого духовного	1	1
388	который не	1	1
389	жизни этих	1	1
390	они не	1	1
