N	2gram	Losev_Vesc_1	NovoeSre
377	в энергию	1	1
378	природу и	1	1
379	она могла	2	1
380	духовная сила	1	1
381	есть прежде	2	1
382	должны быть	4	1
383	она должна	2	1
384	в сущности	4	1
385	в более	1	1
386	это уже	1	1
387	от жизни	1	1
388	и отдельных	1	1
389	и бытия	2	1
390	типов культуры	1	1
391	основная проблема	1	1
392	до сих	1	1
393	основанная на	1	1
394	из их	1	1
395	если взять	1	1
396	и никакой	1	1
397	того и	2	1
398	о природе	1	1
399	которая в	1	1
400	понята как	1	1
401	верят в	1	1
402	к ней	2	1
403	своей природе	1	1
404	я хочу	5	1
405	чтобы эти	1	1
406	логики и	1	1
407	и его	2	1
408	тут мы	4	1
409	а также	1	1
410	или не	2	1
411	есть уже	1	1
412	уже нет	1	1
413	мы переходим	1	1
414	речи о	1	1
415	только одна	1	1
416	ему не	1	1
417	в свою	4	1
418	и оно	3	1
419	от всех	4	1
420	но можно	1	1
421	того же	5	1
422	есть только	7	1
423	во все	1	1
424	есть признак	1	1
425	есть и	4	1
426	ли он	1	1
427	в которой	1	1
428	всегда есть	3	1
429	жизни мы	2	1
430	не верят	1	1
431	не терпит	1	1
432	во всяком	3	1
433	я могу	2	1
434	оно не	3	1
435	все что	1	1
