N	2gram	Bakhtin_sl_2	Problema
154	например в	5	3
155	на материале	2	3
156	говорить о	3	3
157	на них	2	3
158	точка зрения	2	3
159	менее всего	2	3
160	из важнейших	2	3
161	связи и	2	3
162	кроме того	2	3
163	нас за	1	3
164	и к	6	3
165	и художественного	1	3
166	в целом	1	3
167	он не	2	3
168	в мире	1	3
169	а как	1	3
170	с другими	4	3
171	может стать	2	3
172	и тем	1	3
173	в слове	6	3
174	несмотря на	1	3
175	том что	5	3
176	тем не	1	3
177	на него	2	3
178	же время	4	3
179	определенности и	1	3
180	или как	4	3
181	языка в	6	3
182	все то	1	3
183	как только	1	3
184	слова но	1	3
185	в применении	1	3
186	и это	1	3
187	хотя и	2	3
188	и от	3	3
189	приводит к	1	3
190	в дальнейшем	2	3
191	дано в	1	3
192	но здесь	4	3
193	и должно	1	3
194	на почве	4	3
195	одной из	1	3
196	как вещи	1	3
197	мы увидим	2	3
198	с одной	5	3
199	со всеми	2	3
200	слова не	4	3
201	в известной	1	3
202	входят в	2	3
203	как такового	1	3
204	и даже	7	3
205	оно не	8	3
206	себя и	4	3
207	одной стороны	5	3
208	его как	2	3
209	на фоне	4	3
210	в иных	1	3
211	только его	1	3
212	применении к	1	3
213	и на	4	3
214	да и	1	3
215	слова и	8	3
216	но это	3	3
217	все это	16	3
218	не является	1	3
219	за его	1	3
220	культуры и	1	3
221	она может	2	3
222	и другими	1	3
223	от него	5	3
224	и все	5	3
225	не знает	2	3
226	в таком	4	3
227	все что	2	3
228	они не	2	3
229	смысле слова	1	2
230	можно говорить	2	2
231	его моментов	2	2
232	в рассмотрение	1	2
233	он может	1	2
234	и должны	1	2
235	и есть	1	2
236	проникает в	2	2
237	его не	4	2
238	есть не	1	2
239	со всех	1	2
240	и значение	1	2
241	правильного понимания	1	2
242	единство и	3	2
243	но она	2	2
244	не остается	1	2
245	всех сторон	2	2
246	оно может	2	2
247	предметом и	1	2
248	первый план	1	2
249	в чем	3	2
250	с его	7	2
251	но как	2	2
252	не все	2	2
253	иметь дело	2	2
254	ивана карамазова	1	2
255	в едином	1	2
256	в истории	11	2
257	дело идет	2	2
258	от содержания	1	2
259	как к	3	2
260	момент его	1	2
261	нами в	1	2
262	единству и	2	2
263	и те	1	2
264	на то	1	2
265	оно было	2	2
266	в корне	1	2
267	на этом	3	2
268	всех своих	1	2
269	и взаимоотношения	1	2
270	человека в	5	2
271	в каждом	1	2
272	как отношение	2	2
273	материала и	3	2
274	лишь в	3	2
275	и других	4	2
276	действительности в	1	2
277	о которых	1	2
278	на первый	1	2
279	и при	2	2
280	или точнее	1	2
281	и художественно	2	2
282	нему и	1	2
283	и более	2	2
284	можем сказать	1	2
285	и вся	1	2
286	от чисто	1	2
287	в таких	1	2
288	она не	6	2
289	вне ее	1	2
290	дело в	2	2
291	одна из	4	2
292	и отдельных	1	2
293	того чтобы	2	2
294	чем не	2	2
295	словом но	1	2
296	слово и	5	2
297	действительности но	1	2
298	во всем	4	2
299	а лишь	2	2
300	суждения и	1	2
301	связи с	3	2
302	этом отношении	3	2
303	к себе	1	2
304	не могут	5	2
305	говорящий человек	21	2
306	отличается от	2	2
307	анализа и	1	2
308	что оно	4	2
309	слова с	4	2
310	для того	2	2
311	быть конечно	1	2
312	должен быть	2	2
313	приходится иметь	2	2
314	в себя	2	2
315	степени и	2	2
316	материала для	1	2
317	особенно в	2	2
318	и которые	1	2
319	здесь нет	1	2
320	поэтому в	1	2
321	и здесь	2	2
322	в другом	2	2
323	другими словами	1	2
324	и что	1	2
325	этического и	2	2
326	в значительной	6	2
327	и чистой	1	2
328	не довлеет	1	2
329	язык в	6	2
330	как композиционная	1	2
331	нем и	2	2
332	человека как	1	2
333	в лучшем	1	2
334	в него	7	2
335	мир в	1	2
336	и мир	4	2
337	того что	1	2
338	довлеет себе	1	2
339	материалу к	2	2
340	в двух	1	2
341	нуждается в	2	2
342	что он	2	2
343	в какой	1	2
344	и ее	1	2
345	на мир	2	2
346	материал как	1	2
347	себя в	8	2
348	не можем	1	2
349	языка как	7	2
350	в виде	2	2
351	языка но	4	2
352	определенности в	1	2
353	цели и	2	2
354	что и	3	2
355	вовсе не	10	2
356	в некоторых	3	2
357	случае не	1	2
358	тем что	1	2
359	в особенности	3	2
360	чем в	2	2
361	или иной	5	2
362	здесь в	3	2
363	миру и	1	2
364	следовательно не	1	2
365	характерно для	1	2
366	души и	1	2
367	не было	2	2
368	о художественном	1	2
369	но лишь	2	2
370	в связи	2	2
371	человек в	6	2
372	в частности	1	2
373	как это	3	2
374	и оценки	1	2
375	к своему	9	2
376	какой мере	1	2
377	для понимания	1	2
378	можно сказать	1	2
379	лучшем случае	1	2
380	того или	1	2
381	или в	2	2
382	узком смысле	4	2
383	той или	5	2
384	ни к	2	2
385	но зато	1	2
386	в этих	7	2
387	говорить и	1	2
388	слово в	11	2
389	в свою	3	2
390	материал и	3	2
391	к его	2	2
392	или иного	1	2
393	существенное отличие	1	2
394	и другие	2	2
395	в своих	1	2
396	к этому	1	2
397	лежат в	1	1
398	в сфере	2	1
399	все снова	1	1
400	человека и	3	1
401	и истолкования	2	1
402	это и	2	1
403	не носят	1	1
404	процессе работы	1	1
405	в чисто	3	1
406	но главное	1	1
407	нем нет	1	1
408	контекста в	2	1
409	его же	1	1
410	случае оно	1	1
411	все те	1	1
412	от которых	1	1
413	иметь место	1	1
414	и за	1	1
415	и могут	1	1
416	этом направлении	1	1
417	от художественного	1	1
418	предмета в	1	1
419	связан с	3	1
420	мир не	1	1
421	что уже	1	1
422	язык как	3	1
423	и язык	4	1
424	нам в	1	1
425	может осуществлять	1	1
426	почти все	2	1
427	высказывания в	1	1
428	нельзя даже	1	1
429	с ее	2	1
430	свой предмет	1	1
431	так называемые	1	1
432	подчеркнуть что	2	1
433	над словом	1	1
434	полноте своей	1	1
435	мифологическое мышление	2	1
436	становится в	1	1
437	и возможности	1	1
438	роман и	2	1
439	их целом	2	1
440	ведь без	1	1
441	как таковая	1	1
442	а следовательно	1	1
443	различия между	1	1
444	слова как	2	1
445	то он	1	1
446	слов не	1	1
447	в противовес	2	1
448	из художественного	1	1
449	значение и	1	1
450	к слову	1	1
451	в новом	2	1
452	вступают в	1	1
453	пределы и	1	1
454	материала так	1	1
455	конечно совершенно	1	1
456	идет о	1	1
457	и выражения	1	1
458	стороны и	3	1
459	более и	1	1
460	все остальные	1	1
461	и исторические	2	1
462	за своими	1	1
463	могли бы	1	1
464	целый ряд	1	1
465	как уже	2	1
466	и внутреннюю	1	1
467	как таковое	1	1
468	материалом и	2	1
469	другом случае	1	1
470	и указаний	1	1
471	лежит на	2	1
472	не приходится	3	1
473	бы и	3	1
474	осознает себя	1	1
475	которые в	2	1
476	что так	1	1
477	бы две	1	1
478	в этой	1	1
479	вносит в	1	1
480	бы только	2	1
481	но он	2	1
482	о других	1	1
483	как он	2	1
484	если он	1	1
485	а вовсе	2	1
486	т д	2	1
487	всех этих	4	1
488	и социальной	3	1
489	в узком	4	1
490	слову как	1	1
491	широком смысле	1	1
492	является русский	1	1
493	характер в	1	1
494	его от	3	1
495	целом как	1	1
496	двусмысленности и	1	1
497	в нее	2	1
498	подход к	1	1
499	значение в	2	1
500	и дальше	3	1
501	мы уже	2	1
502	бы быть	1	1
503	себя не	1	1
504	нашем случае	1	1
505	зрения на	2	1
506	от степени	1	1
507	художественный образ	4	1
508	к художественной	1	1
509	это было	1	1
510	и иных	4	1
511	эти высказывания	1	1
512	моменты в	1	1
513	в свой	2	1
514	в один	1	1
515	он является	1	1
516	все равно	1	1
517	разобранные нами	1	1
518	этого не	1	1
519	и уже	1	1
520	неотделим от	1	1
521	рода и	1	1
522	социальной и	1	1
523	выйти за	1	1
524	воля и	1	1
525	и прямо	2	1
526	и всюду	1	1
527	автора и	2	1
528	нисколько не	1	1
529	здесь она	1	1
530	как предмету	1	1
531	при изучении	1	1
532	направленности и	1	1
533	другим как	1	1
534	себе а	1	1
535	мысли и	1	1
536	направлен на	1	1
537	нем он	1	1
538	этих моментов	1	1
539	силу и	1	1
540	есть именно	1	1
541	однако в	2	1
542	понимании и	1	1
543	историческом аспекте	1	1
544	по себе	5	1
545	как проблема	1	1
546	роман действительно	1	1
547	до известной	1	1
548	человека но	1	1
549	как о	2	1
550	здесь лишь	1	1
551	мышления и	5	1
552	на слова	1	1
553	которое нельзя	1	1
554	и два	1	1
555	эта внутренняя	1	1
556	и снова	1	1
557	опираться на	1	1
558	иметь в	1	1
559	следовательно и	1	1
560	что язык	2	1
561	с материалом	2	1
562	и без	1	1
563	этической и	2	1
564	очень мало	1	1
565	во всей	1	1
566	фоне которого	1	1
567	нам важно	1	1
568	этого предмета	2	1
569	в сознании	1	1
570	в процессе	13	1
571	слова его	5	1
572	не столь	1	1
573	и со	1	1
574	об особой	1	1
575	есть к	1	1
576	от их	1	1
577	а путем	1	1
578	своеобразие как	1	1
579	здесь оно	1	1
580	иногда даже	1	1
581	самостоятельности и	1	1
582	форме как	1	1
583	значительной степени	6	1
584	героя его	1	1
585	она позволяет	1	1
586	протяжении всего	1	1
587	даже и	4	1
588	социальные и	1	1
589	мы ее	1	1
590	поэтического языка	1	1
591	эти явления	1	1
592	высказывания могут	1	1
593	некоторой степени	1	1
594	не завершена	1	1
595	к такому	1	1
596	как не	1	1
597	свою очередь	2	1
598	на нем	2	1
599	всего этого	1	1
600	без всякого	2	1
601	точками зрения	1	1
602	языка и	9	1
603	характер и	1	1
604	за пределами	1	1
605	исторической жизни	3	1
606	зрения не	1	1
607	существенного отношения	1	1
608	мы наблюдаем	2	1
609	и иные	1	1
610	и исторически	2	1
611	стремиться к	2	1
612	как с	2	1
613	на том	1	1
614	мог бы	1	1
615	на которую	1	1
616	глубоко и	3	1
617	в научном	1	1
618	как таковую	1	1
619	но единство	1	1
620	в одном	2	1
621	завершена и	1	1
622	не были	1	1
623	единство этих	1	1
624	и социальные	1	1
625	основная особенность	1	1
626	даны в	1	1
627	что под	1	1
628	в художественный	1	1
629	свободной и	1	1
630	это как	1	1
631	к языку	1	1
632	это возможно	2	1
633	случаях мы	1	1
634	с человеком	1	1
635	но может	1	1
636	образом в	1	1
637	этой проблемы	1	1
638	быть существенно	2	1
639	невозможно в	1	1
640	самодостаточность и	1	1
641	направлений и	1	1
642	для нас	5	1
643	а также	3	1
644	единству языка	1	1
645	мы понимаем	1	1
646	на протяжении	2	1
647	нем не	1	1
648	тем или	1	1
649	его так	2	1
650	говорить об	1	1
651	таких же	1	1
652	борьба с	4	1
653	таким путем	1	1
654	есть художественное	1	1
655	лишь к	1	1
656	здесь одно	1	1
657	вообще и	1	1
658	к определенному	1	1
659	и следовательно	1	1
660	есть вне	1	1
661	и отдельные	1	1
662	в самый	1	1
663	несколько иначе	1	1
664	возможно лишь	1	1
665	быть и	3	1
666	есть процесс	1	1
667	к которой	1	1
668	важное значение	1	1
669	в поэтическом	1	1
670	леса когда	1	1
671	целом с	1	1
672	и действительно	1	1
673	в напряженном	1	1
674	не имеющих	1	1
675	в контексте	3	1
676	между этими	1	1
677	здесь с	1	1
678	действительность но	2	1
679	всегда с	1	1
680	именно на	2	1
681	действительно может	1	1
682	характерной для	1	1
683	для всех	4	1
684	со своим	9	1
685	уже не	5	1
686	только на	1	1
687	своим собственным	1	1
688	только чисто	1	1
689	все многообразие	1	1
690	и чисто	2	1
691	не исчерпывает	3	1
692	его во	1	1
693	языка может	3	1
694	или даже	3	1
695	его и	2	1
696	уже затем	1	1
697	для него	7	1
698	самого слова	1	1
699	сами по	1	1
700	не для	1	1
701	с этими	1	1
702	и своеобразное	1	1
703	есть необходимый	1	1
704	к ним	1	1
705	не о	1	1
706	может служить	1	1
707	друг друга	1	1
708	если оно	2	1
709	только с	2	1
710	и понимающий	1	1
711	не просто	1	1
712	уверенного и	1	1
713	формы к	1	1
714	момент в	1	1
715	которые как	1	1
716	чувствует себя	1	1
717	образ человека	1	1
718	глубине и	1	1
719	именно как	2	1
720	оно способно	1	1
721	и смысловых	1	1
722	точек зрения	3	1
723	он живет	1	1
724	с другим	1	1
725	до сих	2	1
726	факта и	1	1
727	или иначе	1	1
728	нас в	1	1
729	притом не	1	1
730	именно в	2	1
731	и нельзя	1	1
732	и самая	1	1
733	и оценен	1	1
734	и между	2	1
735	мы еще	1	1
736	могут иметь	1	1
737	подход и	1	1
738	затем в	1	1
739	связано с	3	1
740	смысла и	3	1
741	нужно сказать	1	1
742	моментов и	1	1
743	а на	1	1
744	поскольку она	1	1
745	а наоборот	1	1
746	до конца	17	1
747	и чистоты	1	1
748	линии и	1	1
749	с которым	2	1
750	как ни	1	1
751	все время	1	1
752	области поэтики	1	1
753	слова слово	1	1
754	всех других	1	1
755	предмету познания	1	1
756	за каждым	1	1
757	и вне	2	1
758	язык для	1	1
759	входить в	2	1
760	но оно	2	1
761	слова от	6	1
762	вместе с	2	1
763	и особенно	2	1
764	мы говорим	1	1
765	позиция не	1	1
766	но этот	1	1
767	много лишнего	1	1
768	со всею	3	1
769	который мы	1	1
770	берет слово	1	1
771	в той	4	1
772	личности говорящего	1	1
773	и традиций	1	1
774	и всей	1	1
775	помощью одного	1	1
776	однако отметить	1	1
777	слов в	2	1
778	конечно от	1	1
779	мы сказали	2	1
780	языка то	3	1
781	этого слова	1	1
782	и осуществлять	1	1
783	как например	2	1
784	сих пор	2	1
785	словом в	4	1
786	должен стать	1	1
787	тень и	1	1
788	в смысловом	2	1
789	которое может	1	1
790	в смысле	4	1
791	себе все	1	1
792	и собственно	1	1
793	поэтому эти	1	1
794	на самой	1	1
795	и часто	3	1
796	этого понимания	1	1
797	для выражения	1	1
798	живет и	1	1
799	и может	1	1
800	этом его	1	1
801	в результате	2	1
802	мира и	5	1
803	своему предмету	5	1
804	и слов	1	1
805	напряженном и	1	1
806	или иным	1	1
807	это может	1	1
808	еще более	2	1
809	и смысл	1	1
810	вообще в	1	1
811	своеобразное единство	1	1
812	убираются леса	1	1
813	слове как	3	1
814	поэзии но	1	1
815	язык его	1	1
816	но всегда	1	1
817	отношении к	4	1
818	жизни в	2	1
819	но эта	2	1
820	материал слово	1	1
821	этот разрыв	1	1
822	а со	1	1
823	взаимодействии со	1	1
824	его моментах	1	1
825	затем к	1	1
826	слова правда	2	1
827	самого языка	1	1
828	мы коснемся	1	1
829	выходят за	1	1
830	у толстого	1	1
831	но именно	1	1
832	объектом познания	1	1
833	жизни и	6	1
834	как слово	2	1
835	или непосредственно	1	1
836	как убираются	1	1
837	снова и	1	1
838	которая не	1	1
839	слова это	1	1
