N	2gram	Medvedev_F_3	UchenyiS
103	конце концов	2	2
104	сих пор	1	2
105	но это	2	2
106	и роль	1	2
107	этом смысле	2	2
108	в противном	1	2
109	в том	7	2
110	тех или	1	2
111	в шкловского	2	2
112	и для	6	2
113	что он	6	2
114	в себе	3	2
115	как прием	1	2
116	при таком	1	2
117	формы и	3	2
118	в самом	11	2
119	к голому	1	2
120	между тем	7	2
121	и у	1	2
122	только в	8	2
123	материал как	2	2
124	не в	12	2
125	для всех	1	2
126	и является	4	2
127	вопроса о	1	2
128	все они	1	2
129	не есть	4	2
130	этом отношении	3	2
131	или иных	1	2
132	его и	3	2
133	бы и	3	2
134	всех этих	2	2
135	представляется нам	1	2
136	сумме его	1	2
137	не могут	10	2
138	могут быть	4	2
139	в конце	3	2
140	смысле этого	2	2
141	а о	1	2
142	же самое	3	2
143	материал не	1	2
144	р якобсона	1	2
145	как раз	8	2
146	тем что	5	2
147	что она	2	2
148	таким образом	18	2
149	даже и	1	2
150	литературного факта	2	1
151	принуждается признать	1	1
152	и это	2	1
153	на лингвистику	1	1
154	что такой	1	1
155	от произведения	1	1
156	на положение	1	1
157	жирмунский в	2	1
158	литературы а	1	1
159	только фактом	1	1
160	как таковым	1	1
161	об этом	1	1
162	же как	3	1
163	не делает	1	1
164	приема как	1	1
165	но по	1	1
166	человека и	2	1
167	даже не	1	1
168	в виду	3	1
169	сам по	1	1
170	входит в	8	1
171	л толстого	1	1
172	материал поэзии	1	1
173	данном случае	4	1
174	или иначе	1	1
175	только при	1	1
176	искусства в	3	1
177	формалистов на	1	1
178	сюда же	1	1
179	к следующему	1	1
180	наука о	3	1
181	эйхенбаума об	1	1
182	и быть	1	1
183	и сплошь	1	1
184	в произведении	3	1
185	идет не	2	1
186	и теоретической	1	1
187	установка на	4	1
188	в пределах	8	1
189	и др	2	1
190	слова у	1	1
191	еще одно	1	1
192	что для	1	1
193	объясняется и	1	1
194	как данность	1	1
195	эта новизна	1	1
196	никогда не	5	1
197	к созданию	1	1
198	полагаем что	1	1
199	литературного произведения	4	1
200	художественное творчество	1	1
201	произведение как	6	1
202	так и	21	1
203	одной стороны	1	1
204	той же	3	1
205	отсюда и	1	1
206	до конца	4	1
207	формалисты отнюдь	1	1
208	с тем	7	1
209	чуждых друг	1	1
210	мы имеем	1	1
211	место и	1	1
212	искусство как	1	1
213	приема и	4	1
214	и вне	2	1
215	именно этот	1	1
216	была уже	1	1
217	чистая форма	1	1
218	дан в	1	1
219	он становится	2	1
220	жанра в	2	1
221	об искусстве	1	1
222	в словах	1	1
223	и даже	2	1
224	должно быть	1	1
225	у формалистов	3	1
226	по теории	1	1
227	можно сказать	3	1
228	восприятия и	1	1
229	хочет стать	1	1
230	из приемов	1	1
231	стороны в	1	1
232	о нем	3	1
233	творчества правда	1	1
234	литературе хочет	1	1
235	произведения как	6	1
236	вообще очень	1	1
237	материал и	2	1
238	словесного искусства	1	1
239	искусства и	1	1
240	стать наукой	1	1
241	прием а	1	1
242	о том	4	1
243	в ней	5	1
244	и потому	5	1
245	в котором	2	1
246	только для	1	1
247	и что	3	1
248	она в	1	1
249	литературного ряда	2	1
250	он был	4	1
251	и содержание	2	1
252	первый план	1	1
253	изучаемого объекта	1	1
254	единства и	3	1
255	в значительной	1	1
256	содержания в	1	1
257	без труда	2	1
258	чего является	1	1
259	где же	1	1
260	конечно это	2	1
261	как таковая	3	1
262	он будет	1	1
263	слово как	3	1
264	строго говоря	1	1
265	слагается из	1	1
266	формалистов к	1	1
267	все в	1	1
268	пушкин и	1	1
269	не словами	1	1
270	в течение	1	1
271	является только	1	1
272	в той	3	1
273	своей работе	1	1
274	пишет в	1	1
275	он может	2	1
276	является с	1	1
277	в данном	6	1
278	приемы своим	1	1
279	что же	5	1
280	поэтика должна	1	1
281	бы в	6	1
282	переходит в	2	1
283	не входит	1	1
284	того что	3	1
285	друг другу	2	1
286	в которых	3	1
287	душа сюда	1	1
288	отдельности и	1	1
289	сделан дон-кихот	2	1
290	их в	3	1
291	произведения в	6	1
292	друг с	1	1
293	литературной эпохи	1	1
294	форма в	2	1
295	говорит он	5	1
296	тому чтобы	1	1
297	оно является	1	1
298	это значит	2	1
299	что этот	2	1
300	нет и	3	1
301	если нет	1	1
302	чистое и	1	1
303	своим единственным	1	1
304	язык в	1	1
305	к проблеме	3	1
306	за пределы	2	1
307	на то	1	1
308	быть не	1	1
309	определяется не	1	1
310	еще один	1	1
311	отнюдь не	8	1
312	она не	4	1
313	задачи и	1	1
314	наукой она	1	1
315	этом случае	1	1
316	данное время	1	1
317	независимо от	5	1
318	его на	1	1
319	литературы как	1	1
320	в своем	2	1
321	случайной и	1	1
322	при построении	1	1
323	но для	2	1
324	единственным героем	1	1
325	и все	8	1
326	того как	1	1
327	что только	1	1
328	художественного восприятия	2	1
329	произведения а	1	1
330	она должна	2	1
331	произведений и	3	1
332	содержание душа	1	1
333	тот же	1	1
334	процессе художественного	1	1
335	в поэтическом	1	1
336	как таковое	1	1
337	так всегда	1	1
338	и действительно	2	1
339	и творчество	1	1
340	которое мы	1	1
341	в точном	2	1
342	она принуждается	1	1
343	о котором	1	1
344	больше чем	1	1
345	бы ни	4	1
346	оформления материала	2	1
347	не было	1	1
348	так или	1	1
349	находятся в	2	1
350	науки об	1	1
351	в данное	1	1
352	это же	1	1
353	тогда когда	4	1
354	с одной	1	1
355	в качестве	1	1
356	без этого	1	1
357	вообще в	1	1
358	построения и	1	1
359	начала и	1	1
360	не ставит	1	1
361	литературы в	1	1
362	уже не	3	1
363	имеем в	1	1
364	то и	1	1
365	наша задача	1	1
366	на выражение	1	1
367	самый прием	1	1
368	же в	1	1
369	они находятся	1	1
370	и всей	1	1
371	в процессе	15	1
372	как сделан	2	1
373	для формалистов	3	1
374	в нем	15	1
375	или даже	1	1
376	или просто	1	1
377	эстетический объект	1	1
378	с другом	1	1
379	но если	2	1
380	он не	1	1
381	признать приемы	1	1
382	недаром и	1	1
383	литературную эпоху	1	1
384	а для	1	1
385	сказать что	3	1
386	состоит из	1	1
387	только материал	2	1
388	история литературы	2	1
389	формы слова	1	1
390	одно из	1	1
391	в первую	1	1
392	не значит	2	1
393	равно как	3	1
394	конструктивное значение	7	1
395	и так	1	1
396	весь и	1	1
397	он и	3	1
398	тезис формалистов	2	1
399	содержания и	4	1
400	восприятия а	1	1
401	этот процесс	3	1
402	мы полагаем	1	1
403	в отдельности	1	1
404	в понятии	1	1
405	и материал	1	1
406	что под	1	1
407	же литературного	1	1
408	правда не	1	1
409	содержание и	2	1
410	время не	1	1
411	современного романа	1	1
412	но он	1	1
413	этого и	1	1
414	на форму	1	1
415	мы можем	4	1
416	ее в	3	1
417	и делает	1	1
418	и эта	3	1
419	это в	1	1
420	если наука	1	1
421	что при	1	1
422	о литературе	1	1
423	философии это	1	1
424	к этому	2	1
425	что в	8	1
426	в таком	2	1
