N	2gram	Propp_Morf_1	EvropaiE
267	с но	1	1
268	то это	3	1
269	когда мы	1	1
270	может дать	1	1
271	качестве примера	1	1
272	что его	2	1
273	с его	2	1
274	тем как	1	1
275	то мы	4	1
276	чем это	2	1
277	мы будем	3	1
278	значение и	1	1
279	по отношению	4	1
280	тогда как	2	1
281	более как	1	1
282	отличие от	1	1
283	случай в	2	1
284	может произойти	1	1
285	сущности к	1	1
286	которые не	1	1
287	как по	1	1
288	как этап	1	1
289	в одной	1	1
290	в рамках	1	1
291	дает нам	1	1
292	воды и	1	1
293	все остальные	1	1
294	все же	7	1
295	в противном	1	1
296	кроме того	1	1
297	тех случаях	2	1
298	в полном	1	1
299	могли бы	1	1
300	более или	2	1
301	увидим что	1	1
302	в этот	1	1
303	то нет	1	1
304	та же	2	1
305	как то	2	1
306	в нашем	3	1
307	которые в	1	1
308	идут в	1	1
309	может найти	1	1
310	нами в	2	1
311	и тот	1	1
312	бы только	1	1
313	на его	4	1
314	при этом	1	1
315	т д	39	1
316	не значит	2	1
317	и когда	1	1
318	бы во	1	1
319	состоит в	2	1
320	средства которые	1	1
321	в новой	1	1
322	то как	2	1
323	несколько ниже	1	1
324	или вовсе	1	1
325	на этом	3	1
326	его можно	1	1
327	это один	1	1
328	или иных	1	1
329	принципа в	1	1
330	и наоборот	4	1
331	но все	3	1
332	сделать из	2	1
333	бы они	2	1
334	как они	1	1
335	а затем	4	1
336	они должны	1	1
337	в совершенно	1	1
338	же касается	1	1
339	том случае	1	1
340	говорить не	1	1
341	но хотя	1	1
342	входит в	2	1
343	и иных	2	1
344	лишь на	2	1
345	в ином	2	1
346	о характере	2	1
347	о которых	1	1
348	этом явлении	1	1
349	выйти в	1	1
350	во внимание	1	1
351	здесь можно	3	1
352	как таковой	2	1
353	их на	1	1
354	ценность а	1	1
355	или менее	2	1
356	мы приходим	2	1
357	именно и	1	1
358	мы говорили	1	1
359	установить что	1	1
360	что при	2	1
361	значение для	1	1
362	об их	1	1
363	определяют собой	1	1
364	же может	2	1
365	для нее	1	1
366	тому что	4	1
367	все эти	2	1
368	не менее	5	1
369	вплоть до	1	1
370	но они	1	1
371	что эта	2	1
372	что с	1	1
373	с теми	4	1
374	в обоих	2	1
375	одна из	4	1
376	чтобы в	1	1
377	это мы	1	1
378	рассматривать как	1	1
379	только и	1	1
380	можно усмотреть	1	1
381	к концу	1	1
382	за исключением	1	1
383	во всем	1	1
384	вместо того	1	1
385	и его	1	1
386	бы по	1	1
387	связи с	10	1
388	е не	1	1
389	так то	1	1
390	в основе	1	1
391	и несколько	1	1
392	у нас	2	1
393	такие же	1	1
394	он называет	1	1
395	должны быть	1	1
396	что некоторые	2	1
397	все еще	3	1
398	мы привели	1	1
399	оно может	3	1
400	приходит к	1	1
401	то она	1	1
402	законы и	1	1
403	людей в	1	1
404	лишь весьма	1	1
405	мысль о	1	1
406	не исключает	2	1
407	то время	3	1
408	мнение что	1	1
409	на свой	1	1
410	как с	1	1
411	с собой	3	1
412	те же	1	1
413	в распоряжение	4	1
414	об этом	4	1
415	еще в	1	1
416	когда в	1	1
417	к первому	1	1
418	по ее	1	1
419	имеется в	3	1
420	случаев так	1	1
421	к другу	2	1
422	означает что	2	1
423	связанная с	1	1
424	связанное с	1	1
425	его при	1	1
426	на вопрос	2	1
427	или на	3	1
428	много ли	1	1
429	может не	1	1
430	положения и	1	1
431	всего этого	1	1
432	по количеству	1	1
433	друг к	2	1
434	значит что	3	1
435	быть и	2	1
436	но так	1	1
437	один из	5	1
438	с ними	1	1
439	дело с	1	1
440	мы увидим	8	1
441	ли он	1	1
442	как нечто	1	1
443	который в	2	1
444	обладает и	1	1
445	никак нельзя	1	1
446	или же	6	1
447	и ее	3	1
448	больше чем	1	1
449	же законы	1	1
450	же условно	1	1
451	следовательно для	1	1
452	уже не	2	1
453	если мы	5	1
454	в начале	3	1
455	что не	1	1
456	к созданию	1	1
457	от других	2	1
458	в точном	1	1
459	связывается с	2	1
460	перевести на	1	1
461	одно из	1	1
462	для него	1	1
463	и их	2	1
464	стороны тех	1	1
465	ли этот	2	1
466	мы находим	1	1
467	очевидно также	1	1
468	составных частей	1	1
469	как его	1	1
470	что прежде	1	1
471	от того	3	1
472	или иное	1	1
473	даже не	3	1
474	а на	3	1
475	которые можно	1	1
476	здесь нужно	1	1
477	эти две	1	1
478	а впоследствии	1	1
479	она является	1	1
480	и затем	4	1
481	на которых	1	1
482	и далее	1	1
483	так называемой	1	1
484	совершенно одинаково	1	1
485	более сложный	2	1
486	что мы	2	1
487	если не	1	1
488	в связи	9	1
489	так называемых	2	1
490	входить в	2	1
491	но кроме	1	1
492	то можно	2	1
493	о возможности	1	1
494	разделить между	1	1
495	этих случаях	11	1
496	для всех	1	1
497	что за	1	1
498	а если	4	1
499	она есть	1	1
500	последнем случае	2	1
501	случае она	1	1
502	одновременно с	1	1
503	эту мысль	1	1
504	многих других	1	1
505	в состоянии	1	1
506	к определению	1	1
507	должно быть	1	1
508	не увидит	1	1
509	с ее	1	1
510	для тех	1	1
511	на пути	4	1
512	в формах	1	1
513	к двум	1	1
514	и где	1	1
515	тех или	1	1
516	вопрос в	2	1
517	указать на	1	1
518	она может	1	1
519	это можно	1	1
520	о котором	1	1
521	в отдельных	3	1
522	и однако	1	1
523	возникает вопрос	2	1
524	пришлось бы	1	1
525	но это	6	1
526	бы на	1	1
527	и другие	6	1
528	поскольку это	1	1
529	возможно ли	1	1
530	всего мира	1	1
531	в последнем	2	1
532	с такой	1	1
533	оно не	2	1
534	что даже	1	1
535	в свое	2	1
536	есть то	1	1
537	к этой	1	1
538	случае если	1	1
539	другой можно	1	1
540	можно назвать	3	1
