N	2gram	Tiupa_Hudo_1	SlovoVZh
153	имеем в	3	2
154	жизнью и	1	2
155	в душе	8	2
156	он не	4	2
157	к ним	1	2
158	одно и	3	2
159	в особенности	1	2
160	с другими	4	2
161	это не	2	2
162	до известной	2	2
163	и дает	1	2
164	оно не	1	2
165	делает его	2	2
166	себя и	2	2
167	более того	1	2
168	одной стороны	2	2
169	зависит от	1	2
170	другой стороны	5	2
171	его как	1	2
172	выбор слова	1	2
173	была бы	3	2
174	автора и	3	2
175	и слово	1	2
176	имеет место	2	2
177	в момент	2	2
178	о ком	1	2
179	в комнате	1	2
180	разрыв между	1	2
181	вместе с	1	2
182	в отношении	3	2
183	к его	2	2
184	общения не	1	2
185	но не	11	2
186	место в	4	2
187	высказывания с	1	2
188	высказывания и	2	2
189	форму в	1	2
190	с этой	1	2
191	на один	1	2
192	автором и	1	2
193	с точки	3	2
194	в условиях	1	2
195	слова так	1	2
196	в то	6	2
197	и притом	3	2
198	за его	1	2
199	известной степени	3	2
200	героев и	1	2
201	ясность и	1	2
202	этих двух	2	2
203	все они	1	2
204	в этих	3	2
205	между ними	4	2
206	от всех	1	2
207	могут быть	4	2
208	же самое	1	2
209	на это	1	2
210	в событии	1	2
211	что в	6	2
212	частной жизни	2	2
213	и другие	2	2
214	не есть	1	2
215	и это	2	1
216	ту же	1	1
217	например в	3	1
218	же как	1	1
219	именно эту	1	1
220	как мы	1	1
221	вещами и	1	1
222	и о	3	1
223	чтобы не	1	1
224	искусства этот	1	1
225	в обычной	1	1
226	с ее	5	1
227	но чтобы	2	1
228	момент в	1	1
229	свою очередь	2	1
230	позицию по	1	1
231	на основе	2	1
232	при чтении	2	1
233	это и	1	1
234	этом особенно	1	1
235	каждая вещь	1	1
236	в организации	1	1
237	и автора	1	1
238	только то	1	1
239	в произведении	3	1
240	в художественно	1	1
241	зрения не	1	1
242	то время	1	1
243	по преимуществу	2	1
244	из его	1	1
245	смысла слова	1	1
246	и больше	2	1
247	значением а	1	1
248	а этот	1	1
249	в индивидуальную	1	1
250	это событие	1	1
251	на которую	1	1
252	душевное состояние	1	1
253	для иллюстрации	1	1
254	стиля в	1	1
255	до минимума	1	1
256	для этого	1	1
257	высказывания в	4	1
258	двустороннюю позицию	1	1
259	не вполне	2	1
260	сводится к	7	1
261	в порядке	2	1
262	не знают	1	1
263	и поступки	1	1
264	к общему	1	1
265	определенным образом	2	1
266	за пределами	3	1
267	что каждый	2	1
268	нем по	1	1
269	на них	1	1
270	в поэтической	1	1
271	основе своей	1	1
272	и который	2	1
273	на их	1	1
274	столь же	1	1
275	особого эстетического	1	1
276	в значительной	1	1
277	является таким	1	1
278	мы понимаем	1	1
279	во всех	3	1
280	вопросу о	1	1
281	в конечном	5	1
282	автора на	1	1
283	то в	2	1
284	от его	1	1
285	его смысла	1	1
286	жизни за	1	1
287	общения между	1	1
288	коем случае	2	1
289	русской литературе	2	1
290	конечном счете	5	1
291	искусства в	4	1
292	крайней мере	1	1
293	утратит свою	1	1
294	что они	1	1
295	именно в	2	1
296	сама по	2	1
297	его эстетической	3	1
298	в одной	1	1
299	не входят	1	1
300	и мир	1	1
301	что этому	1	1
302	на которой	1	1
303	поле зрения	1	1
304	перед нами	1	1
305	хотя и	3	1
306	художественного восприятия	4	1
307	тот же	1	1
308	ценностей и	1	1
309	простым воспроизведением	1	1
310	нему как	1	1
311	более или	5	1
312	именно эта	1	1
313	отношение как	1	1
314	тому как	1	1
315	во времени	4	1
316	отношения между	1	1
317	что это	1	1
318	этим словом	1	1
319	в целом	3	1
320	если мы	2	1
321	фразы в	1	1
322	себя в	7	1
323	значение дело	1	1
324	еще один	2	1
325	это ни	1	1
326	есть в	2	1
327	определяет его	1	1
328	во многих	1	1
329	двух других	1	1
330	исходит из	1	1
331	что она	2	1
332	противном случае	2	1
333	слова не	1	1
334	или даже	3	1
335	и последовательное	1	1
336	одно из	2	1
337	себе в	1	1
338	ведь это	1	1
339	не как	2	1
340	художественного высказывания	2	1
341	в одном	2	1
342	в пространстве	2	1
343	вовсе не	2	1
344	ни были	1	1
345	части и	1	1
346	у нее	1	1
347	относится не	1	1
348	бытия и	1	1
349	у него	1	1
350	притом двустороннюю	1	1
351	подобно тому	1	1
352	на этом	1	1
353	природой и	1	1
354	или иных	2	1
355	не бывает	1	1
356	значительной степени	1	1
357	вне произведения	1	1
358	оно является	1	1
359	том же	1	1
360	бы они	1	1
361	здесь мы	1	1
362	что все	1	1
363	смысл слова	1	1
364	незаместимое место	1	1
365	своем значении	1	1
366	в другом	3	1
367	только отдельные	1	1
368	должен занимать	1	1
369	и т.п	4	1
370	творчества он	1	1
371	должно быть	1	1
372	входит в	4	1
373	активную позицию	1	1
374	и непосредственное	1	1
375	внешней речи	2	1
376	было бы	1	1
377	речи а	2	1
378	к которому	4	1
379	не совпадает	1	1
380	этом смысле	3	1
381	и прежде	1	1
382	и тем	2	1
383	окружающей его	1	1
384	только к	1	1
385	что для	1	1
386	говорит о	1	1
387	во внутренней	2	1
388	и политического	1	1
389	художественно значимым	1	1
390	не было	1	1
391	рядом с	1	1
392	а с	2	1
393	не знает	3	1
394	далеко не	2	1
395	не на	3	1
396	непосредственно к	1	1
397	в ее	5	1
398	в слове	3	1
399	не всегда	1	1
400	все моменты	1	1
401	о чем	2	1
402	и некоторые	2	1
403	в истории	1	1
404	обратимся к	1	1
405	и того	2	1
406	нигде не	1	1
407	и становится	1	1
408	искусства может	2	1
409	комнате и	1	1
410	или менее	5	1
411	места в	1	1
412	это на	1	1
413	вступает в	1	1
414	но если	1	1
415	в частности	13	1
416	ее внутренней	1	1
417	в романтизме	1	1
418	и без	1	1
419	то есть	18	1
420	произведение взятое	1	1
421	не могут	1	1
422	оно стало	1	1
423	его носителя	1	1
424	событии художественного	1	1
425	этих моментов	1	1
426	которые в	1	1
427	по крайней	1	1
428	том и	2	1
429	произведения в	1	1
430	которой сводится	1	1
431	не должно	1	1
432	свое незаместимое	1	1
433	зрения и	1	1
434	случае мы	1	1
435	позицию в	1	1
436	занимать особую	1	1
437	между людьми	1	1
438	только для	1	1
439	от всего	1	1
440	высказываний которая	1	1
441	с которой	1	1
442	точно и	1	1
443	если ее	1	1
444	высказывания мы	1	1
445	она могла	1	1
446	в противном	2	1
447	в русской	3	1
448	к вопросу	1	1
449	тех или	2	1
450	не является	4	1
451	в основе	4	1
452	материала в	2	1
453	он еще	1	1
454	внехудожественной действительности	1	1
455	искусства как	3	1
456	к пониманию	1	1
457	жизненную ситуацию	1	1
458	поэтикой и	1	1
459	каким бы	1	1
460	того чтобы	2	1
461	не существует	1	1
462	всей его	2	1
463	к кому	1	1
464	имеет дело	1	1
465	в результате	1	1
466	в коем	2	1
467	эта сторона	1	1
468	только и	1	1
469	в качестве	24	1
470	или иным	3	1
471	речи с	1	1
472	имеем дело	2	1
473	слова как	5	1
474	же время	5	1
475	особого рода	5	1
476	от него	1	1
477	и внешней	3	1
478	тем более	1	1
479	как явление	1	1
480	с этих	1	1
481	по своей	7	1
482	внутренней и	2	1
483	же этот	1	1
484	связи с	1	1
485	можно только	1	1
486	в искусстве	7	1
487	в свою	3	1
488	входят в	1	1
489	как будто	1	1
490	и делает	1	1
491	жизни в	2	1
492	него но	1	1
493	нам не	1	1
494	в области	6	1
495	ситуации и	1	1
496	у нас	1	1
497	языка в	4	1
498	виду не	3	1
499	тем это	1	1
500	все то	1	1
501	что можно	3	1
502	особую притом	1	1
503	поэтому не	1	1
504	о литературе	3	1
505	когда мы	1	1
506	или иного	3	1
507	культуры в	2	1
508	героя в	1	1
509	я и	7	1
510	лингвистической точки	1	1
511	произведения с	1	1
512	частности в	1	1
513	но из	1	1
514	в таком	1	1
515	они не	1	1
516	существенный момент	1	1
517	к тому	4	1
