N	2gram	Losev_Vesc_1	OGranits
414	истории и	2	1
415	и другое	4	1
416	в то	3	1
417	уже из	1	1
418	одна из	5	1
419	в науке	1	1
420	к новым	1	1
421	тех или	5	1
422	вопрос в	1	1
423	же есть	2	1
424	не знаем	2	1
425	того чтобы	3	1
426	объекта и	1	1
427	уже на	1	1
428	в самых	1	1
429	само по	1	1
430	на почву	1	1
431	конечно для	1	1
432	и чем	3	1
433	формы и	1	1
434	в разных	4	1
435	явлений или	1	1
436	однако если	1	1
437	или в	2	1
438	в самой	2	1
439	находятся в	1	1
440	то не	4	1
441	бесконечно разнообразной	1	1
442	или как	2	1
443	в основе	3	1
444	вообще в	1	1
445	только что	2	1
446	потому что	16	1
447	эти три	1	1
448	до того	1	1
449	входя в	1	1
450	этом отношении	1	1
451	не вполне	2	1
452	об этом	3	1
453	понимания и	3	1
454	из живого	1	1
455	ничего в	1	1
456	есть она	2	1
457	языка в	1	1
458	сказать что	17	1
459	в поэтическом	1	1
460	равно как	2	1
461	все то	1	1
462	но когда	1	1
463	которая есть	1	1
464	языкового сознания	1	1
465	когда мы	6	1
466	во все	1	1
467	с вещами	3	1
468	ее восприятия	1	1
469	тело которое	1	1
470	ли не	1	1
471	с его	1	1
472	только о	1	1
473	указать на	1	1
474	же самое	1	1
475	должны быть	4	1
476	вместе с	1	1
477	ведь уже	1	1
478	по поводу	1	1
479	свойств а	1	1
480	как некая	1	1
481	этой точки	1	1
