N	2gram	Trubetskoy_1	VrazhdaK
295	не стоит	1	1
296	затем в	1	1
297	между нами	1	1
298	к нему	7	1
299	во всех	2	1
300	от них	2	1
301	во всей	1	1
302	крайней мере	5	1
303	вслед за	2	1
304	все в	1	1
305	встречается лишь	1	1
306	к которому	2	1
307	тех пор	2	1
308	людей а	1	1
309	один из	2	1
310	но с	3	1
311	за исключением	1	1
312	которым он	1	1
313	и раньше	1	1
314	в качестве	3	1
315	свил себе	1	1
316	себя в	1	1
317	выступают как	1	1
318	указания на	1	1
319	больше не	2	1
320	тем чтобы	5	1
321	в душе	1	1
322	этот раз	1	1
323	к своим	4	1
324	ни с	1	1
325	несомненно в	1	1
326	никто не	1	1
327	в одном	3	1
328	привела к	1	1
329	друг друга	1	1
330	и никогда	1	1
331	перед ними	1	1
332	отличается не	1	1
333	из двух	1	1
334	связан с	2	1
335	нужно было	1	1
336	и из	2	1
337	с другой	8	1
338	именно в	2	1
339	что тот	1	1
340	такое же	1	1
341	души и	1	1
342	россии а	1	1
343	прежде всего	2	1
344	в соответствии	1	1
345	вся русская	1	1
346	попадает в	4	1
347	на этот	4	1
348	целым рядом	1	1
349	и самый	1	1
350	в ту	1	1
351	с конца	1	1
352	одну из	1	1
353	с помощью	1	1
354	нет ничего	1	1
355	него в	1	1
356	с первого	1	1
357	за тем	1	1
358	или по	2	1
359	знаем о	1	1
360	из которых	4	1
361	без труда	1	1
362	своей души	1	1
363	первое место	1	1
364	с тех	2	1
365	сравняться с	5	1
366	того что	3	1
367	в свое	1	1
368	живущее в	1	1
369	над тем	1	1
370	сих пор	5	1
371	и служило	1	1
372	но для	1	1
373	которых он	1	1
374	и от	4	1
375	котором он	1	1
376	людьми и	1	1
377	о котором	2	1
378	это как	1	1
379	и перед	2	1
380	бы в	1	1
381	конце концов	3	1
382	но зато	1	1
383	позволяет нам	1	1
384	только что	2	1
385	уже давно	2	1
386	был похож	1	1
387	быть и	2	1
388	появилась в	1	1
389	только как	1	1
390	другой стороны	1	1
391	из этого	2	1
392	жизни и	2	1
393	к этой	1	1
394	как на	8	1
395	в таком	3	1
396	точно так	3	1
397	все что	2	1
398	они не	1	1
